Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,12.87%,2.51%,2.06%,(6.34%),(2.43%)
Total Revenues,12.87%,2.51%,2.06%,(6.34%),(2.43%)
Cost Of Revenues,12.20%,3.29%,2.06%,(7.01%),(3.54%)
Gross Profit,14.01%,1.21%,2.07%,(5.21%),(0.55%)
Selling General & Admin Expenses,12.07%,(8.96%),(6.57%),(4.49%),(1.31%)
R&D Expenses,,,(1.45%),0.81%,4.19%
Total Operating Expenses,12.07%,(0.46%),(6.13%),(4.01%),(0.81%)
Operating Income,17.98%,4.46%,17.31%,(6.98%),(0.17%)
Interest Expense,(6.60%),-9.64%,-3.94%,-11.03%,-8.07%
Interest And Investment Income,25.76%,4.59%,(49.04%),(21.10%),(36.34%)
Net Interest Expenses,(5.60%),-10.53%,-0.65%,-10.66%,-6.90%
Other Non Operating Income (Expenses),,,(10.56%),41.19%,(91.20%)
"EBT, Excl. Unusual Items",18.25%,8.13%,19.96%,(6.31%),(0.42%)
"EBT, Incl. Unusual Items",27.92%,(17.18%),16.22%,(0.15%),(0.08%)
Income Tax Expense,(29.24%),3.93%,22.99%,(4.12%),4.62%
Earnings From Continuing Operations,48.70%,(20.83%),14.68%,0.82%,(1.14%)
Earnings Of Discontinued Operations,861.00%,,,,
Net Income to Company,59.50%,(29.74%),18.88%,0.82%,(1.14%)
Net Income,59.50%,(29.74%),18.88%,0.82%,(1.14%)
NI to Common Incl Extra Items,59.50%,(29.74%),18.88%,0.82%,(1.14%)
NI to Common Excl. Extra Items,48.70%,(20.83%),14.68%,0.82%,(1.14%)
Revenue Per Share,12.54%,6.49%,5.36%,(5.60%),(1.71%)
Basic EPS,58.95%,(26.97%),22.87%,1.60%,(0.41%)
Basic EPS - Continuing Ops,48.48%,(17.83%),18.50%,1.60%,(0.41%)
Basic Weighted Average Shares Outst.,0.29%,(3.73%),(3.12%),(0.79%),(0.73%)
Diluted EPS,58.22%,(26.99%),22.93%,1.95%,(0.02%)
Diluted EPS - Continuing Ops,47.35%,(17.76%),18.51%,1.95%,(0.02%)
Diluted Weighted Average Shares Outst.,0.71%,(3.56%),(3.38%),(1.09%),(1.04%)
Normalized Basic EPS,17.83%,12.33%,23.78%,(5.62%),0.32%
Normalized Diluted EPS,17.24%,12.21%,24.17%,(5.32%),0.63%
Dividend Per Share,5.81%,4.40%,2.11%,1.55%,1.28%
Payout Ratio,(33.50%),42.15%,(16.29%),(0.07%),1.68%
EBITDA,16.83%,3.30%,12.31%,(5.04%),0.67%
EBITA,17.58%,3.18%,14.46%,(6.16%),0.08%
EBIT,17.98%,4.46%,17.31%,(6.98%),(0.17%)
EBITDAR,,,,(4.70%),
Effective Tax Rate,(44.69%),25.46%,5.80%,(3.96%),4.70%
Normalized Net Income,18.25%,8.13%,19.96%,(6.31%),(0.42%)
R&D Expense From Footnotes,12.69%,9.57%,(1.45%),0.81%,4.19%
Foreign Sales,17.65%,6.49%,(1.25%),(9.73%),
