Income Statement,Jan 2017,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,2472.6,2788.0,3432.9,3618.8,4117.4,4117.4
Total Revenues,2472.6,2788.0,3432.9,3618.8,4117.4,4117.4
Cost Of Revenues,1704.9,1922.0,2488.7,2607.1,2985.2,2985.2
Gross Profit,767.7,866.0,944.2,1011.7,1132.3,1132.3
Selling General & Admin Expenses,313.6,344.2,372.0,380.8,406.6,406.6
Total Operating Expenses,313.6,344.2,372.0,380.8,406.6,406.6
Operating Income,454.0,521.8,572.2,630.9,725.6,725.6
Interest Expense,(110.1),(122.5),(146.3),(150.8),(172.2),(172.2)
Interest And Investment Income,0.7,1.5,3.3,4.0,1.7,1.7
Net Interest Expenses,(109.4),(121.1),(143.0),(146.8),(170.5),(170.5)
"EBT, Excl. Unusual Items",344.7,400.8,429.2,484.1,555.1,555.1
"EBT, Incl. Unusual Items",344.7,400.2,428.7,482.6,555.1,555.1
Income Tax Expense,130.0,122.2,66.7,81.9,63.8,63.8
Earnings From Continuing Operations,214.7,277.9,362.0,400.7,491.3,491.3
Net Income to Company,214.7,277.9,362.0,400.7,491.3,491.3
Net Income,214.7,277.9,362.0,400.7,491.3,491.3
NI to Common Incl Extra Items,214.7,277.9,362.0,400.7,491.3,491.3
NI to Common Excl. Extra Items,214.7,277.9,362.0,400.7,491.3,491.3
Revenue Per Share,$50.83,$60.67,$82.02,$88.77,$105.64,$105.64
Basic EPS,$4.41,$6.05,$8.65,$9.83,$12.61,$12.61
Basic EPS - Continuing Ops,$4.41,$6.05,$8.65,$9.83,$12.61,$12.61
Basic Weighted Average Shares Outst.,48.6,46.0,41.9,40.8,39.0,39.0
Diluted EPS,$4.30,$5.83,$8.35,$9.56,$12.39,$12.39
Diluted EPS - Continuing Ops,$4.30,$5.83,$8.35,$9.56,$12.39,$12.39
Diluted Weighted Average Shares Outst.,49.9,47.7,43.3,41.9,39.6,39.6
Normalized Basic EPS,$4.43,$5.45,$6.41,$7.42,$8.90,$8.90
Normalized Diluted EPS,$4.31,$5.25,$6.19,$7.22,$8.75,$8.75
Dividend Per Share,$1.52,$1.84,$2.20,$2.60,$3.12,$3.12
Payout Ratio,34.44%,30.33%,25.46%,26.38%,24.82%,24.82%
EBITDA,481.4,551.4,607.2,668.0,767.7,767.7
EBITA,454.0,521.8,572.2,630.9,725.6,725.6
EBIT,454.0,521.8,572.2,630.9,725.6,725.6
EBITDAR,531.3,613.4,,710.9,812.4,812.4
Effective Tax Rate,37.7%,30.6%,15.6%,17.0%,11.5%,11.5%
Normalized Net Income,215.4,250.5,268.2,302.6,347.0,347.0
Interest on Long-Term Debt,110.1,122.5,146.3,150.8,172.2,172.2
Foreign Earnings,138.3,,,,,
Foreign Sales,177.0,,,,,
