Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,641.7,686.5,785.3,855.8,929.2,929.2
Other Revenue,104.6,103.8,171.9,128.1,75.1,75.1
Total Revenues,746.3,790.3,957.2,983.9,1004.3,1004.3
Property Expenses,246.6,261.3,350.6,316.7,283.9,283.9
Selling General & Admin Exp.,55.4,54.9,56.2,60.9,57.9,57.9
Depreciation & Amortization,242.6,273.6,312.2,327.2,353.0,353.0
Other Operating Expenses,3.9,4.2,5.2,17.7,20.5,20.5
Total Operating Expenses,548.4,594.1,724.3,722.5,715.3,715.3
Operating Income,198.0,196.3,232.9,261.4,289.0,289.0
Total Interest Expense,(112.8),(87.0),(85.0),(89.8),(93.4),(93.4)
Interest and Investment Income,4.0,14.7,17.2,9.9,1.7,1.7
Net Interest Expenses,(108.7),(72.3),(67.8),(79.8),(91.7),(91.7)
"EBT, Excl. Unusual Items",89.2,124.0,165.2,181.6,197.3,197.3
Gain (Loss) on Sale of Assets,172.0,122.9,215.3,242.1,138.2,138.2
Asset Writedown,(18.0),(4.5),,,(5.6),(5.6)
Other Unusual Items,(33.9),(26.1),(0.4),(6.3),(32.9),(32.9)
"EBT, Incl. Unusual Items",297.8,290.2,392.2,440.9,297.5,297.5
Income Tax Expense,(0.6),(0.4),8.8,8.7,(5.1),(5.1)
Earnings From Continuing Operations,298.4,290.6,383.4,432.2,302.6,302.6
Earnings Of Discontinued Operations,16.9,1363.7,3.9,0.4,0.1,0.1
Net Income to Company,315.3,1654.3,387.3,432.6,302.8,302.8
Minority Interest,(3.1),(19.9),(3.5),(3.7),(2.8),(2.8)
Net Income,312.1,1634.4,383.7,429.0,299.9,299.9
Pref. Dividends and Other Adj.,2.4,4.0,1.7,1.5,1.4,1.4
NI to Common Incl Extra Items,309.8,1630.5,382.1,427.5,298.5,298.5
NI to Common Excl. Extra Items,292.9,266.7,378.2,427.0,298.4,298.4
Revenue Per Share,$2.13,$2.22,$2.68,$2.72,$2.71,$2.71
Basic EPS,$0.89,$4.58,$1.07,$1.18,$0.81,$0.81
Basic EPS - Continuing Ops,$0.84,$0.75,$1.06,$1.18,$0.81,$0.81
Basic Weighted Average Shares Outst.,349.9,355.8,357.6,362.2,370.1,370.1
Diluted EPS,$0.88,$4.58,$1.07,$1.18,$0.80,$0.80
Diluted EPS - Continuing Ops,$0.84,$0.75,$1.06,$1.18,$0.80,$0.80
Diluted Weighted Average Shares Outst.,357.1,355.8,363.3,367.3,374.2,374.2
Normalized Basic EPS,$0.15,$0.16,$0.28,$0.30,$0.33,$0.33
Normalized Diluted EPS,$0.15,$0.16,$0.27,$0.30,$0.32,$0.32
Dividend Per Share,$0.74,,$0.83,$0.90,$0.98,$0.98
Payout Ratio,81.78%,16.76%,75.97%,74.29%,118.46%,118.46%
FFO,416.4,447.0,484.0,510.5,521.6,521.6
FFO Payout Ratio %,61.31%,61.30%,60.23%,62.43%,68.11%,68.11%
AFFO,416.4,447.0,484.0,510.5,521.6,521.6
Funds Available for Distribution,416.4,447.0,484.0,510.5,521.6,521.6
EBITDA,455.5,442.6,486.9,548.0,596.7,596.7
EBITA,200.1,199.9,230.6,275.6,299.5,299.5
EBIT,198.0,196.3,232.9,261.4,289.0,289.0
Effective Tax Rate,NM,NM,2.3%,2.0%,NM,NM
Normalized Net Income,52.6,57.6,99.7,109.8,120.4,120.4
Interest Capitalized,16.1,18.9,27.2,26.5,24.3,24.3
