Income Statement,May 2017,May 2018,May 2019,May 2020,TTM
Revenues,3.41%,12.69%,5.33%,(8.27%),(29.42%)
Total Revenues,3.41%,12.69%,5.33%,(8.27%),(29.42%)
Cost Of Revenues,3.86%,13.10%,5.16%,(3.95%),(23.92%)
Gross Profit,1.84%,11.21%,5.94%,(23.83%),(49.28%)
Selling General & Admin Expenses,0.72%,5.53%,(0.20%),15.00%,(11.65%)
Depreciation & Amortization,(5.96%),14.73%,7.54%,5.70%,1.95%
Total Operating Expenses,(1.40%),8.32%,2.29%,11.86%,(6.98%)
Operating Income,6.54%,15.11%,10.56%,(65.64%),(97.91%)
Interest Expense,-37.87%,(43.86%),-9.55%,(15.19%),(34.09%)
Interest And Investment Income,18.18%,(38.46%),375.00%,28.95%,28.95%
Net Interest Expenses,-38.81%,(46.52%),-14.77%,(14.14%),(34.48%)
"EBT, Excl. Unusual Items",11.84%,13.10%,12.65%,(71.40%),(85.43%)
"EBT, Incl. Unusual Items",41.72%,(4.96%),29.16%,,
Income Tax Expense,72.00%,(98.77%),"3,252.63%",,
Earnings From Continuing Operations,34.14%,25.14%,19.01%,,
Earnings Of Discontinued Operations,,(129.41%),-33.33%,-38.46%,-19.44%
Net Income to Company,27.76%,24.40%,19.70%,,
Net Income,27.76%,24.40%,19.70%,,
NI to Common Incl Extra Items,27.76%,24.40%,19.70%,,
NI to Common Excl. Extra Items,34.14%,25.14%,19.01%,,
Revenue Per Share,6.00%,12.97%,5.76%,(7.67%),(33.01%)
Basic EPS,31.10%,24.84%,20.09%,,
Basic EPS - Continuing Ops,37.65%,25.50%,19.48%,,
Basic Weighted Average Shares Outst.,(2.43%),(0.24%),(0.40%),(0.65%),5.36%
Diluted EPS,31.14%,24.42%,20.26%,,
Diluted EPS - Continuing Ops,37.77%,25.07%,19.62%,,
Diluted Weighted Average Shares Outst.,(2.55%),0.00%,(0.48%),(2.15%),3.93%
Normalized Basic EPS,14.57%,13.46%,12.96%,(71.24%),(86.17%)
Normalized Diluted EPS,14.69%,13.09%,13.14%,(70.74%),(85.98%)
Dividend Per Share,6.67%,12.50%,19.05%,(12.00%),(80.24%)
Payout Ratio,(18.55%),(9.71%),(1.19%),,
EBITDA,2.21%,14.89%,9.58%,(46.44%),(71.13%)
EBITA,6.53%,15.21%,10.58%,(65.34%),(97.53%)
EBIT,6.54%,15.11%,10.56%,(65.64%),(97.91%)
EBITDAR,8.15%,13.95%,8.01%,(33.73%),
Effective Tax Rate,21.39%,(98.71%),"2,526.65%",753.08%,766.06%
Normalized Net Income,11.84%,13.10%,12.65%,(71.40%),(85.43%)
Interest Capitalized,142.86%,11.76%,15.79%,36.36%,
Interest on Long-Term Debt,(1.12%),29.55%,4.39%,33.61%,
