Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,25.33%,43.58%,43.08%,30.54%,0.00%
Total Revenues,25.33%,43.58%,43.08%,30.54%,0.00%
Cost Of Revenues,16.16%,62.41%,48.08%,18.75%,0.00%
Gross Profit,30.05%,34.91%,40.31%,37.42%,0.00%
Selling General & Admin Expenses,22.01%,23.94%,19.15%,20.36%,0.00%
R&D Expenses,18.77%,125.13%,(34.48%),31.59%,0.00%
Total Operating Expenses,20.87%,59.03%,(7.17%),24.25%,0.00%
Operating Income,-33.49%,(338.35%),,110.47%,0.00%
Interest Expense,"(1,728.57%)",(77.34%),(165.64%),(40.46%),0.00%
Interest And Investment Income,"1,575.00%",,,(53.52%),0.00%
Net Interest Expenses,"(1,933.33%)",(272.13%),(40.53%),(124.14%),0.00%
Other Non Operating Income (Expenses),,,,31.82%,
"EBT, Excl. Unusual Items",-25.12%,(251.03%),,113.01%,0.00%
"EBT, Incl. Unusual Items",-25.12%,(160.29%),,115.93%,0.00%
Income Tax Expense,128.57%,(62.50%),416.67%,,0.00%
Earnings From Continuing Operations,-23.48%,(153.19%),,388.23%,0.00%
Net Income to Company,-23.48%,(153.19%),,388.23%,0.00%
Net Income,-23.48%,(153.19%),,388.23%,0.00%
NI to Common Incl Extra Items,-23.48%,(153.19%),,388.23%,0.00%
NI to Common Excl. Extra Items,-23.48%,(153.19%),,388.23%,0.00%
Revenue Per Share,21.36%,40.41%,38.48%,25.99%,0.00%
Basic EPS,-25.42%,(148.46%),,371.06%,0.00%
Basic EPS - Continuing Ops,-25.42%,(148.46%),,371.06%,0.00%
Basic Weighted Average Shares Outst.,3.23%,2.20%,3.29%,3.62%,0.00%
Diluted EPS,-25.42%,(148.46%),,360.00%,0.00%
Diluted EPS - Continuing Ops,-25.42%,(148.46%),,360.00%,0.00%
Diluted Weighted Average Shares Outst.,3.23%,2.20%,4.65%,5.63%,0.00%
Normalized Basic EPS,-28.17%,(245.40%),,106.59%,0.00%
Normalized Diluted EPS,-28.17%,(245.40%),,102.76%,0.00%
EBITDA,-46.01%,(495.45%),,94.72%,0.00%
EBITA,-33.49%,(338.35%),,110.47%,0.00%
EBIT,-33.49%,(338.35%),,110.47%,0.00%
EBITDAR,-61.65%,(845.75%),,87.64%,
Effective Tax Rate,,,,,0.00%
Normalized Net Income,-25.12%,(251.03%),,113.01%,0.00%
Interest on Long-Term Debt,"1,728.57%",77.34%,165.64%,40.46%,
R&D Expense From Footnotes,18.77%,125.13%,(34.48%),31.59%,0.00%
Foreign Sales,,74.33%,47.51%,32.66%,
