Income Statement,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,10.21%,6.30%,(3.88%),11.86%,5.23%
Total Revenues,10.21%,6.30%,(3.88%),11.86%,5.23%
Cost Of Revenues,(5.24%),(0.47%),3.52%,3.56%,4.94%
Gross Profit,17.09%,8.73%,(6.33%),14.88%,5.33%
Selling General & Admin Expenses,8.17%,(0.18%),4.68%,(2.15%),3.39%
R&D Expenses,8.66%,9.54%,8.56%,8.79%,10.10%
Total Operating Expenses,8.35%,4.99%,7.34%,3.82%,7.18%
Operating Income,37.97%,15.74%,(29.57%),43.56%,1.27%
Interest Expense,(67.86%),-6.38%,(2.27%),-2.22%,(2.27%)
Interest And Investment Income,66.67%,100.00%,76.00%,13.64%,(61.90%)
Net Interest Expenses,(69.23%),,616.67%,30.23%,(96.34%)
Currency Exchange Gains (Loss),500.00%,(66.67%),"1,950.00%",(82.93%),(12.50%)
Other Non Operating Income (Expenses),100.00%,250.00%,,,
"EBT, Excl. Unusual Items",38.11%,18.29%,(24.57%),38.43%,(4.74%)
"EBT, Incl. Unusual Items",37.97%,19.75%,(25.53%),39.76%,(3.58%)
Income Tax Expense,,67.08%,(85.22%),,
Earnings From Continuing Operations,(16.35%),7.86%,(2.30%),198.23%,(58.34%)
Net Income to Company,(16.35%),7.86%,(2.30%),198.23%,(58.34%)
Net Income,(16.35%),7.86%,(2.30%),198.23%,(58.34%)
NI to Common Incl Extra Items,(16.35%),7.86%,(2.30%),198.23%,(58.34%)
NI to Common Excl. Extra Items,(16.35%),7.86%,(2.30%),198.23%,(58.34%)
Revenue Per Share,12.77%,4.57%,(2.29%),15.65%,7.51%
Basic EPS,(14.44%),6.16%,(0.80%),208.69%,(57.44%)
Basic EPS - Continuing Ops,(14.44%),6.16%,(0.80%),208.69%,(57.44%)
Basic Weighted Average Shares Outst.,(2.26%),1.65%,(1.62%),(3.30%),(2.12%)
Diluted EPS,(12.00%),8.44%,(0.30%),209.31%,(57.42%)
Diluted EPS - Continuing Ops,(12.00%),8.44%,(0.30%),209.31%,(57.42%)
Diluted Weighted Average Shares Outst.,(4.85%),(0.64%),(1.92%),(3.59%),(1.93%)
Normalized Basic EPS,41.16%,16.22%,(23.32%),43.44%,(2.68%)
Normalized Diluted EPS,45.14%,18.96%,(23.02%),43.74%,(2.86%)
EBITDA,30.88%,11.44%,(26.53%),38.72%,2.14%
EBITA,35.29%,12.19%,(28.24%),43.11%,0.78%
EBIT,37.97%,15.74%,(29.57%),43.56%,1.27%
EBITDAR,28.69%,,,,
Effective Tax Rate,,39.54%,(80.15%),,
Normalized Net Income,38.11%,18.29%,(24.57%),38.43%,(4.74%)
Interest on Long-Term Debt,67.86%,(6.38%),2.27%,(2.22%),
R&D Expense From Footnotes,8.66%,9.54%,8.56%,8.79%,10.10%
Foreign Sales,9.52%,88.92%,(3.88%),11.86%,
