Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6.76%,(12.86%),(0.16%),18.93%,0.00%
Total Revenues,6.76%,(12.86%),(0.16%),18.93%,0.00%
Cost Of Revenues,10.83%,(8.91%),5.59%,15.78%,0.00%
Gross Profit,5.65%,(14.00%),(1.92%),19.97%,0.00%
Selling General & Admin Expenses,8.86%,(10.80%),(5.08%),9.88%,0.00%
R&D Expenses,9.87%,(14.13%),(7.14%),11.37%,0.00%
Other Operating Expense/(Income),17.75%,(9.19%),6.07%,26.34%,0.00%
Total Operating Expenses,9.52%,(11.69%),(4.81%),11.06%,0.00%
Operating Income,(2.62%),(19.57%),5.71%,41.14%,0.00%
Interest Expense,(29.78%),(11.64%),-4.60%,-1.93%,0.00%
Interest And Investment Income,41.60%,(0.56%),(31.82%),(67.50%),0.00%
Net Interest Expenses,(15.00%),(30.43%),(27.33%),(39.27%),0.00%
Currency Exchange Gains (Loss),(92.86%),(25.00%),,(81.82%),0.00%
Other Non Operating Income (Expenses),,,,(10.00%),0.00%
"EBT, Excl. Unusual Items",(6.41%),(23.38%),4.71%,40.80%,0.00%
"EBT, Incl. Unusual Items",(37.69%),(1.14%),(22.23%),95.54%,0.00%
Income Tax Expense,,(96.32%),92.56%,276.82%,0.00%
Earnings From Continuing Operations,,,(28.76%),67.68%,0.00%
Earnings Of Discontinued Operations,-78.95%,,(32.84%),"1,057.41%",0.00%
Net Income to Company,,,(29.41%),217.30%,0.00%
Net Income,,,(29.41%),217.30%,0.00%
NI to Common Incl Extra Items,,,(29.41%),217.30%,0.00%
NI to Common Excl. Extra Items,,,(28.76%),67.68%,0.00%
Revenue Per Share,13.64%,(5.40%),15.20%,42.24%,0.00%
Basic EPS,,,(18.46%),280.08%,0.00%
Basic EPS - Continuing Ops,,,(17.71%),100.02%,0.00%
Basic Weighted Average Shares Outst.,(6.09%),(7.89%),(13.37%),(16.37%),0.00%
Diluted EPS,,,(18.54%),277.63%,0.00%
Diluted EPS - Continuing Ops,,,(17.67%),100.00%,0.00%
Diluted Weighted Average Shares Outst.,(6.99%),(6.86%),(13.62%),(16.12%),0.00%
Normalized Basic EPS,(0.09%),(16.89%),20.36%,67.80%,0.00%
Normalized Diluted EPS,0.70%,(17.81%),21.67%,67.24%,0.00%
Dividend Per Share,,,,14.29%,0.00%
Payout Ratio,,,,(70.21%),0.00%
EBITDA,(2.23%),(16.46%),3.99%,30.23%,0.00%
EBITA,(2.23%),(20.32%),5.66%,40.05%,0.00%
EBIT,(2.62%),(19.57%),5.71%,41.14%,0.00%
EBITDAR,(1.49%),(16.16%),7.60%,27.85%,
Effective Tax Rate,,(96.28%),147.62%,92.74%,0.00%
Normalized Net Income,(6.41%),(23.38%),4.71%,40.80%,0.00%
Interest on Long-Term Debt,20.87%,3.58%,(5.03%),(5.63%),
R&D Expense From Footnotes,9.26%,(12.25%),(7.02%),8.88%,0.00%
Foreign Sales,7.67%,(8.22%),1.23%,14.76%,
