Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5.20%,(11.66%),2.78%,(6.14%),0.00%
Total Revenues,5.20%,(11.66%),2.78%,(6.14%),0.00%
Cost Of Revenues,7.40%,(14.34%),1.99%,(2.14%),0.00%
Gross Profit,2.32%,(7.98%),3.80%,(11.20%),0.00%
Selling General & Admin Expenses,2.55%,(8.80%),1.16%,(6.30%),0.00%
Total Operating Expenses,2.55%,(8.80%),1.16%,(6.30%),0.00%
Operating Income,1.89%,(6.48%),8.49%,(19.33%),0.00%
Interest Expense,-11.46%,-6.93%,-8.93%,(3.17%),0.00%
Interest And Investment Income,(5.77%),(26.53%),64.58%,(38.40%),0.00%
Net Interest Expenses,-11.90%,-5.28%,-13.72%,(8.35%),0.00%
Other Non Operating Income (Expenses),,,92.86%,,0.00%
"EBT, Excl. Unusual Items",3.97%,(6.56%),11.44%,(22.45%),0.00%
"EBT, Incl. Unusual Items",6.85%,(9.95%),9.10%,(32.93%),0.00%
Income Tax Expense,(39.49%),31.75%,(10.15%),(38.81%),0.00%
Earnings From Continuing Operations,21.83%,(16.64%),13.98%,(31.75%),0.00%
Earnings Of Discontinued Operations,,,(25.45%),,0.00%
Net Income to Company,21.83%,(4.87%),9.10%,,0.00%
Minority Interest,-20.00%,(11.43%),(10.90%),(0.58%),0.00%
Net Income,22.42%,(5.02%),9.08%,,0.00%
NI to Common Incl Extra Items,22.42%,(5.02%),9.08%,,0.00%
NI to Common Excl. Extra Items,22.42%,(16.90%),14.02%,(32.14%),0.00%
Revenue Per Share,6.26%,(11.37%),2.96%,(5.78%),0.00%
Basic EPS,23.70%,(4.77%),9.31%,,0.00%
Basic EPS - Continuing Ops,23.70%,(16.69%),14.28%,(31.90%),0.00%
Basic Weighted Average Shares Outst.,(0.99%),(0.35%),(0.17%),(0.38%),0.00%
Diluted EPS,23.67%,(4.67%),9.13%,,0.00%
Diluted EPS - Continuing Ops,23.67%,(16.60%),14.05%,(31.62%),0.00%
Diluted Weighted Average Shares Outst.,(0.91%),(0.41%),(0.10%),(0.75%),0.00%
Normalized Basic EPS,5.40%,(6.47%),11.58%,(22.46%),0.00%
Normalized Diluted EPS,5.25%,(6.37%),11.43%,(22.19%),0.00%
Dividend Per Share,7.04%,11.18%,9.47%,2.16%,0.00%
Payout Ratio,(14.26%),16.11%,2.45%,,0.00%
EBITDA,2.82%,(10.04%),7.85%,(12.79%),0.00%
EBITA,2.43%,(10.42%),8.26%,(17.06%),0.00%
EBIT,1.89%,(6.48%),8.49%,(19.33%),0.00%
EBITDAR,3.20%,(11.39%),7.64%,(11.90%),
Effective Tax Rate,(43.38%),46.33%,(17.65%),(8.78%),0.00%
Normalized Net Income,4.36%,(6.78%),11.45%,(22.79%),0.00%
R&D Expense From Footnotes,6.35%,(3.98%),(1.55%),(2.63%),0.00%
Foreign Sales,6.45%,(12.68%),1.15%,(1.38%),
