Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(0.35%),2.53%,1.92%,(2.61%),0.00%
Total Revenues,(0.35%),2.53%,1.92%,(2.61%),0.00%
Fuel & Purchased Power,(30.41%),4.95%,(8.08%),0.17%,0.00%
Operations And Maintenance,2.45%,0.41%,0.73%,(11.81%),0.00%
Depreciation & Amortization,10.28%,7.23%,17.11%,14.01%,0.00%
Other Operating Expenses,15.22%,11.23%,(3.16%),(1.84%),0.00%
Total Operating Expenses,(1.88%),5.85%,0.05%,(1.98%),0.00%
Operating Income,5.63%,(9.46%),9.82%,(5.01%),0.00%
"Interest Expense, Total",(4.99%),(12.48%),(21.11%),(2.89%),0.00%
Interest and Investment Income,48.00%,7.21%,(19.33%),,
Net Interest Expenses,-0.16%,(13.42%),(27.89%),(13.77%),0.00%
Allow. For Equity Funds Used For Const.,10.00%,9.09%,16.67%,21.43%,0.00%
Allow. For Borrowed Funds Used For Const.,33.33%,25.00%,30.00%,7.69%,0.00%
Other Non-Operating Inc. (Exp.),(16.67%),(228.57%),,,0.00%
"EBT, Excl. Unusual Items",7.66%,(17.23%),5.08%,(15.78%),0.00%
Gain (Loss) on Sale of Assets,(99.04%),,,,
"EBT, Incl. Unusual Items",2.78%,(10.72%),(2.64%),(28.92%),0.00%
Income Tax Expense,(32.38%),(15.04%),(26.18%),(69.59%),0.00%
Earnings From Continuing Operations,22.49%,(9.38%),4.20%,(20.56%),0.00%
Net Income to Company,22.49%,(9.38%),4.20%,(20.56%),0.00%
Minority Interest,,,,-55.67%,0.00%
Net Income,22.49%,(9.38%),(2.82%),(18.02%),0.00%
NI to Common Incl Extra Items,22.49%,(9.38%),(2.82%),(18.02%),0.00%
NI to Common Excl. Extra Items,22.49%,(9.38%),(2.82%),(18.02%),0.00%
Revenue Per Share,(2.53%),1.02%,(3.29%),(4.45%),0.00%
Basic EPS,19.95%,(10.79%),(7.71%),(19.60%),0.00%
Basic EPS - Continuing Ops,19.95%,(10.79%),(7.71%),(19.60%),0.00%
Basic Weighted Average Shares Outst.,2.23%,1.50%,5.39%,1.92%,0.00%
Diluted EPS,19.90%,(10.53%),(7.69%),(19.61%),0.00%
Diluted EPS - Continuing Ops,19.90%,(10.53%),(7.69%),(19.61%),0.00%
Diluted Weighted Average Shares Outst.,2.29%,1.33%,5.31%,1.88%,0.00%
Normalized Basic EPS,5.24%,(18.41%),(9.14%),(13.59%),0.00%
Normalized Diluted EPS,5.20%,(18.32%),(9.14%),(13.54%),0.00%
Dividend Per Share,2.99%,3.62%,3.50%,3.38%,0.00%
Payout Ratio,(14.09%),15.70%,12.92%,28.71%,0.00%
EBITDA,7.16%,(3.80%),12.58%,2.48%,0.00%
EBITA,5.90%,(9.24%),13.34%,(4.71%),0.00%
EBIT,5.63%,(9.46%),9.82%,(5.01%),0.00%
EBITDAR,,,,2.48%,
Effective Tax Rate,(34.20%),(4.86%),(24.19%),(57.22%),0.00%
Normalized Net Income,7.66%,(17.23%),(4.31%),(11.87%),0.00%
Interest Capitalized,33.33%,25.00%,30.00%,7.69%,
Interest on Long-Term Debt,7.08%,7.44%,13.85%,3.04%,
