Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6.91%,1.48%,2.80%,17.67%,21.09%
Total Revenues,6.91%,1.48%,2.80%,17.67%,21.09%
Cost Of Revenues,8.74%,18.97%,5.64%,14.17%,16.68%
Gross Profit,5.91%,(8.36%),0.72%,20.35%,24.38%
Selling General & Admin Expenses,18.64%,6.70%,0.37%,11.98%,10.87%
Depreciation & Amortization,8.52%,7.85%,6.67%,18.09%,19.69%
Total Operating Expenses,16.37%,6.94%,1.70%,13.33%,12.88%
Operating Income,(8.69%),(35.56%),(2.16%),41.88%,55.87%
Interest Expense,(0.76%),(11.53%),(7.92%),(26.77%),(28.00%)
Net Interest Expenses,(0.76%),(11.53%),(7.92%),(26.77%),(28.00%)
Other Non Operating Income (Expenses),13.74%,52.35%,1.32%,(26.52%),(70.97%)
"EBT, Excl. Unusual Items",(9.26%),(39.95%),(4.47%),42.17%,52.72%
"EBT, Incl. Unusual Items",2.53%,(50.39%),,,107.12%
Income Tax Expense,(36.25%),(64.06%),,,108.12%
Earnings From Continuing Operations,20.78%,(46.99%),,,106.81%
Net Income to Company,20.78%,(46.99%),,,106.81%
Minority Interest,(69.84%),-39.25%,-7.69%,(1.67%),-14.06%
Net Income,20.15%,(47.13%),,,109.49%
NI to Common Incl Extra Items,20.15%,(47.13%),,,109.49%
NI to Common Excl. Extra Items,20.15%,(47.13%),,,109.49%
Revenue Per Share,6.20%,1.21%,2.37%,17.10%,20.51%
Basic EPS,19.27%,(47.26%),,,108.50%
Basic EPS - Continuing Ops,19.27%,(47.26%),,,108.50%
Basic Weighted Average Shares Outst.,0.67%,0.25%,0.42%,0.50%,0.48%
Diluted EPS,19.55%,(47.00%),,,107.61%
Diluted EPS - Continuing Ops,19.55%,(47.00%),,,107.61%
Diluted Weighted Average Shares Outst.,0.33%,(0.08%),(0.41%),1.57%,1.30%
Normalized Basic EPS,(10.93%),(40.19%),(4.90%),42.18%,53.46%
Normalized Diluted EPS,(10.61%),(40.00%),(3.99%),40.68%,52.22%
Dividend Per Share,18.18%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,(1.03%),89.64%,,,(52.06%)
EBITDA,(4.61%),(23.50%),1.30%,32.28%,41.79%
EBITA,(7.61%),(31.14%),(3.60%),32.81%,45.28%
EBIT,(8.69%),(35.56%),(2.16%),41.88%,55.87%
EBITDAR,(4.02%),(22.15%),1.18%,30.59%,
Effective Tax Rate,(37.82%),(27.55%),(40.17%),,0.48%
Normalized Net Income,(10.31%),(39.97%),(4.39%),43.16%,54.19%
Foreign Sales,15.05%,2.49%,(4.23%),(5.60%),
