Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,9008.0,9549.0,10151.0,9273.0,8473.0,8473.0
Total Revenues,9008.0,9549.0,10151.0,9273.0,8473.0,8473.0
Cost Of Revenues,6651.0,7074.0,7672.0,7039.0,6490.0,6490.0
Gross Profit,2357.0,2475.0,2479.0,2234.0,1983.0,1983.0
Selling General & Admin Expenses,695.0,594.0,693.0,751.0,773.0,773.0
R&D Expenses,223.0,227.0,235.0,234.0,226.0,226.0
Total Operating Expenses,918.0,821.0,928.0,985.0,999.0,999.0
Operating Income,1439.0,1654.0,1551.0,1249.0,984.0,984.0
Interest Expense,(258.0),(244.0),(238.0),(221.0),(214.0),(214.0)
Interest And Investment Income,3.0,3.0,3.0,3.0,4.0,4.0
Net Interest Expenses,(255.0),(241.0),(235.0),(218.0),(210.0),(210.0)
Currency Exchange Gains (Loss),(27.0),(5.0),(12.0),(9.0),(16.0),(16.0)
Other Non Operating Income (Expenses),6.0,(5.0),(4.0),(4.0),(7.0),(7.0)
"EBT, Excl. Unusual Items",1176.0,1415.0,1317.0,1028.0,766.0,766.0
"EBT, Incl. Unusual Items",1049.0,1289.0,1310.0,902.0,530.0,530.0
Income Tax Expense,190.0,(99.0),226.0,140.0,41.0,41.0
Earnings From Continuing Operations,859.0,1388.0,1084.0,762.0,489.0,489.0
Net Income to Company,859.0,1388.0,1084.0,762.0,489.0,489.0
Minority Interest,(5.0),(4.0),(4.0),(3.0),(11.0),(11.0)
Net Income,854.0,1384.0,1080.0,759.0,478.0,478.0
NI to Common Incl Extra Items,854.0,1384.0,1080.0,759.0,478.0,478.0
NI to Common Excl. Extra Items,854.0,1384.0,1080.0,759.0,478.0,478.0
Revenue Per Share,$61.15,$65.95,$71.89,$67.49,$62.53,$62.53
Basic EPS,$5.80,$9.56,$7.65,$5.52,$3.53,$3.53
Basic EPS - Continuing Ops,$5.80,$9.56,$7.65,$5.52,$3.53,$3.53
Basic Weighted Average Shares Outst.,147.3,144.8,141.2,137.4,135.5,135.5
Diluted EPS,$5.75,$9.47,$7.56,$5.48,$3.50,$3.50
Diluted EPS - Continuing Ops,$5.75,$9.47,$7.56,$5.48,$3.50,$3.50
Diluted Weighted Average Shares Outst.,148.4,146.1,142.9,138.5,136.5,136.5
Normalized Basic EPS,$4.96,$6.08,$5.80,$4.65,$3.45,$3.45
Normalized Diluted EPS,$4.92,$6.03,$5.73,$4.62,$3.43,$3.43
Dividend Per Share,$1.89,$2.09,$2.30,$2.52,$2.67,$2.67
Payout Ratio,31.85%,21.39%,29.44%,45.19%,74.90%,74.90%
EBITDA,2019.0,2241.0,2155.0,1860.0,1550.0,1550.0
EBITA,1605.0,1818.0,1715.0,1409.0,1112.0,1112.0
EBIT,1439.0,1654.0,1551.0,1249.0,984.0,984.0
EBITDAR,2109.0,,,1968.0,1656.0,1656.0
Effective Tax Rate,18.1%,NM,17.3%,15.5%,7.7%,7.7%
Normalized Net Income,730.0,880.4,819.1,639.5,467.8,467.8
Interest Capitalized,7.0,7.0,4.0,4.0,4.0,4.0
R&D Expense From Footnotes,223.0,227.0,235.0,234.0,226.0,226.0
Foreign Sales,5205.0,9549.0,10151.0,9273.0,8473.0,8473.0
