Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(11.29%),10.48%,97.47%,24.04%,19.31%
Total Revenues,(11.29%),10.48%,97.47%,24.04%,19.31%
Cost Of Revenues,(13.02%),(3.65%),81.81%,6.29%,4.60%
Gross Profit,(3.39%),68.52%,134.26%,56.38%,44.56%
Selling General & Admin Expenses,(31.53%),22.02%,36.51%,37.18%,44.91%
R&D Expenses,(34.61%),(1.72%),23.92%,38.48%,50.60%
Total Operating Expenses,(32.86%),11.99%,31.84%,37.63%,46.89%
Operating Income,-61.88%,,"1,514.22%",77.01%,42.50%
Interest Expense,(196.14%),(30.21%),-9.37%,(116.71%),(176.80%)
Interest And Investment Income,,283.33%,137.52%,(14.21%),(66.46%)
Net Interest Expenses,(186.19%),(21.41%),-25.50%,(162.54%),(321.55%)
Other Non Operating Income (Expenses),,,-98.31%,"(120,567.57%)",
"EBT, Excl. Unusual Items",-54.31%,-81.35%,,24.04%,(58.17%)
"EBT, Incl. Unusual Items",-31.29%,-77.44%,,32.51%,(57.88%)
Income Tax Expense,,,,-79.47%,-56.66%
Earnings From Continuing Operations,-33.01%,-74.27%,,(16.85%),(57.44%)
Net Income to Company,-33.01%,-74.27%,,(16.85%),(57.44%)
Net Income,-33.01%,-74.27%,,(16.85%),(57.44%)
NI to Common Incl Extra Items,-33.01%,-74.27%,,(16.85%),(57.44%)
NI to Common Excl. Extra Items,-33.01%,-74.27%,,(16.85%),(57.44%)
Revenue Per Share,(46.00%),(8.01%),68.75%,15.28%,12.80%
Basic EPS,-59.34%,-78.39%,,(22.67%),(59.76%)
Basic EPS - Continuing Ops,-59.34%,-78.39%,,(22.67%),(59.76%)
Basic Weighted Average Shares Outst.,64.17%,20.11%,17.16%,7.58%,5.77%
Diluted EPS,-59.34%,-77.78%,,(23.14%),(59.48%)
Diluted EPS - Continuing Ops,-59.34%,-77.78%,,(23.14%),(59.48%)
Diluted Weighted Average Shares Outst.,64.17%,20.11%,32.15%,7.80%,4.95%
Normalized Basic EPS,-72.18%,-84.17%,,15.00%,(60.45%)
Normalized Diluted EPS,-72.18%,-84.17%,,14.73%,(60.14%)
EBITDA,-72.13%,,624.20%,72.57%,42.65%
EBITA,-61.42%,,"1,553.20%",75.53%,41.94%
EBIT,-61.88%,,"1,514.22%",77.01%,42.50%
EBITDAR,,,,71.22%,
Effective Tax Rate,,,,,(2.91%)
Normalized Net Income,-54.31%,-81.35%,,24.04%,(58.17%)
Interest on Long-Term Debt,196.14%,30.21%,(9.37%),116.71%,
R&D Expense From Footnotes,(34.61%),(1.72%),23.92%,38.48%,50.60%
Foreign Sales,36.36%,,,35.52%,
