Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,50.15%,53.28%,(1.37%),(41.72%),0.00%
Other Revenues,0.25%,9.83%,49.89%,(54.63%),0.00%
Total Revenues,49.62%,52.97%,(1.10%),(41.82%),0.00%
Cost Of Revenues,35.57%,45.77%,3.68%,(37.72%),0.00%
Gross Profit,64.51%,59.26%,(4.93%),(45.41%),0.00%
Selling General & Admin Expenses,24.91%,(1.73%),14.62%,(1.14%),0.00%
Depreciation & Amortization,(4.05%),0.76%,9.15%,(9.32%),0.00%
Other Operating Expense/(Income),16.81%,78.75%,(33.92%),,0.00%
Total Operating Expenses,(1.54%),5.97%,3.90%,(6.19%),0.00%
Operating Income,,306.04%,(15.59%),,0.00%
Interest Expense,-2.59%,-10.69%,-24.45%,(10.88%),0.00%
Interest And Investment Income,194.50%,49.70%,125.41%,(54.90%),0.00%
Net Interest Expenses,-4.44%,-12.43%,-31.86%,(21.64%),0.00%
Other Non Operating Income (Expenses),-40.84%,,(66.93%),,0.00%
"EBT, Excl. Unusual Items",,411.51%,(14.64%),,0.00%
"EBT, Incl. Unusual Items",,541.43%,(16.40%),,0.00%
Income Tax Expense,(316.95%),,(1.41%),,0.00%
Earnings From Continuing Operations,,32.39%,(20.01%),,0.00%
Net Income to Company,,32.39%,(20.01%),,0.00%
Net Income,,32.39%,(20.01%),,0.00%
NI to Common Incl Extra Items,,32.39%,(20.01%),,0.00%
NI to Common Excl. Extra Items,,32.39%,(20.01%),,0.00%
Revenue Per Share,44.12%,52.48%,(1.30%),(41.95%),0.00%
Basic EPS,,32.07%,(20.16%),,0.00%
Basic EPS - Continuing Ops,,32.07%,(20.16%),,0.00%
Basic Weighted Average Shares Outst.,3.84%,0.34%,0.19%,0.22%,0.00%
Diluted EPS,,32.06%,(20.03%),,0.00%
Diluted EPS - Continuing Ops,,32.06%,(20.03%),,0.00%
Diluted Weighted Average Shares Outst.,4.57%,0.30%,0.06%,(0.31%),0.00%
Normalized Basic EPS,,406.91%,(14.79%),,0.00%
Normalized Diluted EPS,,409.32%,(14.67%),,0.00%
Dividend Per Share,0.00%,20.90%,33.64%,38.89%,0.00%
Payout Ratio,,(14.42%),67.89%,,0.00%
EBITDA,80.10%,64.28%,(2.85%),(36.21%),0.00%
EBITA,,306.04%,(15.59%),,0.00%
EBIT,,306.04%,(15.59%),,0.00%
EBITDAR,,,,(35.52%),
Effective Tax Rate,,,17.94%,(20.40%),0.00%
Normalized Net Income,,411.51%,(14.64%),,0.00%
Interest Capitalized,(13.36%),(10.69%),56.31%,(19.34%),
Interest on Long-Term Debt,,,,(13.41%),
Foreign Earnings,-78.24%,,(40.66%),(98.07%),
Foreign Sales,2.96%,36.78%,(27.25%),(29.46%),
