Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,20.90%,36.82%,35.56%,110.86%,0.00%
Total Revenues,20.90%,36.82%,35.56%,110.86%,0.00%
Cost Of Revenues,21.83%,26.96%,42.08%,71.47%,0.00%
Gross Profit,20.42%,41.91%,32.55%,130.36%,0.00%
Selling General & Admin Expenses,13.57%,26.36%,38.15%,96.82%,0.00%
R&D Expenses,29.59%,36.23%,25.33%,47.75%,0.00%
Total Operating Expenses,17.53%,29.05%,34.46%,83.67%,0.00%
Operating Income,54.86%,158.28%,23.92%,359.45%,0.00%
Interest Expense,(54.50%),(99.26%),(9.66%),(72.80%),0.00%
Interest And Investment Income,40.66%,274.14%,47.36%,(46.19%),0.00%
Net Interest Expenses,(58.78%),(51.34%),-15.88%,(214.03%),0.00%
Currency Exchange Gains (Loss),,,,,0.00%
"EBT, Excl. Unusual Items",,11.67%,53.53%,354.53%,0.00%
"EBT, Incl. Unusual Items",,70.71%,46.42%,353.47%,0.00%
Income Tax Expense,,-54.75%,-31.97%,,0.00%
Earnings From Continuing Operations,,(5.27%),23.75%,264.20%,0.00%
Net Income to Company,,(5.27%),23.75%,264.20%,0.00%
Net Income,,(5.27%),23.75%,264.20%,0.00%
Preferred Dividend and Other Adjustments,,(53.75%),,,
NI to Common Incl Extra Items,,(5.22%),23.81%,264.20%,0.00%
NI to Common Excl. Extra Items,,(5.22%),23.81%,264.20%,0.00%
Revenue Per Share,15.96%,35.07%,36.23%,108.07%,0.00%
Basic EPS,,(6.57%),25.21%,260.04%,0.00%
Basic EPS - Continuing Ops,,(6.57%),25.21%,260.04%,0.00%
Basic Weighted Average Shares Outst.,4.38%,1.36%,(0.40%),1.33%,0.00%
Diluted EPS,,(10.33%),24.59%,254.11%,0.00%
Diluted EPS - Continuing Ops,,(10.33%),24.59%,254.11%,0.00%
Diluted Weighted Average Shares Outst.,7.67%,3.94%,(1.07%),8.51%,0.00%
Normalized Basic EPS,,10.20%,52.30%,350.28%,0.00%
Normalized Diluted EPS,,8.35%,55.70%,319.29%,0.00%
EBITDA,51.64%,91.92%,28.45%,281.78%,0.00%
EBITA,73.04%,144.43%,29.33%,331.19%,0.00%
EBIT,54.86%,158.28%,23.92%,359.45%,0.00%
EBITDAR,38.35%,84.10%,30.19%,267.47%,
Effective Tax Rate,,,,,0.00%
Normalized Net Income,,11.67%,53.53%,354.53%,0.00%
Interest on Long-Term Debt,0.00%,722.00%,84.91%,72.80%,
R&D Expense From Footnotes,38.53%,23.73%,35.25%,47.38%,0.00%
Foreign Sales,39.63%,46.72%,47.99%,114.42%,
