Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,8774.0,10060.0,11223.0,12067.0,5199.0,5199.0
Total Revenues,8774.0,10060.0,11223.0,12067.0,5199.0,5199.0
Cost Of Revenues,1597.0,1757.0,1864.0,2077.0,1680.0,1680.0
Gross Profit,7177.0,8303.0,9359.0,9990.0,3519.0,3519.0
Selling General & Admin Expenses,5045.0,6015.0,6495.0,6893.0,3143.0,3143.0
R&D Expenses,1235.0,1387.0,1122.0,1226.0,1010.0,1010.0
Depreciation & Amortization,,,959.0,910.0,893.0,893.0
Total Operating Expenses,6597.0,7677.0,8576.0,9029.0,5046.0,5046.0
Operating Income,580.0,626.0,783.0,961.0,"(1,527.0)","(1,527.0)"
Interest Expense,(173.0),(182.0),(190.0),(173.0),(360.0),(360.0)
Interest And Investment Income,20.0,34.0,71.0,59.0,18.0,18.0
Net Interest Expenses,(153.0),(148.0),(119.0),(114.0),(342.0),(342.0)
Currency Exchange Gains (Loss),(15.0),(46.0),3.0,(34.0),71.0,71.0
Other Non Operating Income (Expenses),(5.0),,(2.0),12.0,(6.0),(6.0)
"EBT, Excl. Unusual Items",407.0,432.0,665.0,825.0,"(1,804.0)","(1,804.0)"
"EBT, Incl. Unusual Items",277.0,417.0,485.0,775.0,"(3,151.0)","(3,151.0)"
Income Tax Expense,16.0,45.0,87.0,203.0,(423.0),(423.0)
Earnings From Continuing Operations,261.0,372.0,398.0,572.0,"(2,728.0)","(2,728.0)"
Net Income to Company,261.0,372.0,398.0,572.0,"(2,728.0)","(2,728.0)"
Minority Interest,21.0,6.0,8.0,(7.0),116.0,116.0
Net Income,282.0,378.0,406.0,565.0,"(2,612.0)","(2,612.0)"
Preferred Dividend and Other Adjustments,,,,,75.0,75.0
NI to Common Incl Extra Items,282.0,378.0,406.0,565.0,"(2,687.0)","(2,687.0)"
NI to Common Excl. Extra Items,282.0,378.0,406.0,565.0,"(2,687.0)","(2,687.0)"
Revenue Per Share,$58.35,$66.35,$74.84,$81.98,$36.76,$36.76
Basic EPS,$1.88,$2.49,$2.71,$3.84,($19.00),($19.00)
Basic EPS - Continuing Ops,$1.88,$2.49,$2.71,$3.84,($19.00),($19.00)
Basic Weighted Average Shares Outst.,150.4,151.6,150.0,147.2,141.4,141.4
Diluted EPS,$1.82,$2.42,$2.65,$3.77,($19.00),($19.00)
Diluted EPS - Continuing Ops,$1.82,$2.42,$2.65,$3.77,($19.00),($19.00)
Diluted Weighted Average Shares Outst.,154.5,156.4,152.9,149.9,141.4,141.4
Normalized Basic EPS,$1.83,$1.82,$2.82,$3.46,($7.15),($7.15)
Normalized Diluted EPS,$1.78,$1.76,$2.77,$3.39,($7.15),($7.15)
Dividend Per Share,$1.00,$1.16,$1.24,$1.32,$0.34,$0.34
Payout Ratio,53.19%,46.56%,45.81%,34.51%,NM,NM
EBITDA,1074.0,1117.0,1263.0,1315.0,"(1,227.0)","(1,227.0)"
EBITA,897.0,901.0,1066.0,1159.0,"(1,373.0)","(1,373.0)"
EBIT,580.0,626.0,783.0,961.0,"(1,527.0)","(1,527.0)"
EBITDAR,1221.0,1285.0,1445.0,1485.0,"(1,068.0)","(1,068.0)"
Effective Tax Rate,5.8%,10.8%,17.9%,26.2%,NM,NM
Normalized Net Income,275.4,276.0,423.6,508.6,"(1,011.5)","(1,011.5)"
R&D Expense From Footnotes,300.0,398.0,479.0,556.0,593.0,593.0
Foreign Sales,3731.0,4518.0,5021.0,5198.0,1688.0,1688.0
