Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,27638.0,40653.0,55838.0,70697.0,85965.0,85965.0
Total Revenues,27638.0,40653.0,55838.0,70697.0,85965.0,85965.0
Cost Of Revenues,3789.0,5454.0,9355.0,12770.0,16692.0,16692.0
Gross Profit,23849.0,35199.0,46483.0,57927.0,69273.0,69273.0
Selling General & Admin Expenses,5503.0,7242.0,11297.0,15341.0,18155.0,18155.0
R&D Expenses,5919.0,7754.0,10273.0,13600.0,18447.0,18447.0
Total Operating Expenses,11422.0,14996.0,21570.0,28941.0,36602.0,36602.0
Operating Income,12427.0,20203.0,24913.0,28986.0,32671.0,32671.0
Interest Expense,(10.0),(6.0),,,,
Interest And Investment Income,176.0,398.0,652.0,904.0,672.0,672.0
Net Interest Expenses,166.0,392.0,652.0,904.0,672.0,672.0
Currency Exchange Gains (Loss),(76.0),(6.0),(213.0),(105.0),(129.0),(129.0)
Other Non Operating Income (Expenses),1.0,5.0,9.0,27.0,(34.0),(34.0)
"EBT, Excl. Unusual Items",12518.0,20594.0,25361.0,29812.0,33180.0,33180.0
"EBT, Incl. Unusual Items",12518.0,20594.0,25361.0,24812.0,33180.0,33180.0
Income Tax Expense,2301.0,4660.0,3249.0,6327.0,4034.0,4034.0
Earnings From Continuing Operations,10217.0,15934.0,22112.0,18485.0,29146.0,29146.0
Net Income to Company,10217.0,15934.0,22112.0,18485.0,29146.0,29146.0
Net Income,10217.0,15934.0,22112.0,18485.0,29146.0,29146.0
Preferred Dividend and Other Adjustments,29.0,14.0,1.0,,,
NI to Common Incl Extra Items,10188.0,15920.0,22111.0,18485.0,29146.0,29146.0
NI to Common Excl. Extra Items,10188.0,15920.0,22111.0,18485.0,29146.0,29146.0
Revenue Per Share,$9.65,$14.01,$19.32,$24.77,$30.15,$30.15
Basic EPS,$3.56,$5.49,$7.65,$6.48,$10.22,$10.22
Basic EPS - Continuing Ops,$3.56,$5.49,$7.65,$6.48,$10.22,$10.22
Basic Weighted Average Shares Outst.,2863.0,2901.0,2890.0,2854.0,2851.0,2851.0
Diluted EPS,$3.49,$5.39,$7.57,$6.43,$10.09,$10.09
Diluted EPS - Continuing Ops,$3.49,$5.39,$7.57,$6.43,$10.09,$10.09
Diluted Weighted Average Shares Outst.,2925.0,2956.0,2921.0,2876.0,2888.0,2888.0
Normalized Basic EPS,$2.73,$4.44,$5.48,$6.53,$7.27,$7.27
Normalized Diluted EPS,$2.67,$4.35,$5.43,$6.48,$7.18,$7.18
EBITDA,14769.0,23228.0,29228.0,34727.0,39533.0,39533.0
EBITA,13178.0,20895.0,25553.0,29548.0,33144.0,33144.0
EBIT,12427.0,20203.0,24913.0,28986.0,32671.0,32671.0
EBITDAR,15038.0,23591.0,29857.0,36026.0,41193.0,41193.0
Effective Tax Rate,18.4%,22.6%,12.8%,25.5%,12.2%,12.2%
Normalized Net Income,7823.8,12871.3,15850.6,18632.5,20737.5,20737.5
Interest on Long-Term Debt,,,,12.0,14.0,14.0
R&D Expense From Footnotes,5919.0,7754.0,10273.0,13600.0,18447.0,18447.0
Foreign Sales,15058.0,22923.0,31738.0,40467.0,49715.0,49715.0
