Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,47.09%,37.35%,26.61%,21.60%,0.00%
Total Revenues,47.09%,37.35%,26.61%,21.60%,0.00%
Cost Of Revenues,43.94%,71.53%,36.50%,30.71%,0.00%
Gross Profit,47.59%,32.06%,24.62%,19.59%,0.00%
Selling General & Admin Expenses,31.60%,55.99%,35.80%,18.34%,0.00%
R&D Expenses,31.00%,32.49%,32.39%,35.64%,0.00%
Total Operating Expenses,31.29%,43.84%,34.17%,26.47%,0.00%
Operating Income,62.57%,23.31%,16.35%,12.71%,0.00%
Interest Expense,-40.00%,,,,
Interest And Investment Income,126.14%,63.82%,38.65%,(25.66%),0.00%
Net Interest Expenses,136.14%,66.33%,38.65%,(25.66%),0.00%
Currency Exchange Gains (Loss),-92.11%,"(3,450.00%)",-50.70%,(22.86%),0.00%
Other Non Operating Income (Expenses),400.00%,80.00%,200.00%,,0.00%
"EBT, Excl. Unusual Items",64.52%,23.15%,17.55%,11.30%,0.00%
"EBT, Incl. Unusual Items",64.52%,23.15%,(2.16%),33.73%,0.00%
Income Tax Expense,102.52%,(30.28%),94.74%,(36.24%),0.00%
Earnings From Continuing Operations,55.96%,38.77%,(16.40%),57.67%,0.00%
Net Income to Company,55.96%,38.77%,(16.40%),57.67%,0.00%
Net Income,55.96%,38.77%,(16.40%),57.67%,0.00%
Preferred Dividend and Other Adjustments,(51.72%),(92.86%),,,
NI to Common Incl Extra Items,56.26%,38.89%,(16.40%),57.67%,0.00%
NI to Common Excl. Extra Items,56.26%,38.89%,(16.40%),57.67%,0.00%
Revenue Per Share,45.22%,37.91%,28.22%,21.73%,0.00%
Basic EPS,54.15%,39.36%,(15.33%),57.76%,0.00%
Basic EPS - Continuing Ops,54.15%,39.36%,(15.33%),57.76%,0.00%
Basic Weighted Average Shares Outst.,1.33%,(0.38%),(1.25%),(0.11%),0.00%
Diluted EPS,54.45%,40.45%,(15.06%),56.92%,0.00%
Diluted EPS - Continuing Ops,54.45%,40.45%,(15.06%),56.92%,0.00%
Diluted Weighted Average Shares Outst.,1.06%,(1.18%),(1.54%),0.42%,0.00%
Normalized Basic EPS,62.52%,23.53%,19.13%,11.39%,0.00%
Normalized Diluted EPS,63.08%,24.75%,19.31%,10.81%,0.00%
EBITDA,57.28%,25.83%,18.81%,13.84%,0.00%
EBITA,58.56%,22.29%,15.63%,12.17%,0.00%
EBIT,62.57%,23.31%,16.35%,12.71%,0.00%
EBITDAR,56.88%,26.56%,20.66%,14.34%,
Effective Tax Rate,23.11%,(43.39%),99.06%,(52.32%),0.00%
Normalized Net Income,64.52%,23.15%,17.55%,11.30%,0.00%
Interest on Long-Term Debt,,,,16.67%,
R&D Expense From Footnotes,31.00%,32.49%,32.39%,35.64%,0.00%
Foreign Sales,52.23%,38.45%,27.50%,22.85%,
