Income Statement,May 2017,May 2018,May 2019,May 2020,TTM
Revenues,19.76%,8.51%,6.48%,(0.68%),13.04%
Total Revenues,19.76%,8.51%,6.48%,(0.68%),13.04%
Cost Of Revenues,21.24%,8.98%,15.43%,(4.35%),6.52%
Gross Profit,16.10%,7.27%,(17.08%),12.78%,38.03%
Selling General & Admin Expenses,9.83%,(3.49%),5.88%,(8.76%),(8.76%)
Depreciation & Amortization,13.84%,3.34%,8.34%,7.81%,5.37%
Other Operating Expense/(Income),26.49%,9.41%,5.76%,5.65%,9.64%
Total Operating Expenses,22.28%,7.35%,6.40%,5.69%,7.93%
Operating Income,4.04%,7.10%,(71.04%),72.68%,941.08%
Interest Expense,(52.38%),(8.98%),(5.38%),(14.29%),(22.88%)
Interest And Investment Income,57.14%,45.45%,22.92%,(6.78%),(6.78%)
Net Interest Expenses,(52.06%),(6.47%),(3.73%),(16.64%),(25.91%)
Other Non Operating Income (Expenses),,,(342.86%),-70.97%,
"EBT, Excl. Unusual Items",51.39%,6.53%,(79.34%),106.07%,
"EBT, Incl. Unusual Items",67.12%,(4.94%),(84.95%),154.81%,
Income Tax Expense,71.96%,,,233.04%,
Earnings From Continuing Operations,64.67%,52.55%,(88.19%),138.15%,
Net Income to Company,64.67%,52.55%,(88.19%),138.15%,
Net Income,64.67%,52.55%,(88.19%),138.15%,
Preferred Dividend and Other Adjustments,100.00%,50.00%,(83.33%),100.00%,500.00%
NI to Common Incl Extra Items,64.63%,52.56%,(88.20%),138.22%,
NI to Common Excl. Extra Items,64.63%,52.56%,(88.20%),138.22%,
Revenue Per Share,24.27%,8.10%,8.52%,(0.30%),12.50%
Basic EPS,70.74%,52.01%,(87.97%),138.81%,
Basic EPS - Continuing Ops,70.74%,52.01%,(87.97%),138.81%,
Basic Weighted Average Shares Outst.,(3.62%),0.38%,(1.87%),(0.38%),0.48%
Diluted EPS,70.05%,51.67%,(87.91%),141.38%,
Diluted EPS - Continuing Ops,70.05%,51.67%,(87.91%),141.38%,
Diluted Weighted Average Shares Outst.,(3.23%),0.74%,(2.57%),(1.13%),1.72%
Normalized Basic EPS,57.09%,6.15%,(78.95%),106.49%,
Normalized Diluted EPS,56.34%,5.75%,(78.80%),108.26%,
Dividend Per Share,47.83%,26.47%,20.93%,0.00%,0.00%
Payout Ratio,(6.61%),(17.65%),981.04%,(58.25%),
EBITDA,7.46%,5.71%,(42.33%),28.60%,113.64%
EBITA,5.60%,6.90%,(70.02%),68.13%,797.07%
EBIT,4.04%,7.10%,(71.04%),72.68%,941.08%
EBITDAR,9.33%,5.21%,(31.14%),29.12%,
Effective Tax Rate,2.89%,,,30.68%,(50.30%)
Normalized Net Income,51.39%,6.53%,(79.34%),106.07%,
Interest Capitalized,(2.38%),48.78%,4.92%,(15.63%),
Interest on Long-Term Debt,43.26%,11.93%,5.33%,11.35%,
Foreign Sales,63.07%,9.07%,1.10%,(5.86%),
