Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,4.76%,3.41%,3.75%,4.83%,6.09%
Total Revenues,4.76%,3.41%,3.75%,4.83%,6.09%
Cost Of Revenues,4.83%,2.26%,(1.36%),14.39%,21.12%
Gross Profit,4.75%,3.65%,4.77%,3.03%,3.27%
Selling General & Admin Expenses,5.47%,1.90%,15.47%,14.09%,10.69%
R&D Expenses,4.83%,4.49%,11.47%,8.15%,11.52%
Total Operating Expenses,5.27%,2.68%,14.24%,12.31%,10.94%
Operating Income,3.71%,5.59%,(13.72%),(20.99%),(18.48%)
Interest And Investment Income,28.79%,100.00%,48.82%,(51.78%),(75.08%)
Net Interest Expenses,28.79%,100.00%,48.82%,(51.78%),(75.08%)
Other Non Operating Income (Expenses),,,-35.93%,(204.30%),-6.46%
"EBT, Excl. Unusual Items",5.31%,5.70%,(11.86%),(23.50%),(22.09%)
"EBT, Incl. Unusual Items",4.66%,4.91%,(10.38%),(26.74%),(23.33%)
Income Tax Expense,(15.91%),(3.03%),(24.45%),(21.54%),(17.30%)
Earnings From Continuing Operations,15.01%,7.83%,(5.72%),(28.12%),(24.98%)
Net Income to Company,15.01%,7.83%,(5.72%),(28.12%),(24.98%)
Net Income,15.01%,7.83%,(5.72%),(28.12%),(24.98%)
NI to Common Incl Extra Items,15.01%,7.83%,(5.72%),(28.12%),(24.98%)
NI to Common Excl. Extra Items,15.01%,7.83%,(5.72%),(28.12%),(24.98%)
Revenue Per Share,10.07%,8.32%,5.86%,3.33%,4.43%
Basic EPS,20.75%,12.89%,(3.86%),(29.11%),(26.16%)
Basic EPS - Continuing Ops,20.75%,12.89%,(3.86%),(29.11%),(26.16%)
Basic Weighted Average Shares Outst.,(4.83%),(4.54%),(1.99%),1.44%,1.59%
Diluted EPS,20.82%,12.62%,(3.28%),(29.24%),(26.48%)
Diluted EPS - Continuing Ops,20.82%,12.62%,(3.28%),(29.24%),(26.48%)
Diluted Weighted Average Shares Outst.,(4.72%),(4.26%),(2.51%),1.53%,2.06%
Normalized Basic EPS,10.67%,10.78%,(10.11%),(24.62%),(23.31%)
Normalized Diluted EPS,10.50%,10.40%,(9.58%),(24.66%),(23.66%)
EBITDA,5.91%,4.80%,(11.15%),(13.97%),(10.67%)
EBITA,5.29%,5.27%,(13.36%),(16.29%),(13.58%)
EBIT,3.71%,5.59%,(13.72%),(20.99%),(18.48%)
EBITDAR,5.64%,,,,
Effective Tax Rate,(19.66%),(7.56%),(15.72%),7.12%,7.87%
Normalized Net Income,5.31%,5.70%,(11.86%),(23.50%),(22.09%)
R&D Expense From Footnotes,1.61%,4.49%,11.47%,8.15%,11.52%
Foreign Sales,3.98%,5.75%,2.96%,2.24%,
