Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5505.0,5696.0,5823.0,10187.0,14852.0,14838.0
Total Revenues,5505.0,5696.0,5823.0,10187.0,14852.0,14838.0
Cost Of Revenues,2959.0,3024.0,3069.0,5309.0,7694.0,7434.0
Gross Profit,2546.0,2672.0,2754.0,4878.0,7158.0,7404.0
Selling General & Admin Expenses,1101.0,1150.0,1228.0,3207.0,5528.0,5497.0
Total Operating Expenses,1101.0,1150.0,1228.0,3207.0,5528.0,5497.0
Operating Income,1445.0,1522.0,1526.0,1671.0,1630.0,1907.0
Interest Expense,(163.0),(176.0),(193.0),(507.0),(716.0),(705.0)
Interest And Investment Income,,1.0,4.0,34.0,7.0,7.0
Net Interest Expenses,(163.0),(175.0),(189.0),(473.0),(709.0),(698.0)
Currency Exchange Gains (Loss),,,,50.0,,
Other Non Operating Income (Expenses),,1.0,5.0,(5.0),28.0,29.0
"EBT, Excl. Unusual Items",1429.0,1380.0,1352.0,1272.0,949.0,1260.0
"EBT, Incl. Unusual Items",1422.0,1390.0,1565.0,1112.0,1171.0,1051.0
Income Tax Expense,492.0,158.0,378.0,198.0,196.0,135.0
Earnings From Continuing Operations,930.0,1232.0,1187.0,914.0,975.0,916.0
Earnings Of Discontinued Operations,,14.0,,,,
Net Income to Company,930.0,1246.0,1187.0,914.0,975.0,916.0
Minority Interest,,,,(21.0),(17.0),(46.0)
Net Income,930.0,1246.0,1187.0,893.0,958.0,870.0
NI to Common Incl Extra Items,930.0,1246.0,1187.0,893.0,958.0,870.0
NI to Common Excl. Extra Items,930.0,1232.0,1187.0,893.0,958.0,870.0
Revenue Per Share,$12.49,$13.49,$14.36,$19.88,$22.10,$22.17
Basic EPS,$2.11,$2.95,$2.93,$1.74,$1.43,$1.30
Basic EPS - Continuing Ops,$2.11,$2.92,$2.93,$1.74,$1.43,$1.30
Basic Weighted Average Shares Outst.,440.6,422.3,405.5,512.3,672.1,669.3
Diluted EPS,$2.08,$2.89,$2.87,$1.71,$1.40,$1.28
Diluted EPS - Continuing Ops,$2.08,$2.86,$2.87,$1.71,$1.40,$1.28
Diluted Weighted Average Shares Outst.,447.8,431.3,413.7,522.6,683.4,680.6
Normalized Basic EPS,$2.03,$2.04,$2.08,$1.51,$0.86,$1.11
Normalized Diluted EPS,$1.99,$2.00,$2.04,$1.48,$0.84,$1.09
EBITDA,1720.0,1951.0,2071.0,3322.0,4722.0,5016.0
EBITA,1603.0,1848.0,1873.0,2970.0,4137.0,4382.0
EBIT,1445.0,1522.0,1526.0,1671.0,1630.0,1907.0
EBITDAR,1837.0,2077.0,2189.0,3529.0,4920.0,
Effective Tax Rate,34.6%,11.4%,24.2%,17.8%,16.7%,12.8%
Normalized Net Income,893.1,862.5,845.0,774.0,576.1,741.5
Interest on Long-Term Debt,163.0,,,8.0,21.0,
R&D Expense From Footnotes,106.0,,,,,
Foreign Sales,,284.8,349.4,1222.4,1930.8,
