Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3.47%,2.23%,74.94%,45.79%,19.14%
Total Revenues,3.47%,2.23%,74.94%,45.79%,19.14%
Cost Of Revenues,2.20%,1.49%,72.99%,44.92%,11.32%
Gross Profit,4.95%,3.07%,77.12%,46.74%,28.19%
Selling General & Admin Expenses,4.45%,6.78%,161.16%,72.37%,28.05%
Total Operating Expenses,4.45%,6.78%,161.16%,72.37%,28.05%
Operating Income,5.33%,0.26%,9.50%,(2.45%),28.59%
Interest Expense,(7.98%),(9.66%),(162.69%),(41.22%),(10.68%)
Interest And Investment Income,,300.00%,750.00%,(79.41%),(79.41%)
Net Interest Expenses,(7.36%),(8.00%),(150.26%),(49.89%),(15.75%)
Other Non Operating Income (Expenses),,400.00%,,,
"EBT, Excl. Unusual Items",(3.43%),(2.03%),(5.92%),(25.39%),30.03%
"EBT, Incl. Unusual Items",(2.25%),12.59%,(28.95%),5.31%,(19.89%)
Income Tax Expense,(67.89%),139.24%,(47.62%),(1.01%),(45.12%)
Earnings From Continuing Operations,32.47%,(3.65%),(23.00%),6.67%,(14.07%)
Net Income to Company,33.98%,(4.74%),(23.00%),6.67%,(14.07%)
Minority Interest,,,,-19.05%,(666.67%)
Net Income,33.98%,(4.74%),(24.77%),7.28%,(17.92%)
NI to Common Incl Extra Items,33.98%,(4.74%),(24.77%),7.28%,(17.92%)
NI to Common Excl. Extra Items,32.47%,(3.65%),(24.77%),7.28%,(17.92%)
Revenue Per Share,7.99%,6.45%,38.47%,11.16%,3.94%
Basic EPS,39.83%,(0.77%),(40.51%),(18.08%),(28.39%)
Basic EPS - Continuing Ops,38.26%,0.25%,(40.51%),(18.08%),(28.39%)
Basic Weighted Average Shares Outst.,(4.15%),(3.98%),26.34%,31.19%,14.62%
Diluted EPS,39.06%,(0.69%),(40.42%),(18.13%),(28.55%)
Diluted EPS - Continuing Ops,37.50%,0.35%,(40.42%),(18.13%),(28.55%)
Diluted Weighted Average Shares Outst.,(3.68%),(4.08%),26.32%,30.77%,14.26%
Normalized Basic EPS,0.61%,2.15%,(27.36%),(43.23%),7.89%
Normalized Diluted EPS,0.49%,2.13%,(27.40%),(43.04%),8.23%
EBITDA,13.43%,6.15%,60.41%,42.14%,33.09%
EBITA,15.28%,1.35%,58.57%,39.29%,33.19%
EBIT,5.33%,0.26%,9.50%,(2.45%),28.59%
EBITDAR,13.06%,5.39%,61.22%,39.42%,
Effective Tax Rate,(67.15%),112.43%,(26.27%),(6.02%),(31.49%)
Normalized Net Income,(3.43%),(2.03%),(8.40%),(25.57%),23.66%
Interest on Long-Term Debt,,,,162.50%,
Foreign Sales,,22.68%,249.89%,57.94%,
