Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,8.32%,(1.37%),6.27%,1.94%,0.00%
Total Revenues,8.32%,(1.37%),6.27%,1.94%,0.00%
Cost Of Revenues,5.21%,(7.49%),9.26%,2.62%,0.00%
Gross Profit,11.95%,5.33%,3.40%,1.25%,0.00%
Selling General & Admin Expenses,15.95%,4.07%,7.33%,(9.07%),0.00%
R&D Expenses,15.72%,2.48%,16.37%,3.22%,0.00%
Total Operating Expenses,15.88%,3.57%,10.14%,(5.04%),0.00%
Operating Income,5.73%,8.38%,(7.77%),13.71%,0.00%
Interest Expense,-7.01%,-3.91%,(71.62%),-1.70%,0.00%
Interest And Investment Income,25.82%,121.15%,(32.04%),(77.07%),0.00%
Net Interest Expenses,-9.77%,-18.58%,(104.64%),(6.27%),0.00%
Currency Exchange Gains (Loss),-90.91%,,,,
Other Non Operating Income (Expenses),,(82.90%),,,0.00%
"EBT, Excl. Unusual Items",9.33%,8.49%,(12.83%),18.13%,0.00%
"EBT, Incl. Unusual Items",1.13%,10.05%,(21.23%),17.81%,0.00%
Income Tax Expense,57.18%,(85.64%),184.95%,2.99%,0.00%
Earnings From Continuing Operations,(35.65%),163.40%,(39.24%),23.89%,0.00%
Net Income to Company,(35.65%),163.40%,(39.24%),23.89%,0.00%
Net Income,(35.65%),163.40%,(39.24%),23.89%,0.00%
NI to Common Incl Extra Items,(35.65%),163.40%,(39.24%),23.89%,0.00%
NI to Common Excl. Extra Items,(35.65%),163.40%,(39.24%),23.89%,0.00%
Revenue Per Share,8.07%,(1.64%),8.51%,4.52%,0.00%
Basic EPS,(36.06%),162.73%,(38.00%),27.15%,0.00%
Basic EPS - Continuing Ops,(36.06%),162.73%,(38.00%),27.15%,0.00%
Basic Weighted Average Shares Outst.,0.23%,0.26%,(2.03%),(2.49%),0.00%
Diluted EPS,(35.83%),161.04%,(37.31%),26.98%,0.00%
Diluted EPS - Continuing Ops,(35.83%),161.04%,(37.31%),26.98%,0.00%
Diluted Weighted Average Shares Outst.,0.83%,0.40%,(2.55%),(2.96%),0.00%
Normalized Basic EPS,9.44%,8.12%,(10.89%),20.94%,0.00%
Normalized Diluted EPS,8.59%,7.84%,(10.75%),21.91%,0.00%
Dividend Per Share,25.00%,6.67%,6.25%,0.00%,0.00%
Payout Ratio,94.74%,(59.50%),71.27%,(21.18%),0.00%
EBITDA,8.61%,5.66%,2.51%,8.31%,0.00%
EBITA,8.28%,6.89%,1.74%,8.92%,0.00%
EBIT,5.73%,8.38%,(7.77%),13.71%,0.00%
EBITDAR,9.74%,5.31%,2.79%,8.02%,
Effective Tax Rate,55.42%,(86.95%),261.54%,(12.59%),0.00%
Normalized Net Income,9.33%,8.49%,(12.83%),18.13%,0.00%
R&D Expense From Footnotes,15.72%,2.48%,16.37%,3.22%,0.00%
Foreign Sales,,,,5.25%,
