Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,17.21%,20.72%,19.86%,19.94%,0.00%
Total Revenues,17.21%,20.72%,19.86%,19.94%,0.00%
Cost Of Revenues,14.06%,16.90%,12.32%,12.67%,0.00%
Gross Profit,18.34%,22.04%,22.37%,22.17%,0.00%
Selling General & Admin Expenses,11.49%,10.95%,17.56%,15.78%,0.00%
R&D Expenses,15.02%,16.10%,13.33%,23.20%,0.00%
Total Operating Expenses,12.22%,12.04%,16.64%,17.36%,0.00%
Operating Income,134.75%,112.90%,49.74%,40.06%,0.00%
Interest And Investment Income,84.93%,96.30%,60.38%,(58.35%),0.00%
Net Interest Expenses,84.93%,96.30%,60.38%,(58.35%),0.00%
Currency Exchange Gains (Loss),,,-42.68%,(17.02%),0.00%
Other Non Operating Income (Expenses),-40.00%,(100.00%),,100.00%,0.00%
"EBT, Excl. Unusual Items",163.91%,102.82%,54.62%,29.76%,0.00%
"EBT, Incl. Unusual Items",187.70%,105.08%,51.79%,40.34%,0.00%
Income Tax Expense,749.54%,,,(2.03%),0.00%
Earnings From Continuing Operations,(2.48%),966.56%,(0.96%),47.27%,0.00%
Net Income to Company,(2.48%),966.56%,(0.96%),47.27%,0.00%
Net Income,(2.48%),966.56%,(0.96%),47.27%,0.00%
NI to Common Incl Extra Items,(2.48%),966.56%,(0.96%),47.27%,0.00%
NI to Common Excl. Extra Items,(2.48%),966.56%,(0.96%),47.27%,0.00%
Revenue Per Share,16.06%,24.38%,18.55%,24.90%,0.00%
Basic EPS,(5.18%),"1,000.27%",(2.03%),53.35%,0.00%
Basic EPS - Continuing Ops,(5.18%),"1,000.27%",(2.03%),53.35%,0.00%
Basic Weighted Average Shares Outst.,0.98%,(2.98%),1.12%,(3.98%),0.00%
Diluted EPS,0.00%,966.67%,(1.04%),53.16%,0.00%
Diluted EPS - Continuing Ops,0.00%,966.67%,(1.04%),53.16%,0.00%
Diluted Weighted Average Shares Outst.,1.02%,(2.19%),0.46%,(4.17%),0.00%
Normalized Basic EPS,162.18%,107.06%,53.19%,35.58%,0.00%
Normalized Diluted EPS,156.59%,105.57%,54.68%,35.62%,0.00%
EBITDA,73.58%,75.18%,42.23%,35.82%,0.00%
EBITA,111.21%,105.05%,48.69%,39.51%,0.00%
EBIT,134.75%,112.90%,49.74%,40.06%,0.00%
EBITDAR,59.49%,68.51%,41.18%,34.89%,
Effective Tax Rate,195.28%,,,(30.20%),0.00%
Normalized Net Income,163.91%,102.82%,54.62%,29.76%,0.00%
R&D Expense From Footnotes,15.02%,16.10%,13.33%,23.20%,0.00%
Foreign Sales,17.55%,22.88%,19.67%,21.37%,
