Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,141547.0,145663.0,148320.0,143640.0,115941.0,115941.0
Other Revenues,10253.0,11113.0,12018.0,12260.0,11203.0,11203.0
Total Revenues,151800.0,156776.0,160338.0,155900.0,127144.0,127144.0
Cost Of Revenues,134933.0,140218.0,145503.0,143024.0,121021.0,121021.0
Gross Profit,16867.0,16558.0,14835.0,12876.0,6123.0,6123.0
Selling General & Admin Expenses,12504.0,9962.0,9781.0,10218.0,8628.0,8628.0
Total Operating Expenses,12504.0,9962.0,9781.0,10218.0,8628.0,8628.0
Operating Income,4363.0,6596.0,5054.0,2658.0,"(2,505.0)","(2,505.0)"
Interest Expense,(951.0),"(1,190.0)","(1,228.0)","(1,049.0)","(1,651.0)","(1,651.0)"
Interest And Investment Income,218.0,343.0,499.0,503.0,358.0,358.0
Net Interest Expenses,(733.0),(847.0),(729.0),(546.0),"(1,293.0)","(1,293.0)"
Currency Exchange Gains (Loss),179.0,(150.0),163.0,52.0,(82.0),(82.0)
Other Non Operating Income (Expenses),1180.0,1208.0,441.0,455.0,696.0,696.0
"EBT, Excl. Unusual Items",6736.0,7976.0,5024.0,2620.0,"(3,162.0)","(3,162.0)"
"EBT, Incl. Unusual Items",6784.0,8159.0,4345.0,(640.0),"(1,116.0)","(1,116.0)"
Income Tax Expense,2184.0,402.0,650.0,(724.0),160.0,160.0
Earnings From Continuing Operations,4600.0,7757.0,3695.0,84.0,"(1,276.0)","(1,276.0)"
Net Income to Company,4600.0,7757.0,3695.0,84.0,"(1,276.0)","(1,276.0)"
Minority Interest,(11.0),(26.0),(18.0),(37.0),(3.0),(3.0)
Net Income,4589.0,7731.0,3677.0,47.0,"(1,279.0)","(1,279.0)"
NI to Common Incl Extra Items,4589.0,7731.0,3677.0,47.0,"(1,279.0)","(1,279.0)"
NI to Common Excl. Extra Items,4589.0,7731.0,3677.0,47.0,"(1,279.0)","(1,279.0)"
Revenue Per Share,$38.21,$39.44,$40.35,$39.25,$32.00,$32.00
Basic EPS,$1.16,$1.94,$0.93,$0.01,($0.32),($0.32)
Basic EPS - Continuing Ops,$1.16,$1.94,$0.93,$0.01,($0.32),($0.32)
Basic Weighted Average Shares Outst.,3973.0,3975.0,3974.0,3972.0,3973.0,3973.0
Diluted EPS,$1.15,$1.93,$0.92,$0.01,($0.32),($0.32)
Diluted EPS - Continuing Ops,$1.15,$1.93,$0.92,$0.01,($0.32),($0.32)
Diluted Weighted Average Shares Outst.,3999.0,3998.0,3998.0,4004.0,3973.0,3973.0
Normalized Basic EPS,$1.06,$1.25,$0.79,$0.40,($0.50),($0.50)
Normalized Diluted EPS,$1.05,$1.24,$0.78,$0.40,($0.50),($0.50)
Dividend Per Share,$0.60,$0.60,$0.60,$0.60,$0.15,$0.15
Payout Ratio,51.94%,30.84%,73.57%,"5,082.98%",NM,NM
EBITDA,13080.0,15168.0,13467.0,11148.0,4807.0,4807.0
EBITA,4363.0,6596.0,5054.0,2658.0,"(2,505.0)","(2,505.0)"
EBIT,4363.0,6596.0,5054.0,2658.0,"(2,505.0)","(2,505.0)"
EBITDAR,13554.0,,,11652.0,5313.0,5313.0
Effective Tax Rate,32.2%,4.9%,15.0%,NM,NM,NM
Normalized Net Income,4199.0,4959.0,3122.0,1600.5,"(1,979.3)","(1,979.3)"
Interest on Long-Term Debt,,,,6.0,15.0,15.0
R&D Expense From Footnotes,7300.0,8000.0,8200.0,7400.0,7100.0,7100.0
Foreign Earnings,,8084.0,5422.0,4926.0,1633.0,1633.0
Foreign Sales,58367.0,62932.0,62792.0,57171.0,44609.0,44609.0
