Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1.35%,16.85%,8.72%,(3.62%),0.00%
Total Revenues,1.35%,16.85%,8.72%,(3.62%),0.00%
Cost Of Revenues,(0.66%),19.43%,9.57%,(2.36%),0.00%
Gross Profit,10.19%,6.65%,4.96%,(9.47%),0.00%
Selling General & Admin Expenses,6.94%,9.10%,7.86%,(13.05%),0.00%
Total Operating Expenses,6.94%,9.10%,7.86%,(13.05%),0.00%
Operating Income,11.86%,5.43%,3.47%,(7.57%),0.00%
Interest Expense,(18.18%),(219.66%),(26.20%),(3.60%),0.00%
Interest And Investment Income,75.00%,28.57%,(33.33%),0.00%,0.00%
Net Interest Expenses,(13.19%),(245.63%),(29.21%),(3.70%),0.00%
Other Non Operating Income (Expenses),(76.92%),"1,133.33%",183.78%,(97.14%),0.00%
"EBT, Excl. Unusual Items",11.52%,0.20%,2.86%,(11.04%),0.00%
"EBT, Incl. Unusual Items",11.52%,0.20%,2.86%,(11.04%),0.00%
Income Tax Expense,19.24%,(37.60%),(1.24%),(20.47%),0.00%
Earnings From Continuing Operations,8.70%,15.32%,3.75%,(9.10%),0.00%
Net Income to Company,13.22%,14.87%,4.16%,(9.10%),0.00%
Net Income,13.22%,14.87%,4.16%,(9.10%),0.00%
NI to Common Incl Extra Items,13.22%,14.87%,4.16%,(9.10%),0.00%
NI to Common Excl. Extra Items,8.70%,15.32%,3.75%,(9.10%),0.00%
Revenue Per Share,3.22%,18.40%,11.35%,(3.17%),0.00%
Basic EPS,15.33%,16.43%,6.67%,(8.70%),0.00%
Basic EPS - Continuing Ops,10.73%,16.89%,6.29%,(8.70%),0.00%
Basic Weighted Average Shares Outst.,(1.82%),(1.31%),(2.36%),(0.47%),0.00%
Diluted EPS,15.18%,16.91%,7.16%,(8.18%),0.00%
Diluted EPS - Continuing Ops,10.65%,17.36%,6.77%,(8.18%),0.00%
Diluted Weighted Average Shares Outst.,(1.85%),(1.80%),(2.78%),(1.01%),0.00%
Normalized Basic EPS,13.56%,1.49%,5.32%,(10.62%),0.00%
Normalized Diluted EPS,13.65%,2.09%,5.86%,(10.14%),0.00%
Dividend Per Share,10.53%,10.71%,9.68%,7.84%,0.00%
Payout Ratio,(4.40%),(5.09%),2.88%,18.40%,0.00%
EBITDA,10.29%,11.89%,4.24%,(5.50%),0.00%
EBITA,11.36%,9.82%,3.42%,(7.47%),0.00%
EBIT,11.86%,5.43%,3.47%,(7.57%),0.00%
EBITDAR,9.64%,,,(5.52%),
Effective Tax Rate,6.94%,(37.71%),(4.01%),(10.62%),0.00%
Normalized Net Income,11.52%,0.20%,2.86%,(11.04%),0.00%
Interest on Long-Term Debt,,,,4.17%,
R&D Expense From Footnotes,24.64%,(3.65%),(7.17%),(19.74%),0.00%
Foreign Sales,101.46%,4.74%,(2.97%),(11.14%),
