Income Statement,May 2017,May 2018,May 2019,May 2020,TTM
Revenues,(5.70%),0.77%,7.15%,4.51%,11.10%
Total Revenues,(5.70%),0.77%,7.15%,4.51%,11.10%
Cost Of Revenues,(5.96%),3.14%,7.44%,3.85%,9.92%
Gross Profit,(5.23%),(3.40%),6.59%,5.78%,13.30%
Selling General & Admin Expenses,(9.76%),(1.91%),2.23%,7.67%,8.32%
Total Operating Expenses,(9.76%),(1.91%),2.23%,7.67%,8.32%
Operating Income,(0.27%),(4.88%),11.05%,3.99%,17.94%
Interest Expense,-3.14%,(27.57%),(36.84%),-10.41%,-7.02%
Interest And Investment Income,(13.58%),(27.14%),(41.18%),100.00%,100.00%
Net Interest Expenses,-2.86%,(28.87%),(37.89%),-11.04%,-7.70%
"EBT, Excl. Unusual Items",(0.10%),(8.52%),5.89%,7.72%,23.74%
"EBT, Incl. Unusual Items",(5.45%),(5.77%),(2.99%),24.94%,26.33%
Income Tax Expense,(13.24%),(91.25%),541.88%,30.64%,67.29%
Earnings From Continuing Operations,(2.06%),27.15%,(17.42%),23.77%,18.85%
Net Income to Company,(2.06%),27.15%,(17.42%),23.77%,18.85%
Minority Interest,(10.66%),-26.61%,(4.69%),-11.64%,-37.91%
Net Income,(2.35%),28.57%,(17.75%),24.45%,19.90%
NI to Common Incl Extra Items,(2.35%),28.57%,(17.75%),24.45%,19.90%
NI to Common Excl. Extra Items,(2.35%),28.57%,(17.75%),24.45%,19.90%
Revenue Per Share,(3.81%),2.55%,2.93%,3.19%,9.75%
Basic EPS,(0.24%),31.01%,(20.89%),22.84%,18.44%
Basic EPS - Continuing Ops,(0.24%),31.01%,(20.89%),22.84%,18.44%
Basic Weighted Average Shares Outst.,(1.97%),(1.75%),4.09%,1.28%,1.23%
Diluted EPS,0.00%,31.41%,(20.33%),22.76%,18.44%
Diluted EPS - Continuing Ops,0.00%,31.41%,(20.33%),22.76%,18.44%
Diluted Weighted Average Shares Outst.,(2.27%),(2.06%),3.36%,1.30%,1.22%
Normalized Basic EPS,1.64%,(6.25%),1.76%,6.97%,23.72%
Normalized Diluted EPS,2.08%,(5.94%),2.53%,6.89%,23.74%
Dividend Per Share,7.87%,2.08%,0.00%,0.00%,2.04%
Payout Ratio,8.46%,(21.90%),26.07%,(18.68%),(13.84%)
EBITDA,1.90%,(3.58%),9.03%,2.61%,14.40%
EBITA,(0.27%),(4.88%),11.05%,3.99%,17.94%
EBIT,(0.27%),(4.88%),11.05%,3.99%,17.94%
EBITDAR,1.77%,(3.36%),8.42%,2.12%,
Effective Tax Rate,(8.23%),(90.72%),561.83%,4.53%,32.42%
Normalized Net Income,(0.36%),(8.03%),5.92%,8.14%,25.25%
Interest Capitalized,(40.26%),(10.87%),(31.71%),(7.14%),
R&D Expense From Footnotes,(1.76%),0.41%,1.28%,1.13%,1.13%
Foreign Sales,(3.74%),3.72%,(4.81%),(3.19%),
