Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,140205.0,133449.0,133045.0,122697.0,108673.0,108673.0
Other Revenues,8979.0,12139.0,14004.0,14540.0,13812.0,13812.0
Total Revenues,149184.0,145588.0,147049.0,137237.0,122485.0,122485.0
Cost Of Revenues,129801.0,127184.0,132771.0,122759.0,107983.0,107983.0
Gross Profit,19383.0,18404.0,14278.0,14478.0,14502.0,14502.0
Selling General & Admin Expenses,8783.0,8254.0,7985.0,7559.0,5943.0,5943.0
Total Operating Expenses,8783.0,8254.0,7985.0,7559.0,5943.0,5943.0
Operating Income,10600.0,10150.0,6293.0,6919.0,8559.0,8559.0
Interest Expense,(563.0),(575.0),(655.0),(782.0),"(1,098.0)","(1,098.0)"
Interest And Investment Income,182.0,266.0,335.0,429.0,241.0,241.0
Net Interest Expenses,(381.0),(309.0),(320.0),(353.0),(857.0),(857.0)
Currency Exchange Gains (Loss),(229.0),(52.0),(168.0),85.0,(203.0),(203.0)
Other Non Operating Income (Expenses),388.0,171.0,506.0,78.0,487.0,487.0
"EBT, Excl. Unusual Items",12508.0,11919.0,8291.0,7831.0,8513.0,8513.0
"EBT, Incl. Unusual Items",12008.0,11863.0,8549.0,7436.0,8095.0,8095.0
Income Tax Expense,2739.0,11533.0,474.0,769.0,1774.0,1774.0
Earnings From Continuing Operations,9269.0,330.0,8075.0,6667.0,6321.0,6321.0
Earnings Of Discontinued Operations,(1.0),"(4,212.0)",(70.0),,,
Net Income to Company,9268.0,"(3,882.0)",8005.0,6667.0,6321.0,6321.0
Minority Interest,159.0,18.0,9.0,65.0,106.0,106.0
Net Income,9427.0,"(3,864.0)",8014.0,6732.0,6427.0,6427.0
Preferred Dividend and Other Adjustments,,16.0,98.0,151.0,180.0,180.0
NI to Common Incl Extra Items,9427.0,"(3,880.0)",7916.0,6581.0,6247.0,6247.0
NI to Common Excl. Extra Items,9428.0,332.0,7986.0,6581.0,6247.0,6247.0
Revenue Per Share,$96.87,$99.38,$104.22,$96.37,$85.47,$85.47
Basic EPS,$6.12,($2.65),$5.61,$4.62,$4.36,$4.36
Basic EPS - Continuing Ops,$6.12,$0.23,$5.66,$4.62,$4.36,$4.36
Basic Weighted Average Shares Outst.,1540.0,1465.0,1411.0,1424.0,1433.0,1433.0
Diluted EPS,$6.00,($2.60),$5.53,$4.57,$4.33,$4.33
Diluted EPS - Continuing Ops,$6.00,$0.22,$5.58,$4.57,$4.33,$4.33
Diluted Weighted Average Shares Outst.,1570.0,1492.0,1431.0,1439.0,1442.0,1442.0
Normalized Basic EPS,$5.18,$5.10,$3.68,$3.48,$3.79,$3.79
Normalized Diluted EPS,$5.08,$5.00,$3.63,$3.45,$3.76,$3.76
Dividend Per Share,$1.52,$1.52,$1.52,$1.52,$0.38,$0.38
Payout Ratio,24.79%,NM,27.98%,34.91%,10.41%,10.41%
EBITDA,15089.0,14948.0,11468.0,13246.0,13653.0,13653.0
EBITA,10925.0,10428.0,6540.0,7121.0,8703.0,8703.0
EBIT,10600.0,10150.0,6293.0,6919.0,8559.0,8559.0
EBITDAR,15359.0,15232.0,11768.0,13600.0,13970.0,13970.0
Effective Tax Rate,22.8%,97.2%,5.5%,10.3%,21.9%,21.9%
Normalized Net Income,7976.5,7467.4,5190.9,4959.4,5426.6,5426.6
R&D Expense From Footnotes,6600.0,7300.0,7800.0,6800.0,6200.0,6200.0
Foreign Sales,31061.0,34425.0,30467.0,26623.0,21054.0,21054.0
