Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,16.00%,20.49%,8.94%,12.74%,0.00%
Total Revenues,16.00%,20.49%,8.94%,12.74%,0.00%
Cost Of Revenues,17.90%,18.62%,8.33%,8.15%,0.00%
Gross Profit,12.61%,23.98%,10.03%,20.83%,0.00%
Selling General & Admin Expenses,9.55%,12.69%,11.10%,11.40%,0.00%
R&D Expenses,15.35%,16.68%,36.74%,17.34%,0.00%
Total Operating Expenses,7.91%,10.09%,15.69%,12.44%,0.00%
Operating Income,19.55%,42.51%,4.19%,30.43%,0.00%
Interest Expense,-4.27%,-4.01%,(1.44%),-20.59%,0.00%
Interest And Investment Income,577.27%,535.23%,46.17%,(21.14%),0.00%
Net Interest Expenses,-4.84%,-7.80%,-0.73%,-20.55%,0.00%
Currency Exchange Gains (Loss),,,(83.00%),,0.00%
Other Non Operating Income (Expenses),(47.34%),-3.91%,-85.41%,(233.47%),0.00%
"EBT, Excl. Unusual Items",26.39%,53.37%,6.10%,36.52%,0.00%
"EBT, Incl. Unusual Items",32.53%,52.71%,2.74%,39.61%,0.00%
Income Tax Expense,(21.90%),58.25%,(3.66%),47.06%,0.00%
Earnings From Continuing Operations,64.19%,51.18%,4.60%,37.62%,0.00%
Net Income to Company,64.19%,51.18%,4.60%,37.62%,0.00%
Minority Interest,"(7,187.50%)",(69.41%),-89.84%,,0.00%
Net Income,62.43%,50.98%,5.77%,39.11%,0.00%
Preferred Dividend and Other Adjustments,,,,,0.00%
NI to Common Incl Extra Items,64.91%,38.79%,14.97%,37.93%,0.00%
NI to Common Excl. Extra Items,64.91%,38.79%,14.97%,37.93%,0.00%
Revenue Per Share,21.33%,21.22%,8.46%,12.09%,0.00%
Basic EPS,72.86%,39.55%,14.56%,37.14%,0.00%
Basic EPS - Continuing Ops,72.86%,39.55%,14.56%,37.14%,0.00%
Basic Weighted Average Shares Outst.,(4.41%),(0.61%),0.43%,0.57%,0.00%
Diluted EPS,72.11%,39.92%,13.84%,35.98%,0.00%
Diluted EPS - Continuing Ops,72.11%,39.92%,13.84%,35.98%,0.00%
Diluted Weighted Average Shares Outst.,(4.19%),(0.65%),1.02%,1.39%,0.00%
Normalized Basic EPS,30.57%,54.38%,7.06%,37.57%,0.00%
Normalized Diluted EPS,30.16%,54.49%,6.49%,36.47%,0.00%
EBITDA,14.60%,33.69%,7.04%,27.96%,0.00%
EBITA,15.21%,35.71%,5.67%,29.16%,0.00%
EBIT,19.55%,42.51%,4.19%,30.43%,0.00%
EBITDAR,14.73%,32.49%,6.60%,29.39%,
Effective Tax Rate,(41.07%),3.63%,(6.25%),5.33%,0.00%
Normalized Net Income,24.68%,53.14%,7.57%,38.34%,0.00%
Interest on Long-Term Debt,,,,(29.05%),
R&D Expense From Footnotes,15.35%,16.68%,36.74%,17.34%,0.00%
Foreign Sales,50.50%,12.08%,0.98%,(14.10%),
