Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5.26%,(15.32%),45.91%,51.13%,0.00%
Total Revenues,5.26%,(15.32%),45.91%,51.13%,0.00%
Cost Of Revenues,2.75%,(43.21%),84.21%,75.61%,0.00%
Gross Profit,7.75%,10.95%,27.45%,34.08%,0.00%
Selling General & Admin Expenses,11.48%,(0.68%),25.00%,44.38%,0.00%
Total Operating Expenses,11.48%,(0.68%),25.00%,44.38%,0.00%
Operating Income,(1.08%),41.92%,32.01%,15.90%,0.00%
Interest Expense,-6.38%,(12.16%),(54.07%),(8.50%),0.00%
Interest And Investment Income,56.34%,139.19%,51.61%,(49.54%),0.00%
Net Interest Expenses,-8.30%,(5.52%),(54.36%),(15.26%),0.00%
Other Non Operating Income (Expenses),-17.97%,-78.24%,"(3,013.45%)",(352.04%),0.00%
"EBT, Excl. Unusual Items",2.36%,57.44%,27.30%,23.76%,0.00%
"EBT, Incl. Unusual Items",32.14%,43.16%,(5.46%),28.37%,0.00%
Income Tax Expense,,,(19.74%),24.06%,0.00%
Earnings From Continuing Operations,109.33%,(1.90%),(3.18%),28.94%,0.00%
Net Income to Company,109.33%,(1.90%),(3.18%),28.94%,0.00%
Minority Interest,(17.31%),(27.17%),(18.55%),-46.77%,0.00%
Net Income,118.72%,(3.50%),(4.74%),35.74%,0.00%
NI to Common Incl Extra Items,118.72%,(3.50%),(4.74%),35.74%,0.00%
NI to Common Excl. Extra Items,118.72%,(3.50%),(4.74%),35.74%,0.00%
Revenue Per Share,4.36%,(17.45%),16.73%,0.16%,0.00%
Basic EPS,116.35%,(5.97%),(23.81%),(9.98%),0.00%
Basic EPS - Continuing Ops,116.35%,(5.97%),(23.81%),(9.98%),0.00%
Basic Weighted Average Shares Outst.,0.85%,2.60%,24.97%,50.90%,0.00%
Diluted EPS,116.55%,(5.65%),(23.94%),(9.72%),0.00%
Diluted EPS - Continuing Ops,116.55%,(5.65%),(23.94%),(9.72%),0.00%
Diluted Weighted Average Shares Outst.,0.84%,2.41%,25.03%,50.91%,0.00%
Normalized Basic EPS,0.08%,57.02%,2.50%,(14.16%),0.00%
Normalized Diluted EPS,0.22%,57.54%,2.53%,(14.15%),0.00%
Dividend Per Share,,0.00%,925.00%,90.24%,0.00%
Payout Ratio,(41.58%),(2.73%),953.28%,170.50%,0.00%
EBITDA,2.09%,30.29%,46.31%,46.88%,0.00%
EBITA,(0.15%),30.57%,46.40%,44.12%,0.00%
EBIT,(1.08%),41.92%,32.01%,15.90%,0.00%
EBITDAR,,29.24%,47.55%,47.91%,
Effective Tax Rate,,,(15.08%),(3.35%),0.00%
Normalized Net Income,0.85%,60.98%,28.11%,29.77%,0.00%
Interest on Long-Term Debt,,12.16%,54.07%,8.50%,
Foreign Sales,,(17.81%),23.80%,18.75%,
