Income Statement,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,2.18%,4.57%,(1.19%),(15.77%),(15.77%)
Total Revenues,2.18%,4.57%,(1.19%),(15.77%),(15.77%)
Cost Of Revenues,(0.88%),4.79%,(18.28%),(7.91%),(7.91%)
Gross Profit,7.55%,4.22%,26.54%,(24.00%),(24.00%)
Selling General & Admin Expenses,10.27%,6.36%,41.43%,(5.25%),(5.25%)
R&D Expenses,10.87%,(1.96%),(18.00%),12.20%,12.20%
Total Operating Expenses,10.28%,6.27%,40.82%,(5.14%),(5.14%)
Operating Income,(0.35%),(2.36%),(23.30%),,
Interest Expense,-1.33%,-1.35%,(4.11%),(152.63%),(152.63%)
Interest And Investment Income,137.50%,73.68%,(9.09%),(66.67%),(66.67%)
Net Interest Expenses,-17.91%,-27.27%,(15.00%),(295.65%),(295.65%)
Currency Exchange Gains (Loss),,100.00%,150.00%,60.00%,60.00%
Other Non Operating Income (Expenses),,,-88.24%,,
"EBT, Excl. Unusual Items",1.17%,(3.75%),(22.53%),,
"EBT, Incl. Unusual Items",26.69%,(7.16%),(60.06%),,
Income Tax Expense,28.57%,(44.62%),(44.51%),,
Earnings From Continuing Operations,25.44%,18.28%,(65.00%),,
Net Income to Company,25.44%,18.28%,(65.00%),,
Net Income,25.44%,18.28%,(65.00%),,
NI to Common Incl Extra Items,25.44%,18.28%,(65.00%),,
NI to Common Excl. Extra Items,25.44%,18.28%,(65.00%),,
Revenue Per Share,3.74%,6.75%,1.19%,(15.31%),(15.32%)
Basic EPS,27.68%,20.61%,(64.23%),,
Basic EPS - Continuing Ops,27.68%,20.61%,(64.23%),,
Basic Weighted Average Shares Outst.,(1.50%),(2.04%),(2.34%),(0.53%),(0.53%)
Diluted EPS,26.63%,21.03%,(64.09%),,
Diluted EPS - Continuing Ops,26.63%,21.03%,(64.09%),,
Diluted Weighted Average Shares Outst.,(1.00%),(2.02%),(2.58%),(1.06%),(1.06%)
Normalized Basic EPS,2.67%,(1.86%),(20.72%),,
Normalized Diluted EPS,2.37%,(1.73%),(20.40%),,
Dividend Per Share,0.00%,5.43%,0.00%,(75.00%),(75.00%)
Payout Ratio,(21.59%),(12.64%),178.85%,,
EBITDA,(1.91%),(0.75%),(17.57%),(98.59%),(98.59%)
EBITA,(0.35%),(2.36%),(23.30%),,
EBIT,(0.35%),(2.36%),(23.30%),,
EBITDAR,,,,(57.55%),
Effective Tax Rate,1.48%,(40.35%),38.93%,18.30%,18.29%
Normalized Net Income,1.17%,(3.75%),(22.53%),,
Interest Capitalized,0.00%,11.11%,(30.00%),28.57%,
R&D Expense From Footnotes,10.87%,(1.96%),(18.00%),12.20%,12.20%
Foreign Sales,(6.80%),(1.43%),(7.87%),(27.97%),
