Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,2.49%,7.24%,12.25%,11.42%,0.00%
Total Revenues,2.49%,7.24%,12.25%,11.42%,0.00%
Cost Of Revenues,(2.48%),3.33%,11.39%,11.93%,0.00%
Gross Profit,6.48%,10.11%,12.84%,11.07%,0.00%
Selling General & Admin Expenses,2.55%,5.13%,7.81%,5.62%,0.00%
R&D Expenses,9.33%,10.98%,6.62%,16.57%,0.00%
Total Operating Expenses,5.56%,7.81%,7.24%,10.77%,0.00%
Operating Income,8.02%,13.85%,21.49%,11.49%,0.00%
Interest And Investment Income,10.53%,27.68%,12.03%,(29.94%),0.00%
Net Interest Expenses,10.53%,27.68%,12.03%,(29.94%),0.00%
Currency Exchange Gains (Loss),-28.66%,-66.27%,(120.58%),,0.00%
Other Non Operating Income (Expenses),,,(19.84%),34.15%,0.00%
"EBT, Excl. Unusual Items",9.50%,18.02%,19.74%,11.56%,0.00%
"EBT, Incl. Unusual Items",9.15%,18.10%,19.92%,11.77%,0.00%
Income Tax Expense,,,(73.11%),219.80%,0.00%
Earnings From Continuing Operations,36.95%,(2.11%),37.23%,4.18%,0.00%
Net Income to Company,36.95%,(2.11%),37.23%,4.18%,0.00%
Net Income,36.95%,(2.11%),37.23%,4.18%,0.00%
NI to Common Incl Extra Items,36.95%,(2.11%),37.23%,4.18%,0.00%
NI to Common Excl. Extra Items,36.95%,(2.11%),37.23%,4.18%,0.00%
Revenue Per Share,3.03%,6.77%,11.46%,10.77%,0.00%
Basic EPS,37.77%,(2.40%),36.27%,3.65%,0.00%
Basic EPS - Continuing Ops,37.77%,(2.40%),36.27%,3.65%,0.00%
Basic Weighted Average Shares Outst.,(0.52%),0.43%,0.69%,0.61%,0.00%
Diluted EPS,37.73%,(2.66%),36.34%,3.61%,0.00%
Diluted EPS - Continuing Ops,37.73%,(2.66%),36.34%,3.61%,0.00%
Diluted Weighted Average Shares Outst.,(0.32%),0.53%,0.61%,0.52%,0.00%
Normalized Basic EPS,10.05%,17.62%,18.87%,10.73%,0.00%
Normalized Diluted EPS,10.04%,17.45%,19.14%,10.94%,0.00%
Dividend Per Share,0.00%,3.92%,7.55%,7.02%,0.00%
Payout Ratio,(41.91%),(21.01%),2.67%,3.66%,0.00%
EBITDA,7.05%,13.59%,20.26%,12.28%,0.00%
EBITA,7.02%,14.05%,21.01%,12.55%,0.00%
EBIT,8.02%,13.85%,21.49%,11.49%,0.00%
EBITDAR,6.76%,13.54%,20.25%,12.43%,
Effective Tax Rate,,,(77.57%),186.01%,0.00%
Normalized Net Income,9.50%,18.02%,19.74%,11.56%,0.00%
R&D Expense From Footnotes,9.33%,10.98%,6.62%,16.57%,0.00%
Foreign Sales,62.16%,7.24%,12.25%,11.42%,
