Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,2.84%,7.64%,2.36%,2.71%,0.00%
Total Revenues,2.84%,7.64%,2.36%,2.71%,0.00%
Cost Of Revenues,5.15%,8.63%,3.14%,6.63%,0.00%
Gross Profit,(0.53%),6.10%,1.13%,(3.62%),0.00%
Selling General & Admin Expenses,0.67%,2.25%,0.10%,(2.68%),0.00%
Total Operating Expenses,0.89%,2.28%,(0.37%),(3.21%),0.00%
Operating Income,(3.96%),15.72%,4.45%,(4.48%),0.00%
Interest Expense,(13.16%),-4.65%,-3.66%,(17.72%),0.00%
Net Interest Expenses,(14.67%),-4.65%,-3.66%,(17.72%),0.00%
Other Non Operating Income (Expenses),,-46.15%,,(42.86%),0.00%
"EBT, Excl. Unusual Items",(5.31%),18.92%,6.71%,(5.99%),0.00%
"EBT, Incl. Unusual Items",(8.15%),15.49%,11.84%,(21.67%),0.00%
Income Tax Expense,(18.91%),(17.57%),21.71%,(38.85%),0.00%
Earnings From Continuing Operations,(1.58%),32.10%,8.75%,(15.64%),0.00%
Net Income to Company,(1.58%),32.10%,8.75%,(15.64%),0.00%
Minority Interest,(37.04%),(10.81%),(12.20%),(30.43%),0.00%
Net Income,(3.30%),33.45%,8.57%,(18.14%),0.00%
NI to Common Incl Extra Items,(2.50%),33.45%,8.57%,(18.14%),0.00%
NI to Common Excl. Extra Items,(2.50%),33.45%,8.57%,(18.14%),0.00%
Revenue Per Share,7.71%,10.70%,4.98%,5.01%,0.00%
Basic EPS,2.07%,37.20%,11.34%,(16.30%),0.00%
Basic EPS - Continuing Ops,2.07%,37.20%,11.34%,(16.30%),0.00%
Basic Weighted Average Shares Outst.,(4.52%),(2.77%),(2.50%),(2.19%),0.00%
Diluted EPS,1.52%,37.03%,11.58%,(16.32%),0.00%
Diluted EPS - Continuing Ops,1.52%,37.03%,11.58%,(16.32%),0.00%
Diluted Weighted Average Shares Outst.,(4.67%),(2.59%),(2.83%),(2.19%),0.00%
Normalized Basic EPS,(2.59%),22.85%,9.10%,(6.04%),0.00%
Normalized Diluted EPS,(2.48%),22.55%,9.54%,(6.06%),0.00%
Dividend Per Share,4.76%,5.93%,5.97%,4.58%,0.00%
Payout Ratio,3.07%,(22.76%),(4.84%),25.29%,0.00%
EBITDA,(2.26%),12.32%,2.00%,(6.72%),0.00%
EBITA,(3.17%),14.84%,3.20%,(5.45%),0.00%
EBIT,(3.96%),15.72%,4.45%,(4.48%),0.00%
EBITDAR,(2.46%),11.70%,1.90%,(6.43%),
Effective Tax Rate,(11.72%),(28.63%),8.81%,(21.93%),0.00%
Normalized Net Income,(7.02%),19.40%,6.41%,(8.12%),0.00%
Interest Capitalized,0.00%,400.00%,(10.00%),(55.56%),
Foreign Sales,7.56%,5.29%,0.50%,(0.92%),
