Income Statement,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,7.35%,5.14%,2.40%,(4.34%),0.00%
Total Revenues,7.35%,5.14%,2.40%,(4.34%),0.00%
Cost Of Revenues,5.77%,4.72%,1.87%,(1.96%),0.00%
Gross Profit,9.89%,5.78%,3.20%,(7.93%),0.00%
Selling General & Admin Expenses,16.77%,8.16%,5.39%,(5.38%),0.00%
R&D Expenses,(6.62%),(9.39%),(13.14%),(13.22%),0.00%
Total Operating Expenses,15.78%,7.98%,4.32%,(4.21%),0.00%
Operating Income,0.66%,1.82%,1.05%,(15.29%),0.00%
Interest Expense,(14.24%),(11.60%),-6.41%,-4.43%,0.00%
Net Interest Expenses,(14.24%),(11.60%),-6.41%,-4.43%,0.00%
Currency Exchange Gains (Loss),(99.07%),536.84%,249.86%,120.79%,0.00%
Other Non Operating Income (Expenses),(72.59%),(8.62%),(67.75%),-98.91%,0.00%
"EBT, Excl. Unusual Items",(4.02%),(0.50%),2.69%,(16.22%),0.00%
"EBT, Incl. Unusual Items",(7.37%),21.64%,5.62%,,0.00%
Income Tax Expense,"1,222.12%",(77.07%),(23.97%),,0.00%
Earnings From Continuing Operations,(85.85%),610.29%,11.31%,,0.00%
Net Income to Company,(86.30%),630.45%,11.31%,,0.00%
Net Income,(86.30%),630.45%,11.31%,,0.00%
NI to Common Incl Extra Items,(86.30%),630.45%,11.31%,,0.00%
NI to Common Excl. Extra Items,(85.85%),610.29%,11.31%,,0.00%
Revenue Per Share,11.47%,6.35%,2.04%,(1.09%),0.00%
Basic EPS,(85.75%),642.29%,11.29%,,0.00%
Basic EPS - Continuing Ops,(85.34%),606.95%,11.29%,,0.00%
Basic Weighted Average Shares Outst.,(3.69%),(1.13%),0.33%,(3.27%),0.00%
Diluted EPS,(85.75%),640.00%,10.81%,,0.00%
Diluted EPS - Continuing Ops,(85.24%),604.76%,10.81%,,0.00%
Diluted Weighted Average Shares Outst.,(3.94%),(1.33%),0.28%,(3.49%),0.00%
Normalized Basic EPS,(0.29%),0.35%,2.71%,(13.14%),0.00%
Normalized Diluted EPS,0.05%,0.89%,2.49%,(13.14%),0.00%
Dividend Per Share,36.36%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,859.22%,(86.53%),(9.89%),,0.00%
EBITDA,2.51%,2.51%,0.84%,(13.27%),0.00%
EBITA,2.03%,0.77%,0.94%,(14.91%),0.00%
EBIT,0.66%,1.82%,1.05%,(15.29%),0.00%
EBITDAR,6.84%,2.22%,4.41%,(10.22%),
Effective Tax Rate,"1,327.33%",(81.15%),(28.03%),405.40%,0.00%
Normalized Net Income,(4.02%),(0.50%),2.69%,(16.22%),0.00%
R&D Expense From Footnotes,(6.62%),(9.39%),(13.14%),(13.22%),0.00%
Foreign Sales,322.44%,7.66%,(92.17%),"1,121.09%",
