Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5.12%,7.02%,9.98%,0.38%,1.88%
Total Revenues,5.12%,7.02%,9.98%,0.38%,1.88%
Cost Of Revenues,5.98%,6.48%,9.92%,0.82%,(0.02%)
Gross Profit,3.70%,7.94%,10.08%,(0.34%),5.11%
Selling General & Admin Expenses,,,,7.95%,7.95%
Depreciation & Amortization,8.39%,6.90%,13.96%,4.82%,3.51%
Other Operating Expense/(Income),7.43%,6.89%,0.21%,(2.81%),(4.30%)
Total Operating Expenses,7.63%,6.89%,10.94%,(0.41%),(1.75%)
Operating Income,(2.31%),9.69%,8.67%,(0.22%),17.45%
Interest Expense,-1.00%,(3.85%),(3.93%),-13.16%,-14.01%
Net Interest Expenses,-1.00%,(3.85%),(3.93%),-13.16%,-14.01%
"EBT, Excl. Unusual Items",(2.97%),11.47%,10.60%,4.32%,28.99%
"EBT, Incl. Unusual Items",(8.92%),21.78%,(1.71%),3.55%,43.51%
Income Tax Expense,18.87%,(42.25%),16.17%,(5.10%),42.06%
Earnings From Continuing Operations,(20.08%),60.01%,(5.56%),5.84%,43.88%
Net Income to Company,(20.08%),60.01%,(5.56%),5.84%,43.88%
Minority Interest,-2.77%,(14.23%),(6.31%),-1.09%,(9.43%)
Net Income,(23.32%),70.89%,(7.45%),7.10%,50.84%
NI to Common Incl Extra Items,(23.32%),70.89%,(7.45%),7.10%,50.84%
NI to Common Excl. Extra Items,(23.32%),70.89%,(7.45%),7.10%,50.84%
Revenue Per Share,11.30%,11.65%,11.94%,1.26%,2.47%
Basic EPS,(18.77%),78.17%,(5.76%),8.06%,51.72%
Basic EPS - Continuing Ops,(18.77%),78.17%,(5.76%),8.06%,51.72%
Basic Weighted Average Shares Outst.,(5.55%),(4.14%),(1.75%),(0.86%),(0.58%)
Diluted EPS,(18.49%),79.16%,(5.53%),8.54%,52.21%
Diluted EPS - Continuing Ops,(18.49%),79.16%,(5.53%),8.54%,52.21%
Diluted Weighted Average Shares Outst.,(5.97%),(4.55%),(1.99%),(1.33%),(0.94%)
Normalized Basic EPS,2.72%,15.67%,13.69%,6.54%,34.48%
Normalized Diluted EPS,3.08%,16.08%,13.96%,7.01%,34.97%
Dividend Per Share,,,14.29%,(73.13%),(70.55%)
Payout Ratio,,,22.02%,(74.02%),(79.91%)
EBITDA,0.27%,8.97%,10.02%,1.11%,13.55%
EBITA,(2.31%),9.69%,8.85%,(0.03%),17.62%
EBIT,(2.31%),9.69%,8.67%,(0.22%),17.45%
EBITDAR,,,,1.66%,
Effective Tax Rate,30.50%,(52.58%),18.20%,(8.36%),(1.01%)
Normalized Net Income,(3.02%),10.82%,11.64%,5.58%,33.70%
Interest on Long-Term Debt,(1.00%),3.85%,3.93%,(13.16%),
