Income Statement,Jan 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,6.67%,7.23%,1.87%,19.85%,19.85%
Total Revenues,6.67%,7.23%,1.87%,19.85%,19.85%
Cost Of Revenues,6.85%,6.75%,2.27%,20.10%,20.10%
Gross Profit,6.32%,8.16%,1.11%,19.38%,19.38%
Selling General & Admin Expenses,4.27%,9.23%,1.16%,11.95%,11.95%
Depreciation & Amortization,3.25%,3.26%,6.36%,6.99%,6.99%
Total Operating Expenses,4.18%,8.68%,1.62%,11.50%,11.50%
Operating Income,9.34%,7.47%,0.42%,30.19%,30.19%
Interest Expense,(8.74%),-0.57%,(14.27%),(12.16%),(12.16%)
Interest And Investment Income,105.56%,25.68%,(21.51%),(35.62%),(35.62%)
Net Interest Expenses,(5.02%),-2.54%,(17.75%),(15.25%),(15.25%)
"EBT, Excl. Unusual Items",9.66%,8.07%,(0.59%),31.34%,31.34%
"EBT, Incl. Unusual Items",9.66%,6.26%,1.09%,15.38%,15.38%
Income Tax Expense,11.78%,(32.22%),1.11%,18.40%,18.40%
Earnings From Continuing Operations,8.46%,28.86%,1.09%,14.45%,14.45%
Net Income to Company,8.46%,28.86%,1.09%,14.45%,14.45%
Net Income,8.46%,28.86%,1.09%,14.45%,14.45%
NI to Common Incl Extra Items,8.46%,28.86%,1.09%,14.45%,14.45%
NI to Common Excl. Extra Items,8.46%,28.86%,1.09%,14.45%,14.45%
Revenue Per Share,11.29%,11.10%,5.96%,21.97%,21.98%
Basic EPS,13.23%,33.44%,5.17%,16.42%,16.47%
Basic EPS - Continuing Ops,13.23%,33.44%,5.17%,16.42%,16.47%
Basic Weighted Average Shares Outst.,(4.15%),(3.48%),(3.87%),(1.74%),(1.74%)
Diluted EPS,13.02%,33.47%,5.34%,16.49%,16.49%
Diluted EPS - Continuing Ops,13.02%,33.47%,5.34%,16.49%,16.49%
Diluted Weighted Average Shares Outst.,(4.05%),(3.46%),(4.02%),(1.73%),(1.73%)
Normalized Basic EPS,14.45%,11.93%,3.37%,33.73%,33.66%
Normalized Diluted EPS,14.23%,11.96%,3.63%,33.71%,33.65%
Dividend Per Share,25.00%,20.27%,25.39%,10.22%,10.22%
Payout Ratio,14.09%,(13.34%),25.29%,(5.40%),(5.39%)
EBITDA,8.72%,7.08%,1.17%,27.60%,27.60%
EBITA,9.34%,7.47%,0.42%,30.19%,30.19%
EBIT,9.34%,7.47%,0.42%,30.19%,30.19%
EBITDAR,,,1.38%,25.79%,
Effective Tax Rate,1.92%,(36.22%),0.01%,2.62%,2.62%
Normalized Net Income,9.66%,8.07%,(0.59%),31.34%,31.34%
Interest on Long-Term Debt,,,,21.74%,
Foreign Sales,6.40%,3.84%,0.85%,11.92%,
