Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,13697.0,14141.0,15869.0,16923.0,17288.0,17240.0
Total Interest And Dividend Income,1412.0,1392.0,1545.0,1715.0,1595.0,1591.0
Gain (Loss) on Sale of Investments,(110.0),165.0,(112.0),395.0,(14.0),297.0
Other Revenues,1255.0,1427.0,1623.0,1703.0,1625.0,1709.0
Total Revenues,16254.0,17125.0,18925.0,20736.0,20494.0,20837.0
Policy Benefits,9961.0,10174.0,11165.0,11472.0,11805.0,12215.0
Policy Acquisition / Underwriting Costs,1377.0,1372.0,1384.0,1622.0,1706.0,1685.0
Amort. of Goodwill and Intangibles,4.0,14.0,68.0,66.0,72.0,71.0
Selling General & Admin Expenses,3523.0,4546.0,4234.0,4472.0,4417.0,4385.0
Other Operating Expenses,,,,,31.0,31.0
Total Operating Expenses,15515.0,16106.0,16851.0,17723.0,18031.0,18387.0
Operating Income,739.0,1019.0,2074.0,3013.0,2463.0,2450.0
"Interest Expense, Total",(290.0),(279.0),(268.0),(255.0),(207.0),(200.0)
"EBT, Excl. Unusual Items",449.0,740.0,1806.0,2758.0,2256.0,2250.0
Restructuring Charges,,,,,(73.0),(84.0)
Total Merger & Rel. Restruct. Charges,(2.0),(17.0),(47.0),(108.0),(51.0),(51.0)
Other Unusual Items,,,(6.0),(90.0),(12.0),(36.0)
"EBT, Incl. Unusual Items",447.0,723.0,1753.0,2560.0,2120.0,2079.0
Income Tax Expense,(166.0),985.0,268.0,475.0,383.0,366.0
Earnings From Continuing Operations,613.0,(262.0),1485.0,2085.0,1737.0,1713.0
Earnings Of Discontinued Operations,283.0,"(2,869.0)",322.0,,,
Net Income to Company,896.0,"(3,131.0)",1807.0,2085.0,1737.0,1713.0
Net Income,896.0,"(3,131.0)",1807.0,2085.0,1737.0,1713.0
Pref. Dividends and Other Adj.,,,6.0,21.0,21.0,21.0
NI to Common Incl Extra Items,896.0,"(3,131.0)",1801.0,2064.0,1716.0,1692.0
NI to Common Excl. Extra Items,613.0,(262.0),1479.0,2064.0,1716.0,1692.0
Revenue Per Share,$41.92,$47.09,$52.80,$57.46,$57.20,$58.17
Basic EPS,$2.31,($8.61),$5.03,$5.72,$4.79,$4.72
Basic EPS - Continuing Ops,$1.58,($0.72),$4.13,$5.72,$4.79,$4.72
Basic Weighted Average Shares Outst.,387.7,363.7,358.4,360.9,358.3,358.2
Diluted EPS,$2.27,($8.61),$4.94,$5.66,$4.76,$4.69
Diluted EPS - Continuing Ops,$1.55,($0.72),$4.06,$5.66,$4.76,$4.69
Diluted Weighted Average Shares Outst.,394.8,363.7,364.1,364.9,360.6,360.9
Normalized Basic EPS,$0.72,$1.27,$3.15,$4.78,$3.94,$3.93
Normalized Diluted EPS,$0.71,$1.27,$3.10,$4.72,$3.91,$3.90
Dividend Per Share,$0.86,$0.94,$1.10,$1.20,$1.30,$1.33
Payout Ratio,37.28%,NM,20.97%,21.77%,27.52%,
EBITDA,1137.0,1418.0,2541.0,3464.0,3025.0,3018.5
EBITA,743.0,1033.0,2142.0,3079.0,2535.0,2450.0
EBIT,739.0,1019.0,2074.0,3013.0,2463.0,2450.0
EBITDAR,1190.0,1475.0,2597.0,3511.0,3072.0,
Effective Tax Rate,NM,136.2%,15.3%,18.6%,18.1%,17.6%
Normalized Net Income,280.6,462.5,1128.8,1723.8,1410.0,1406.3
Interest on Long-Term Debt,327.0,316.0,298.0,259.0,236.0,
