Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,3.24%,12.22%,6.64%,2.16%,(0.77%)
Total Interest And Dividend Income,(1.42%),10.99%,11.00%,(7.00%),(6.36%)
Gain (Loss) on Sale of Investments,,,,,"29,600.00%"
Other Revenues,13.71%,13.74%,4.93%,(4.58%),2.03%
Total Revenues,5.36%,10.51%,9.57%,(1.17%),0.42%
Policy Benefits,2.14%,9.74%,2.75%,2.90%,4.37%
Policy Acquisition / Underwriting Costs,(0.36%),0.87%,17.20%,5.18%,(1.12%)
Amort. of Goodwill and Intangibles,250.00%,385.71%,(2.94%),9.09%,(1.39%)
Selling General & Admin Expenses,29.04%,(6.86%),5.62%,(1.23%),(4.67%)
Total Operating Expenses,3.81%,4.63%,5.17%,1.74%,1.19%
Operating Income,37.89%,103.53%,45.27%,(18.25%),(5.00%)
"Interest Expense, Total",-3.79%,-3.94%,-4.85%,-18.82%,-20.63%
"EBT, Excl. Unusual Items",64.81%,144.05%,52.71%,(18.20%),(3.31%)
Restructuring Charges,,,,,(15.07%)
Total Merger & Rel. Restruct. Charges,(750.00%),(176.47%),(129.79%),-52.78%,-52.78%
Other Unusual Items,,,"(1,400.00%)",-86.67%,-60.00%
"EBT, Incl. Unusual Items",61.74%,142.46%,46.04%,(17.19%),(2.35%)
Income Tax Expense,,(72.79%),77.24%,(19.37%),(8.73%)
Earnings From Continuing Operations,,,40.40%,(16.69%),(0.87%)
Net Income to Company,,,15.38%,(16.69%),(0.87%)
Net Income,,,15.38%,(16.69%),(0.87%)
Pref. Dividends and Other Adj.,,,250.00%,0.00%,0.00%
NI to Common Incl Extra Items,,,14.60%,(16.86%),(0.88%)
NI to Common Excl. Extra Items,,,39.55%,(16.86%),(0.88%)
Revenue Per Share,12.32%,12.13%,8.82%,(0.46%),1.07%
Basic EPS,,,13.70%,(16.27%),(0.24%)
Basic EPS - Continuing Ops,,,38.48%,(16.27%),(0.24%)
Basic Weighted Average Shares Outst.,(6.19%),(1.46%),0.70%,(0.72%),(0.64%)
Diluted EPS,,,14.57%,(15.90%),(0.17%)
Diluted EPS - Continuing Ops,,,39.41%,(15.90%),(0.17%)
Diluted Weighted Average Shares Outst.,(7.88%),0.11%,0.22%,(1.18%),(0.86%)
Normalized Basic EPS,76.62%,147.99%,51.63%,(17.67%),(2.69%)
Normalized Diluted EPS,79.11%,144.10%,52.38%,(17.16%),(2.47%)
Dividend Per Share,9.30%,17.02%,9.09%,8.33%,8.16%
Payout Ratio,,,3.84%,26.41%,
EBITDA,24.71%,79.20%,36.32%,(12.67%),(1.23%)
EBITA,39.03%,107.36%,43.74%,(17.67%),(7.58%)
EBIT,37.89%,103.53%,45.27%,(18.25%),(5.00%)
EBITDAR,23.95%,76.07%,35.19%,(12.50%),
Effective Tax Rate,,(88.78%),21.35%,(2.61%),(6.53%)
Normalized Net Income,64.81%,144.05%,52.71%,(18.20%),(3.31%)
Interest on Long-Term Debt,(3.36%),(5.70%),(13.09%),(8.88%),
