Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5.28%,9.88%,8.84%,5.19%,0.00%
Total Revenues,5.28%,9.88%,8.84%,5.19%,0.00%
Cost Of Revenues,6.76%,9.84%,15.40%,4.38%,0.00%
Gross Profit,0.31%,10.01%,(14.52%),9.08%,0.00%
Selling General & Admin Expenses,(1.40%),2.84%,(2.63%),1.16%,0.00%
Total Operating Expenses,0.52%,1.03%,(0.89%),1.03%,0.00%
Operating Income,0.12%,18.17%,(25.10%),17.35%,0.00%
Interest Expense,(27.03%),-38.30%,(20.69%),(62.86%),0.00%
Interest And Investment Income,100.00%,41.67%,29.41%,45.45%,0.00%
Net Interest Expenses,(20.59%),-50.00%,(17.07%),(70.83%),0.00%
Other Non Operating Income (Expenses),,300.00%,175.00%,0.00%,0.00%
"EBT, Excl. Unusual Items",(1.53%),25.78%,(26.06%),13.51%,0.00%
"EBT, Incl. Unusual Items",(1.53%),25.78%,(29.66%),18.59%,0.00%
Income Tax Expense,38.86%,(53.92%),(0.74%),(14.93%),0.00%
Earnings From Continuing Operations,(16.40%),74.53%,(34.33%),26.78%,0.00%
Net Income to Company,(16.40%),74.53%,(34.33%),26.78%,0.00%
Net Income,(16.40%),74.53%,(34.33%),26.78%,0.00%
NI to Common Incl Extra Items,(16.40%),74.53%,(34.33%),26.78%,0.00%
NI to Common Excl. Extra Items,(16.40%),74.53%,(34.33%),26.78%,0.00%
Revenue Per Share,7.81%,14.65%,15.15%,7.27%,0.00%
Basic EPS,(14.37%),82.13%,(30.53%),29.28%,0.00%
Basic EPS - Continuing Ops,(14.37%),82.13%,(30.53%),29.28%,0.00%
Basic Weighted Average Shares Outst.,(2.35%),(4.16%),(5.48%),(1.93%),0.00%
Diluted EPS,(13.84%),82.47%,(30.54%),29.26%,0.00%
Diluted EPS - Continuing Ops,(13.84%),82.47%,(30.54%),29.26%,0.00%
Diluted Weighted Average Shares Outst.,(2.97%),(4.37%),(5.48%),(1.93%),0.00%
Normalized Basic EPS,0.84%,31.21%,(21.79%),15.74%,0.00%
Normalized Diluted EPS,1.49%,31.58%,(21.79%),15.74%,0.00%
Dividend Per Share,20.00%,19.84%,19.54%,17.17%,0.00%
Payout Ratio,40.40%,(34.24%),71.88%,(8.94%),0.00%
EBITDA,1.93%,14.46%,(18.91%),15.38%,0.00%
EBITA,2.06%,16.91%,(23.18%),17.46%,0.00%
EBIT,0.12%,18.17%,(25.10%),17.35%,0.00%
EBITDAR,,,,14.10%,
Effective Tax Rate,41.04%,(63.36%),41.15%,(28.27%),0.00%
Normalized Net Income,(1.53%),25.78%,(26.06%),13.51%,0.00%
R&D Expense From Footnotes,(10.53%),47.06%,(8.00%),34.78%,0.00%
