Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,7.98%,5.20%,4.64%,12.15%,33.91%
Total Revenues,7.98%,5.20%,4.64%,12.15%,33.91%
Cost Of Revenues,12.85%,9.12%,7.51%,(2.24%),(0.23%)
Gross Profit,5.42%,3.00%,2.93%,21.11%,55.33%
Selling General & Admin Expenses,21.04%,11.73%,(3.06%),(4.87%),(7.17%)
R&D Expenses,0.30%,(6.06%),6.17%,(4.18%),(8.16%)
Total Operating Expenses,9.78%,6.87%,(1.24%),(8.96%),(9.63%)
Operating Income,(4.38%),(7.01%),15.31%,97.56%,216.24%
Interest Expense,-1.35%,-2.94%,-5.31%,-17.26%,-18.69%
Interest And Investment Income,442.86%,65.79%,(26.98%),(6.52%),(51.85%)
Net Interest Expenses,-3.36%,-4.69%,-4.35%,-17.62%,-17.34%
Currency Exchange Gains (Loss),,156.52%,(13.56%),(37.25%),(525.00%)
Other Non Operating Income (Expenses),38.89%,(66.00%),(76.47%),575.00%,(10.26%)
"EBT, Excl. Unusual Items",(3.60%),(7.67%),21.06%,132.63%,279.80%
"EBT, Incl. Unusual Items",196.29%,,-38.44%,,
Income Tax Expense,462.13%,,-82.40%,(100.74%),
Earnings From Continuing Operations,128.39%,,(82.93%),,"1,548.44%"
Net Income to Company,128.39%,,(82.93%),,"1,548.44%"
Minority Interest,,,,,"1,700.00%"
Net Income,128.39%,,(82.93%),,"1,548.99%"
NI to Common Incl Extra Items,128.39%,,(82.93%),,"1,548.99%"
NI to Common Excl. Extra Items,128.39%,,(82.93%),,"1,548.99%"
Revenue Per Share,8.13%,7.02%,6.83%,14.99%,38.20%
Basic EPS,128.82%,,(88.93%),,"1,601.76%"
Basic EPS - Continuing Ops,128.82%,,(88.93%),,"1,601.76%"
Basic Weighted Average Shares Outst.,(0.14%),(1.68%),(2.07%),(2.48%),(3.10%)
Diluted EPS,127.59%,,(90.00%),,"1,607.03%"
Diluted EPS - Continuing Ops,127.59%,,(90.00%),,"1,607.03%"
Diluted Weighted Average Shares Outst.,(0.18%),(3.69%),(2.07%),(1.78%),(2.28%)
Normalized Basic EPS,(3.95%),(5.79%),23.31%,139.82%,293.45%
Normalized Diluted EPS,(3.87%),(3.65%),23.31%,138.11%,290.13%
EBITDA,(3.69%),(0.42%),6.13%,46.18%,118.59%
EBITA,(4.46%),(2.12%),7.86%,51.63%,130.73%
EBIT,(4.38%),(7.01%),15.31%,97.56%,216.24%
EBITDAR,(3.49%),(0.04%),5.99%,45.60%,
Effective Tax Rate,89.69%,90.18%,,,(84.30%)
Normalized Net Income,(3.60%),(7.67%),21.06%,134.29%,281.24%
Interest on Long-Term Debt,(1.35%),(2.94%),(5.31%),(17.26%),
R&D Expense From Footnotes,0.84%,10.23%,93.05%,(57.81%),(58.28%)
Foreign Sales,,17.14%,3.80%,9.88%,
