Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3.13%,3.13%,(12.18%),(11.09%),(10.09%)
Total Revenues,3.13%,3.13%,(12.18%),(11.09%),(10.09%)
Cost Of Revenues,1.69%,3.20%,(16.21%),(8.92%),(6.88%)
Gross Profit,6.58%,2.95%,(3.03%),(15.38%),(16.35%)
Selling General & Admin Expenses,5.14%,(6.49%),0.25%,(21.62%),(20.31%)
Total Operating Expenses,5.14%,(6.49%),0.25%,(21.62%),(20.31%)
Operating Income,7.64%,9.77%,(5.04%),(11.33%),(13.91%)
Interest Expense,-6.51%,(16.14%),-2.72%,(0.56%),(8.99%)
Interest And Investment Income,42.45%,43.71%,17.51%,(58.04%),(64.66%)
Net Interest Expenses,-28.88%,-9.09%,-32.00%,(147.06%),(160.18%)
Currency Exchange Gains (Loss),(50.00%),,90.48%,(43.33%),(57.85%)
Other Non Operating Income (Expenses),-59.20%,-30.49%,-75.44%,"(3,621.43%)","(2,976.47%)"
"EBT, Excl. Unusual Items",11.14%,11.97%,(3.18%),(20.44%),(23.55%)
"EBT, Incl. Unusual Items",7.72%,7.73%,0.96%,(20.47%),(22.40%)
Income Tax Expense,234.50%,(87.71%),101.67%,(13.69%),(1.68%)
Earnings From Continuing Operations,(67.25%),329.97%,(8.76%),(21.91%),(26.45%)
Net Income to Company,(67.25%),329.97%,(8.76%),(21.91%),(26.45%)
Minority Interest,(16.22%),(46.51%),(38.10%),-1.15%,-10.87%
Net Income,(67.89%),337.86%,(9.19%),(22.20%),(26.68%)
NI to Common Incl Extra Items,(67.89%),337.86%,(9.19%),(22.20%),(26.68%)
NI to Common Excl. Extra Items,(67.89%),337.86%,(9.19%),(22.20%),(26.68%)
Revenue Per Share,3.44%,5.77%,(9.50%),(8.95%),(8.13%)
Basic EPS,(67.82%),348.52%,(6.37%),(20.34%),(25.09%)
Basic EPS - Continuing Ops,(67.82%),348.52%,(6.37%),(20.34%),(25.09%)
Basic Weighted Average Shares Outst.,(0.29%),(2.51%),(2.96%),(2.34%),(2.13%)
Diluted EPS,(67.79%),349.00%,(6.35%),(20.10%),(24.94%)
Diluted EPS - Continuing Ops,(67.79%),349.00%,(6.35%),(20.10%),(24.94%)
Diluted Weighted Average Shares Outst.,(0.41%),(2.47%),(3.01%),(2.62%),(2.31%)
Normalized Basic EPS,11.46%,14.54%,(0.73%),(18.86%),(22.14%)
Normalized Diluted EPS,11.55%,14.44%,(0.77%),(18.66%),(21.99%)
Dividend Per Share,11.84%,11.50%,9.80%,8.04%,6.40%
Payout Ratio,244.60%,(75.51%),18.38%,36.45%,43.34%
EBITDA,7.72%,8.47%,(4.72%),(10.89%),(11.85%)
EBITA,8.65%,9.21%,(4.56%),(11.45%),(12.82%)
EBIT,7.64%,9.77%,(5.04%),(11.33%),(13.91%)
EBITDAR,,,,(10.71%),
Effective Tax Rate,210.47%,(88.59%),99.79%,8.52%,26.70%
Normalized Net Income,11.09%,11.63%,(3.72%),(20.80%),(23.79%)
Interest on Long-Term Debt,,,,(10.00%),
R&D Expense From Footnotes,(1.56%),(1.42%),(13.99%),(14.27%),(14.27%)
Foreign Sales,6.98%,0.84%,(17.60%),(12.35%),
