Income Statement,Oct 2016,Oct 2017,Oct 2018,Oct 2019,Oct 2020,TTM
Revenues,9523.2,9167.5,9545.7,9497.3,9608.5,9685.2
Total Revenues,9523.2,9167.5,9545.7,9497.3,9608.5,9685.2
Cost Of Revenues,7365.0,7170.9,7566.2,7612.7,7702.5,7782.5
Gross Profit,2158.2,1996.6,1979.5,1884.6,1906.0,1902.7
Selling General & Admin Expenses,837.3,725.1,807.4,711.6,729.4,730.3
R&D Expenses,34.7,34.2,33.8,32.5,31.9,31.9
Total Operating Expenses,872.0,759.3,841.2,744.1,761.3,762.2
Operating Income,1286.2,1237.3,1138.3,1140.6,1144.6,1140.5
Interest Expense,(12.9),(12.7),(26.5),(18.1),(21.1),(25.7)
Interest And Investment Income,6.2,14.6,27.8,31.5,35.6,39.6
Net Interest Expenses,(6.7),1.9,1.3,13.5,14.5,13.9
Other Non Operating Income (Expenses),,,,,(0.0),(0.0)
"EBT, Excl. Unusual Items",1318.2,1278.8,1198.6,1193.2,1194.7,1196.7
"EBT, Incl. Unusual Items",1317.2,1278.6,1181.3,1209.7,1114.7,1101.7
Income Tax Expense,426.7,431.5,168.7,230.6,206.4,213.9
Earnings From Continuing Operations,890.5,847.1,1012.6,979.1,908.4,887.8
Net Income to Company,890.5,847.1,1012.6,979.1,908.4,887.8
Minority Interest,(0.5),(0.4),(0.4),(0.3),(0.3),(0.3)
Net Income,890.1,846.7,1012.1,978.8,908.1,887.5
NI to Common Incl Extra Items,890.1,846.7,1012.1,978.8,908.1,887.5
NI to Common Excl. Extra Items,890.1,846.7,1012.1,978.8,908.1,887.5
Revenue Per Share,$17.99,$17.35,$17.99,$17.77,$17.86,$17.96
Basic EPS,$1.68,$1.60,$1.91,$1.83,$1.69,$1.65
Basic EPS - Continuing Ops,$1.68,$1.60,$1.91,$1.83,$1.69,$1.65
Basic Weighted Average Shares Outst.,529.3,528.4,530.7,534.6,538.0,539.2
Diluted EPS,$1.64,$1.57,$1.86,$1.80,$1.66,$1.62
Diluted EPS - Continuing Ops,$1.64,$1.57,$1.86,$1.80,$1.66,$1.62
Diluted Weighted Average Shares Outst.,542.5,539.1,543.9,545.2,546.6,547.2
Normalized Basic EPS,$1.56,$1.51,$1.41,$1.39,$1.39,$1.39
Normalized Diluted EPS,$1.52,$1.48,$1.38,$1.37,$1.37,$1.37
Dividend Per Share,$0.58,$0.68,$0.75,$0.84,$0.93,$0.94
Payout Ratio,33.31%,40.86%,38.35%,44.65%,53.67%,56.41%
EBITDA,1418.2,1368.3,1300.1,1305.8,1342.4,1340.1
EBITA,1294.6,1245.7,1150.9,1152.6,1176.7,1174.1
EBIT,1286.2,1237.3,1138.3,1140.6,1144.6,1140.5
EBITDAR,1439.8,1387.5,1323.0,1328.9,1787.0,
Effective Tax Rate,32.4%,33.7%,14.3%,19.1%,18.5%,19.4%
Normalized Net Income,823.4,798.9,748.7,745.4,746.4,747.6
Interest on Long-Term Debt,12.9,12.7,26.5,18.1,21.1,
R&D Expense From Footnotes,34.7,34.2,33.8,32.5,31.9,31.9
Foreign Sales,510.4,536.2,588.4,562.4,602.5,
