Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,7440.2,7515.4,7791.1,7986.3,8149.7,8149.7
Total Revenues,7440.2,7515.4,7791.1,7986.3,8149.7,8149.7
Cost Of Revenues,4212.5,4054.9,4204.4,4363.8,4446.2,4446.2
Gross Profit,3227.6,3460.5,3586.6,3622.5,3703.5,3703.5
Selling General & Admin Expenses,1870.0,1862.0,1817.7,1906.5,1858.5,1858.5
R&D Expenses,47.3,45.9,38.5,37.1,37.6,37.6
Total Operating Expenses,1917.3,1907.8,1856.2,1943.7,1899.0,1899.0
Operating Income,1310.4,1552.7,1730.5,1678.8,1804.5,1804.5
Interest Expense,(91.9),(100.1),(146.9),(152.1),(153.5),(153.5)
Interest And Investment Income,1.8,1.8,8.0,8.0,4.1,4.1
Net Interest Expenses,(90.1),(98.3),(138.8),(144.1),(149.4),(149.4)
Currency Exchange Gains (Loss),,,,0.4,(1.6),(1.6)
Other Non Operating Income (Expenses),0.7,0.5,(3.8),6.6,4.7,4.7
"EBT, Excl. Unusual Items",1220.9,1454.9,1587.9,1541.7,1658.3,1658.3
"EBT, Incl. Unusual Items",1099.5,1110.7,1410.1,1380.8,1495.0,1495.0
Income Tax Expense,379.4,354.1,239.0,234.0,219.6,219.6
Earnings From Continuing Operations,720.0,756.5,1171.1,1146.8,1275.4,1275.4
Net Income to Company,720.0,756.5,1171.1,1146.8,1275.4,1275.4
Minority Interest,,26.4,6.5,2.9,3.3,3.3
Net Income,720.0,783.0,1177.6,1149.7,1278.7,1278.7
NI to Common Incl Extra Items,720.0,783.0,1177.6,1149.7,1278.7,1278.7
NI to Common Excl. Extra Items,720.0,783.0,1177.6,1149.7,1278.7,1278.7
Revenue Per Share,$34.74,$35.41,$37.10,$38.13,$39.10,$39.10
Basic EPS,$3.36,$3.69,$5.61,$5.49,$6.13,$6.13
Basic EPS - Continuing Ops,$3.36,$3.69,$5.61,$5.49,$6.13,$6.13
Basic Weighted Average Shares Outst.,214.1,212.2,210.0,209.5,208.4,208.4
Diluted EPS,$3.34,$3.66,$5.58,$5.46,$6.11,$6.11
Diluted EPS - Continuing Ops,$3.34,$3.66,$5.58,$5.46,$6.11,$6.11
Diluted Weighted Average Shares Outst.,215.3,213.7,211.0,210.7,209.4,209.4
Normalized Basic EPS,$3.56,$4.41,$4.76,$4.61,$4.99,$4.99
Normalized Diluted EPS,$3.54,$4.38,$4.73,$4.59,$4.96,$4.96
Dividend Per Share,$2.40,$2.55,$2.76,$2.99,$3.15,$3.15
Payout Ratio,69.37%,67.21%,47.77%,53.08%,50.11%,50.11%
EBITDA,1563.6,1807.7,2016.5,1970.4,2099.4,2099.4
EBITA,1380.5,1603.0,1794.6,1752.3,1880.4,1880.4
EBIT,1310.4,1552.7,1730.5,1678.8,1804.5,1804.5
EBITDAR,1583.9,1833.2,,2012.9,2144.0,2144.0
Effective Tax Rate,34.5%,31.9%,17.0%,16.9%,14.7%,14.7%
Normalized Net Income,763.1,935.8,998.9,966.5,1039.7,1039.7
Interest Capitalized,5.9,4.2,5.1,5.6,6.7,6.7
Interest on Long-Term Debt,,,,10.1,11.2,11.2
R&D Expense From Footnotes,47.3,45.9,38.5,37.1,37.6,37.6
Foreign Sales,1243.5,1251.7,1255.4,1263.6,1106.9,1106.9
