Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,10.91%,12.40%,8.75%,12.45%,0.00%
Total Revenues,10.91%,12.40%,8.75%,12.45%,0.00%
Cost Of Revenues,8.96%,11.47%,7.17%,9.05%,0.00%
Gross Profit,12.50%,13.14%,9.99%,15.05%,0.00%
Selling General & Admin Expenses,10.22%,9.94%,5.34%,10.38%,0.00%
R&D Expenses,7.97%,7.95%,13.01%,6.05%,0.00%
Total Operating Expenses,9.85%,9.62%,6.54%,9.66%,0.00%
Operating Income,17.18%,18.96%,15.25%,22.65%,0.00%
Interest Expense,(16.15%),-6.66%,-10.62%,(6.67%),0.00%
Interest And Investment Income,43.71%,(78.09%),(62.90%),37.24%,0.00%
Net Interest Expenses,(12.60%),(5.07%),-8.83%,(6.24%),0.00%
"EBT, Excl. Unusual Items",17.58%,20.12%,17.01%,23.59%,0.00%
"EBT, Incl. Unusual Items",18.40%,20.12%,14.09%,26.76%,0.00%
Income Tax Expense,18.03%,(31.49%),17.02%,(15.43%),0.00%
Earnings From Continuing Operations,18.56%,43.22%,13.46%,36.08%,0.00%
Net Income to Company,18.56%,43.22%,13.46%,36.08%,0.00%
Minority Interest,"(1,288.89%)",-87.20%,(350.00%),(393.06%),0.00%
Net Income,18.51%,43.28%,13.44%,36.02%,0.00%
NI to Common Incl Extra Items,18.51%,43.28%,13.44%,36.02%,0.00%
NI to Common Excl. Extra Items,18.51%,43.28%,13.44%,36.02%,0.00%
Revenue Per Share,13.36%,13.60%,9.69%,13.47%,0.00%
Basic EPS,21.38%,44.68%,14.44%,37.16%,0.00%
Basic EPS - Continuing Ops,21.38%,44.68%,14.44%,37.16%,0.00%
Basic Weighted Average Shares Outst.,(2.19%),(1.03%),(0.86%),(0.90%),0.00%
Diluted EPS,20.49%,44.90%,14.79%,37.22%,0.00%
Diluted EPS - Continuing Ops,20.49%,44.90%,14.79%,37.22%,0.00%
Diluted Weighted Average Shares Outst.,(1.45%),(1.22%),(1.05%),(0.94%),0.00%
Normalized Basic EPS,20.00%,21.53%,18.13%,24.52%,0.00%
Normalized Diluted EPS,19.18%,21.56%,18.36%,24.79%,0.00%
EBITDA,15.20%,15.79%,13.88%,20.83%,0.00%
EBITA,16.59%,18.53%,15.08%,22.35%,0.00%
EBIT,17.18%,18.96%,15.25%,22.65%,0.00%
EBITDAR,14.51%,15.51%,13.06%,20.20%,
Effective Tax Rate,(0.32%),(42.97%),2.56%,(33.28%),0.00%
Normalized Net Income,17.53%,20.18%,16.99%,23.51%,0.00%
Interest on Long-Term Debt,16.15%,(6.66%),(10.62%),6.67%,
R&D Expense From Footnotes,7.97%,7.95%,13.01%,6.05%,0.00%
Foreign Sales,11.62%,11.73%,6.55%,11.42%,
