Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,2113.0,2287.3,2483.7,2494.6,2351.6,2409.2
Total Revenues,2113.0,2287.3,2483.7,2494.6,2351.6,2409.2
Cost Of Revenues,1167.6,1260.6,1365.8,1366.2,1320.1,1357.0
Gross Profit,945.5,1026.7,1117.9,1128.4,1031.5,1052.2
Selling General & Admin Expenses,494.8,527.5,534.5,526.9,494.1,496.9
Other Operating Expense/(Income),,,2.2,,,
Total Operating Expenses,494.8,527.5,536.7,526.9,494.1,496.9
Operating Income,450.7,499.2,581.2,601.5,537.5,555.3
Interest Expense,(45.6),(44.9),(44.1),(44.3),(44.7),(44.6)
Net Interest Expenses,(45.6),(44.9),(44.1),(44.3),(44.7),(44.6)
Currency Exchange Gains (Loss),6.2,(0.3),2.4,(3.3),(3.0),(3.0)
Other Non Operating Income (Expenses),2.6,21.9,4.5,5.8,9.6,12.0
"EBT, Excl. Unusual Items",413.9,476.0,544.0,559.7,499.3,519.7
"EBT, Incl. Unusual Items",368.5,455.3,528.9,532.9,470.3,488.5
Income Tax Expense,97.4,118.0,118.4,107.4,92.6,100.0
Earnings From Continuing Operations,271.1,337.3,410.6,425.5,377.8,388.5
Net Income to Company,271.1,337.3,410.6,425.5,377.8,388.5
Net Income,271.1,337.3,410.6,425.5,377.8,388.5
NI to Common Incl Extra Items,271.1,337.3,410.6,425.5,377.8,388.5
NI to Common Excl. Extra Items,271.1,337.3,410.6,425.5,377.8,388.5
Revenue Per Share,$27.88,$30.00,$32.50,$33.00,$31.05,$31.79
Basic EPS,$3.58,$4.42,$5.37,$5.63,$4.99,$5.13
Basic EPS - Continuing Ops,$3.58,$4.42,$5.37,$5.63,$4.99,$5.13
Basic Weighted Average Shares Outst.,75.8,76.2,76.4,75.6,75.7,75.8
Diluted EPS,$3.53,$4.36,$5.29,$5.56,$4.94,$5.09
Diluted EPS - Continuing Ops,$3.53,$4.36,$5.29,$5.56,$4.94,$5.09
Diluted Weighted Average Shares Outst.,76.8,77.3,77.6,76.5,76.4,76.4
Normalized Basic EPS,$3.41,$3.90,$4.45,$4.63,$4.12,$4.29
Normalized Diluted EPS,$3.37,$3.85,$4.38,$4.58,$4.08,$4.25
Dividend Per Share,$1.36,$1.48,$1.72,$2.00,$2.00,$1.50
Payout Ratio,37.86%,32.96%,31.05%,34.59%,40.19%,
EBITDA,537.6,583.4,658.8,678.4,621.0,640.4
EBITA,499.7,545.1,619.7,638.8,579.3,598.6
EBIT,450.7,499.2,581.2,601.5,537.5,555.3
EBITDAR,556.2,602.4,680.6,703.7,652.4,
Effective Tax Rate,26.4%,25.9%,22.4%,20.2%,19.7%,20.5%
Normalized Net Income,258.7,297.5,340.0,349.8,312.1,324.8
Interest on Long-Term Debt,45.6,44.9,44.1,44.3,44.7,
R&D Expense From Footnotes,68.8,76.4,84.9,92.4,82.3,82.3
Foreign Sales,,,1254.4,1241.0,1191.8,
