Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,8.25%,8.58%,0.44%,(5.73%),(2.33%)
Total Revenues,8.25%,8.58%,0.44%,(5.73%),(2.33%)
Cost Of Revenues,7.97%,8.34%,0.03%,(3.37%),0.50%
Gross Profit,8.59%,8.88%,0.94%,(8.58%),(5.76%)
Selling General & Admin Expenses,6.60%,1.33%,(1.42%),(6.23%),(5.03%)
Total Operating Expenses,6.60%,1.75%,(1.83%),(6.23%),(5.03%)
Operating Income,10.77%,16.43%,3.49%,(10.65%),(6.40%)
Interest Expense,-1.59%,-1.68%,(0.47%),(0.91%),(0.79%)
Net Interest Expenses,-1.59%,-1.68%,(0.47%),(0.91%),(0.79%)
Currency Exchange Gains (Loss),,,,-9.09%,-9.09%
Other Non Operating Income (Expenses),738.56%,(79.37%),28.50%,65.40%,127.72%
"EBT, Excl. Unusual Items",15.00%,14.30%,2.88%,(10.78%),(5.68%)
"EBT, Incl. Unusual Items",23.54%,16.18%,0.75%,(11.74%),(6.68%)
Income Tax Expense,21.16%,0.30%,(9.28%),(13.80%),(5.79%)
Earnings From Continuing Operations,24.40%,21.74%,3.64%,(11.22%),(6.90%)
Net Income to Company,24.40%,21.74%,3.64%,(11.22%),(6.90%)
Net Income,24.40%,21.74%,3.64%,(11.22%),(6.89%)
NI to Common Incl Extra Items,24.40%,21.74%,3.64%,(11.22%),(6.89%)
NI to Common Excl. Extra Items,24.40%,21.74%,3.64%,(11.22%),(6.89%)
Revenue Per Share,7.62%,8.35%,1.54%,(5.91%),(2.48%)
Basic EPS,23.58%,21.56%,4.82%,(11.41%),(7.03%)
Basic EPS - Continuing Ops,23.58%,21.56%,4.82%,(11.41%),(7.03%)
Basic Weighted Average Shares Outst.,0.57%,0.24%,(1.07%),0.19%,0.15%
Diluted EPS,23.51%,21.33%,5.10%,(11.15%),(6.61%)
Diluted EPS - Continuing Ops,23.51%,21.33%,5.10%,(11.15%),(6.61%)
Diluted Weighted Average Shares Outst.,0.75%,0.30%,(1.43%),(0.07%),(0.16%)
Normalized Basic EPS,14.43%,14.10%,3.99%,(11.00%),(5.81%)
Normalized Diluted EPS,14.14%,13.86%,4.46%,(10.81%),(5.52%)
Dividend Per Share,8.82%,16.22%,16.28%,0.00%,(25.00%)
Payout Ratio,(12.93%),(5.80%),11.42%,16.20%,
EBITDA,8.53%,12.91%,2.98%,(8.46%),(4.64%)
EBITA,9.09%,13.69%,3.09%,(9.32%),(5.16%)
EBIT,10.77%,16.43%,3.49%,(10.65%),(6.40%)
EBITDAR,8.32%,12.97%,3.40%,(7.30%),
Effective Tax Rate,(1.92%),(13.67%),(9.96%),(2.33%),0.95%
Normalized Net Income,15.00%,14.30%,2.88%,(10.78%),(5.67%)
Interest on Long-Term Debt,(1.59%),(1.68%),0.47%,0.91%,
R&D Expense From Footnotes,11.05%,11.13%,8.83%,(10.93%),(10.93%)
Foreign Sales,,,(1.07%),(3.96%),
