Income Statement,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,14.76%,21.11%,6.30%,(8.58%),(2.33%)
Total Revenues,14.76%,21.11%,6.30%,(8.58%),(2.33%)
Cost Of Revenues,26.12%,14.84%,4.41%,(3.26%),7.44%
Gross Profit,10.18%,24.00%,7.11%,(10.80%),(6.27%)
Selling General & Admin Expenses,14.29%,17.92%,1.77%,9.84%,25.63%
R&D Expenses,9.17%,13.60%,1.23%,5.91%,15.66%
Total Operating Expenses,11.32%,15.33%,1.45%,7.67%,20.78%
Operating Income,7.96%,41.51%,16.42%,(37.26%),(41.27%)
Interest Expense,(12.12%),(54.05%),-8.77%,-5.77%,(2.08%)
Interest And Investment Income,90.00%,131.58%,70.45%,(45.33%),(37.88%)
Net Interest Expenses,-21.74%,-27.78%,,,
Other Non Operating Income (Expenses),,50.00%,33.33%,700.00%,
"EBT, Excl. Unusual Items",10.14%,43.59%,20.85%,(36.59%),(40.59%)
"EBT, Incl. Unusual Items",85.92%,(14.29%),25.06%,(23.43%),(20.32%)
Income Tax Expense,174.44%,(69.32%),14.29%,56.25%,75.00%
Earnings From Continuing Operations,58.41%,15.34%,26.60%,(33.74%),(32.91%)
Net Income to Company,58.41%,15.34%,26.60%,(33.74%),(32.91%)
Minority Interest,37.14%,(8.33%),(72.73%),,
Net Income,56.80%,13.77%,21.31%,(34.53%),(33.12%)
Preferred Dividend and Other Adjustments,(88.89%),,,,
NI to Common Incl Extra Items,59.69%,13.93%,21.31%,(34.53%),(33.12%)
NI to Common Excl. Extra Items,59.69%,13.93%,21.31%,(34.53%),(33.12%)
Revenue Per Share,15.57%,20.28%,6.32%,(8.57%),(2.17%)
Basic EPS,60.70%,13.06%,21.29%,(34.57%),(33.01%)
Basic EPS - Continuing Ops,60.70%,13.06%,21.29%,(34.57%),(33.01%)
Basic Weighted Average Shares Outst.,(0.68%),0.68%,0.00%,0.00%,(0.17%)
Diluted EPS,60.26%,13.01%,21.22%,(33.98%),(32.51%)
Diluted EPS - Continuing Ops,60.26%,13.01%,21.22%,(33.98%),(32.51%)
Diluted Weighted Average Shares Outst.,0.00%,0.68%,0.00%,(0.67%),(0.67%)
Normalized Basic EPS,13.19%,36.90%,13.89%,(37.76%),(40.75%)
Normalized Diluted EPS,12.52%,36.93%,13.78%,(37.36%),(40.45%)
EBITDA,8.48%,36.15%,14.50%,(31.58%),(35.27%)
EBITA,6.52%,37.61%,15.51%,(36.53%),(40.39%)
EBIT,7.96%,41.51%,16.42%,(37.26%),(41.27%)
EBITDAR,7.97%,35.23%,15.31%,(29.74%),
Effective Tax Rate,47.60%,(64.21%),(8.63%),104.06%,119.63%
Normalized Net Income,12.63%,37.76%,13.86%,(37.72%),(40.85%)
Interest on Long-Term Debt,12.12%,54.05%,(8.77%),(5.77%),
R&D Expense From Footnotes,9.33%,13.07%,3.85%,5.41%,14.04%
Foreign Sales,12.41%,25.22%,8.37%,(5.94%),
