Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1105.6,1536.1,1881.7,2158.8,2666.7,2666.7
Other Revenues,0.1,0.1,0.2,,,
Total Revenues,1105.7,1536.2,1881.9,2158.8,2666.7,2666.7
Cost Of Revenues,640.0,1393.6,1292.1,1268.4,2390.1,2390.1
Gross Profit,465.7,142.6,589.8,890.4,276.6,276.6
Selling General & Admin Expenses,301.7,366.6,434.9,469.3,517.9,517.9
Total Operating Expenses,301.7,366.6,434.9,469.3,517.9,517.9
Operating Income,164.0,(224.0),154.9,421.1,(241.2),(241.2)
Interest Expense,(38.7),(6.9),(1.5),(1.9),(2.2),(2.2)
Net Interest Expenses,(38.7),(6.9),(1.5),(1.9),(2.2),(2.2)
Other Non Operating Income (Expenses),4.6,17.5,32.3,52.7,24.2,24.2
"EBT, Excl. Unusual Items",129.9,(213.4),185.6,472.0,(219.3),(219.3)
"EBT, Incl. Unusual Items",107.4,(312.3),115.3,486.8,(232.2),(232.2)
Income Tax Expense,3.2,0.9,5.9,39.9,63.5,63.5
Earnings From Continuing Operations,104.2,(313.1),109.5,446.9,(295.7),(295.7)
Net Income to Company,104.2,(313.1),109.5,446.9,(295.7),(295.7)
Net Income,104.2,(313.1),109.5,446.9,(295.7),(295.7)
NI to Common Incl Extra Items,104.2,(313.1),109.5,446.9,(295.7),(295.7)
NI to Common Excl. Extra Items,104.2,(313.1),109.5,446.9,(295.7),(295.7)
Revenue Per Share,$5.89,$7.51,$8.86,$10.04,$12.23,$12.23
Basic EPS,$0.55,($1.53),$0.52,$2.08,($1.36),($1.36)
Basic EPS - Continuing Ops,$0.55,($1.53),$0.52,$2.08,($1.36),($1.36)
Basic Weighted Average Shares Outst.,187.9,204.6,212.4,214.9,218.1,218.1
Diluted EPS,$0.54,($1.53),$0.51,$2.05,($1.36),($1.36)
Diluted EPS - Continuing Ops,$0.54,($1.53),$0.51,$2.05,($1.36),($1.36)
Diluted Weighted Average Shares Outst.,194.1,204.6,215.6,217.7,218.1,218.1
Normalized Basic EPS,$0.43,($0.65),$0.55,$1.37,($0.63),($0.63)
Normalized Diluted EPS,$0.42,($0.65),$0.54,$1.36,($0.63),($0.63)
EBITDA,190.8,(171.9),209.8,476.5,(187.5),(187.5)
EBITA,176.6,(202.5),176.4,442.6,(219.7),(219.7)
EBIT,164.0,(224.0),154.9,421.1,(241.2),(241.2)
EBITDAR,196.2,(163.7),,490.3,(173.1),(173.1)
Effective Tax Rate,3.0%,NM,5.1%,8.2%,NM,NM
Normalized Net Income,81.2,(133.4),116.0,295.0,(137.0),(137.0)
Interest on Long-Term Debt,,,,1.5,1.9,1.9
R&D Expense From Footnotes,595.3,1329.1,1198.0,1169.2,2224.4,2224.4
Foreign Sales,29.6,66.9,79.9,90.0,105.0,105.0
