Income Statement,Jul 2017,Jul 2018,Jul 2019,Jul 2020,TTM
Revenues,10.69%,15.95%,12.60%,13.19%,8.28%
Total Revenues,10.69%,15.95%,12.60%,13.19%,8.28%
Cost Of Revenues,9.32%,20.68%,19.11%,18.22%,7.80%
Gross Profit,10.95%,15.10%,11.36%,12.17%,8.38%
Selling General & Admin Expenses,8.91%,16.62%,9.98%,8.04%,5.39%
R&D Expenses,13.28%,18.84%,3.96%,12.90%,8.16%
Total Operating Expenses,9.48%,17.52%,8.02%,9.62%,7.37%
Operating Income,14.17%,10.01%,18.85%,17.37%,10.47%
Interest Expense,-11.43%,-35.48%,-25.00%,-6.67%,(100.00%)
Interest And Investment Income,166.67%,125.00%,155.56%,(15.22%),(60.71%)
Net Interest Expenses,-28.13%,-91.30%,,(19.35%),
Other Non Operating Income (Expenses),-28.57%,,,-25.00%,(88.89%)
"EBT, Excl. Unusual Items",15.54%,12.66%,20.11%,16.85%,7.43%
"EBT, Incl. Unusual Items",15.54%,12.66%,20.11%,16.85%,8.25%
Income Tax Expense,2.02%,(41.48%),36.71%,14.81%,13.81%
Earnings From Continuing Operations,22.21%,34.92%,17.16%,17.28%,7.11%
Net Income to Company,0.61%,34.92%,17.16%,17.28%,7.11%
Net Income,0.61%,34.92%,17.16%,17.28%,7.11%
NI to Common Incl Extra Items,0.61%,34.92%,17.16%,17.28%,7.11%
NI to Common Excl. Extra Items,22.21%,34.92%,17.16%,17.28%,7.11%
Revenue Per Share,12.82%,16.40%,10.84%,12.77%,7.05%
Basic EPS,2.48%,35.55%,15.38%,16.80%,5.89%
Basic EPS - Continuing Ops,24.44%,35.55%,15.38%,16.80%,5.89%
Basic Weighted Average Shares Outst.,(1.91%),(0.39%),1.56%,0.38%,1.15%
Diluted EPS,2.44%,34.66%,15.72%,17.49%,6.04%
Diluted EPS - Continuing Ops,24.34%,34.66%,15.72%,17.49%,6.04%
Diluted Weighted Average Shares Outst.,(1.51%),0.00%,1.15%,0.00%,0.95%
Normalized Basic EPS,17.78%,13.11%,18.37%,16.45%,6.21%
Normalized Diluted EPS,17.20%,12.61%,18.75%,16.93%,6.43%
Dividend Per Share,13.33%,14.71%,20.51%,12.77%,12.00%
Payout Ratio,10.34%,(14.55%),5.09%,(4.53%),6.04%
EBITDA,12.62%,9.50%,14.52%,15.20%,9.69%
EBITA,13.06%,9.94%,18.47%,17.37%,12.25%
EBIT,14.17%,10.01%,18.85%,17.37%,10.47%
EBITDAR,12.18%,9.55%,14.43%,15.75%,
Effective Tax Rate,(11.71%),(48.06%),13.85%,(1.72%),5.14%
Normalized Net Income,15.54%,12.66%,20.11%,16.85%,7.43%
R&D Expense From Footnotes,11.85%,18.91%,4.33%,12.85%,8.70%
