Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,22.48%,13.24%,(8.84%),100.26%,0.00%
Total Revenues,22.48%,13.24%,(8.84%),100.26%,0.00%
Cost Of Revenues,20.84%,13.52%,(8.17%),114.05%,0.00%
Gross Profit,25.28%,12.76%,(9.96%),76.97%,0.00%
Selling General & Admin Expenses,7.49%,(1.86%),(0.43%),104.22%,0.00%
Other Operating Expense/(Income),69.46%,,,221.05%,0.00%
Total Operating Expenses,38.20%,(26.76%),(0.11%),129.86%,0.00%
Operating Income,(19.42%),247.26%,(22.28%),(8.13%),0.00%
Interest Expense,-17.38%,-29.21%,-10.74%,(24.97%),0.00%
Net Interest Expenses,-17.38%,-29.21%,-10.74%,(24.97%),0.00%
Currency Exchange Gains (Loss),,,,(158.02%),0.00%
Other Non Operating Income (Expenses),(5.56%),(32.35%),86.96%,(16.28%),0.00%
"EBT, Excl. Unusual Items","(17,000.00%)",,(27.52%),(24.96%),0.00%
"EBT, Incl. Unusual Items",(78.32%),,(45.38%),,0.00%
Income Tax Expense,(311.29%),,(60.30%),(59.12%),0.00%
Earnings From Continuing Operations,,"1,356.22%",(40.94%),,0.00%
Net Income to Company,,"1,356.22%",(40.94%),,0.00%
Minority Interest,-98.11%,,,,-35.71%
Net Income,,"1,364.13%",(40.94%),,0.00%
NI to Common Incl Extra Items,,"1,364.13%",(40.94%),,0.00%
NI to Common Excl. Extra Items,,"1,364.13%",(40.94%),,0.00%
Revenue Per Share,0.29%,2.32%,(9.68%),6.45%,0.00%
Basic EPS,,"1,236.31%",(41.66%),,0.00%
Basic EPS - Continuing Ops,,"1,236.31%",(41.66%),,0.00%
Basic Weighted Average Shares Outst.,22.12%,10.65%,0.94%,88.11%,0.00%
Diluted EPS,,"1,190.00%",(41.09%),,0.00%
Diluted EPS - Continuing Ops,,"1,190.00%",(41.09%),,0.00%
Diluted Weighted Average Shares Outst.,26.27%,10.99%,(0.10%),83.25%,0.00%
Normalized Basic EPS,(48.02%),,(28.30%),(60.47%),0.00%
Normalized Diluted EPS,(43.15%),,(27.52%),(59.45%),0.00%
EBITDA,(9.03%),107.75%,(16.27%),55.80%,0.00%
EBITA,(12.81%),131.68%,(17.67%),51.31%,0.00%
EBIT,(19.42%),247.26%,(22.28%),(8.13%),0.00%
EBITDAR,,,,58.98%,
Effective Tax Rate,,,(27.32%),,0.00%
Normalized Net Income,(101.17%),,(27.52%),(25.52%),0.00%
Interest on Long-Term Debt,(5.17%),(38.33%),(10.54%),26.94%,
R&D Expense From Footnotes,18.18%,(7.69%),4.17%,184.00%,0.00%
Foreign Sales,,,,83.96%,
