Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,15.95%,18.67%,20.25%,(2.68%),(1.16%)
Total Revenues,15.95%,18.67%,20.25%,(2.68%),(1.16%)
Cost Of Revenues,15.07%,19.64%,22.16%,9.42%,7.01%
Gross Profit,16.33%,18.26%,19.43%,(8.01%),(4.82%)
Selling General & Admin Expenses,17.21%,16.15%,25.12%,3.36%,1.88%
R&D Expenses,37.15%,27.24%,33.29%,6.78%,8.46%
Total Operating Expenses,22.34%,19.35%,27.64%,4.46%,3.96%
Operating Income,10.51%,17.09%,10.48%,(23.74%),(15.89%)
Interest And Investment Income,79.89%,21.09%,54.09%,(21.58%),(31.26%)
Net Interest Expenses,79.89%,21.09%,54.09%,(21.58%),(31.26%)
Currency Exchange Gains (Loss),(37.50%),"1,120.00%",(19.67%),,
"EBT, Excl. Unusual Items",12.89%,17.81%,12.83%,(23.91%),(17.81%)
"EBT, Incl. Unusual Items",12.13%,15.81%,17.41%,(19.65%),(11.95%)
Income Tax Expense,75.67%,(64.39%),(22.07%),16.45%,18.52%
Earnings From Continuing Operations,(9.13%),67.69%,22.83%,(22.80%),(14.94%)
Net Income to Company,(9.13%),67.69%,22.83%,(22.80%),(14.94%)
Minority Interest,,,,(148.00%),(61.04%)
Net Income,(9.13%),68.12%,22.29%,(23.11%),(15.36%)
NI to Common Incl Extra Items,(9.13%),68.12%,22.29%,(23.11%),(15.36%)
NI to Common Excl. Extra Items,(9.13%),68.12%,22.29%,(23.11%),(15.36%)
Revenue Per Share,19.25%,16.61%,18.50%,(4.02%),(2.57%)
Basic EPS,(6.59%),65.06%,20.49%,(24.14%),(16.56%)
Basic EPS - Continuing Ops,(6.59%),65.06%,20.49%,(24.14%),(16.56%)
Basic Weighted Average Shares Outst.,(2.79%),1.79%,1.50%,1.39%,1.45%
Diluted EPS,(7.83%),64.47%,21.60%,(23.57%),(16.21%)
Diluted EPS - Continuing Ops,(7.83%),64.47%,21.60%,(23.57%),(16.21%)
Diluted Weighted Average Shares Outst.,(1.36%),2.15%,0.59%,0.67%,0.94%
Normalized Basic EPS,16.03%,16.15%,10.44%,(25.37%),(19.62%)
Normalized Diluted EPS,14.39%,15.75%,11.53%,(24.90%),(19.22%)
EBITDA,10.20%,17.86%,15.39%,(16.24%),(10.21%)
EBITA,9.78%,17.01%,12.65%,(22.54%),(15.46%)
EBIT,10.51%,17.09%,10.48%,(23.74%),(15.89%)
Effective Tax Rate,56.66%,(69.25%),(33.65%),45.01%,34.61%
Normalized Net Income,12.89%,18.22%,12.14%,(24.37%),(18.45%)
R&D Expense From Footnotes,37.15%,27.24%,33.29%,6.78%,8.46%
Foreign Sales,13.64%,27.96%,23.68%,3.46%,
