Income Statement,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,2.48%,5.94%,5.57%,9.30%,5.10%
Total Revenues,2.48%,5.94%,5.57%,9.30%,5.10%
Cost Of Revenues,4.16%,5.87%,8.19%,9.26%,6.53%
Gross Profit,0.25%,6.05%,1.94%,9.36%,2.98%
Selling General & Admin Expenses,1.08%,7.83%,8.29%,6.48%,(1.78%)
R&D Expenses,4.33%,6.59%,6.68%,14.12%,10.89%
Total Operating Expenses,2.18%,7.40%,7.73%,9.09%,2.56%
Operating Income,(1.10%),5.07%,(2.32%),9.58%,3.32%
Interest Expense,-30.35%,(92.77%),-51.77%,-25.70%,-35.21%
Interest And Investment Income,(19.22%),131.85%,52.35%,29.79%,(65.96%)
Net Interest Expenses,-33.39%,(79.81%),-96.28%,,
"EBT, Excl. Unusual Items",(1.00%),4.91%,(1.97%),9.73%,3.19%
"EBT, Incl. Unusual Items",(5.43%),4.45%,(2.51%),9.75%,3.19%
Income Tax Expense,(0.23%),,,12.02%,(5.72%)
Earnings From Continuing Operations,(7.76%),59.01%,(25.52%),9.12%,5.92%
Net Income to Company,(7.76%),59.01%,(25.52%),9.12%,5.92%
Net Income,(7.76%),59.01%,(25.52%),9.12%,5.92%
NI to Common Incl Extra Items,(7.76%),59.01%,(25.52%),9.12%,5.92%
NI to Common Excl. Extra Items,(7.76%),59.01%,(25.52%),9.12%,5.92%
Revenue Per Share,4.52%,6.78%,5.69%,9.85%,5.81%
Basic EPS,(5.80%),60.18%,(25.50%),9.76%,6.64%
Basic EPS - Continuing Ops,(5.80%),60.18%,(25.50%),9.76%,6.64%
Basic Weighted Average Shares Outst.,(1.96%),(0.78%),(0.12%),(0.48%),(0.68%)
Diluted EPS,(6.09%),60.41%,(25.11%),9.66%,6.32%
Diluted EPS - Continuing Ops,(6.09%),60.41%,(25.11%),9.66%,6.32%
Diluted Weighted Average Shares Outst.,(1.85%),(0.86%),(0.31%),(0.53%),(0.56%)
Normalized Basic EPS,1.15%,5.76%,(1.98%),10.38%,3.90%
Normalized Diluted EPS,1.02%,5.70%,(1.53%),10.17%,3.77%
Dividend Per Share,11.32%,15.25%,13.24%,7.79%,7.50%
Payout Ratio,18.19%,(27.98%),51.81%,(1.65%),0.77%
EBITDA,0.07%,4.17%,(2.15%),4.91%,(0.50%)
EBITA,0.32%,5.19%,(2.27%),7.88%,2.06%
EBIT,(1.10%),5.07%,(2.32%),9.58%,3.32%
EBITDAR,0.07%,4.22%,(1.12%),4.93%,
Effective Tax Rate,5.50%,,,2.07%,(8.63%)
Normalized Net Income,(1.00%),4.91%,(1.97%),9.73%,3.19%
Interest on Long-Term Debt,(30.35%),92.77%,(51.77%),(25.70%),
R&D Expense From Footnotes,4.33%,6.59%,6.68%,14.12%,10.89%
