Income Statement,Jan 2017,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,71890.0,76450.0,81581.0,82059.0,82584.0,84214.0
Total Revenues,71890.0,76450.0,81581.0,82059.0,82584.0,84214.0
Cost Of Revenues,21789.0,25439.0,27091.0,27556.0,28327.0,28328.0
Gross Profit,50101.0,51011.0,54490.0,54503.0,54257.0,55886.0
Selling General & Admin Expenses,19793.0,21520.0,22540.0,22178.0,22084.0,22313.0
R&D Expenses,9143.0,10594.0,10775.0,11355.0,12159.0,12757.0
Total Operating Expenses,28936.0,32114.0,33315.0,33533.0,34243.0,35070.0
Operating Income,21165.0,18897.0,21175.0,20970.0,20014.0,20816.0
Interest Expense,(726.0),(934.0),"(1,005.0)",(318.0),(201.0),(249.0)
Interest And Investment Income,368.0,385.0,611.0,357.0,111.0,69.0
Net Interest Expenses,(358.0),(549.0),(394.0),39.0,(90.0),(180.0)
Currency Exchange Gains (Loss),(289.0),(216.0),(265.0),(267.0),(209.0),(209.0)
Other Non Operating Income (Expenses),(475.0),(254.0),"(1,099.0)",889.0,469.0,672.0
"EBT, Excl. Unusual Items",20043.0,17878.0,19417.0,21631.0,20184.0,21099.0
"EBT, Incl. Unusual Items",19803.0,17673.0,17999.0,17328.0,16497.0,17417.0
Income Tax Expense,3263.0,16373.0,2702.0,2209.0,1783.0,2302.0
Earnings From Continuing Operations,16540.0,1300.0,15297.0,15119.0,14714.0,15115.0
Net Income to Company,16540.0,1300.0,15297.0,15119.0,14714.0,15115.0
Net Income,16540.0,1300.0,15297.0,15119.0,14714.0,15115.0
NI to Common Incl Extra Items,16540.0,1300.0,15297.0,15119.0,14714.0,15115.0
NI to Common Excl. Extra Items,16540.0,1300.0,15297.0,15119.0,14714.0,15115.0
Revenue Per Share,$26.26,$28.40,$30.42,$31.02,$31.37,$31.98
Basic EPS,$6.04,$0.48,$5.70,$5.72,$5.59,$5.74
Basic EPS - Continuing Ops,$6.04,$0.48,$5.70,$5.72,$5.59,$5.74
Basic Weighted Average Shares Outst.,2737.3,2692.0,2681.5,2645.1,2632.8,2633.2
Diluted EPS,$5.93,$0.47,$5.61,$5.63,$5.51,$5.66
Diluted EPS - Continuing Ops,$5.93,$0.47,$5.61,$5.63,$5.51,$5.66
Diluted Weighted Average Shares Outst.,2788.9,2745.3,2728.7,2684.3,2670.7,2671.1
Normalized Basic EPS,$4.58,$4.15,$4.53,$5.11,$4.79,$5.01
Normalized Diluted EPS,$4.49,$4.07,$4.45,$5.04,$4.72,$4.94
Dividend Per Share,$3.15,$3.32,$3.54,$3.75,$3.98,$4.04
Payout Ratio,52.12%,687.92%,62.06%,65.59%,71.23%,
EBITDA,24919.0,24539.0,28104.0,27979.0,27245.0,28107.8
EBITA,22365.0,21897.0,25575.0,25470.0,24714.0,20816.0
EBIT,21165.0,18897.0,21175.0,20970.0,20014.0,20816.0
EBITDAR,25249.0,24911.0,28404.0,28279.0,27545.0,
Effective Tax Rate,16.5%,92.6%,15.0%,12.7%,10.8%,13.2%
Normalized Net Income,12526.9,11173.8,12135.6,13519.4,12615.0,13186.9
Interest Capitalized,102.0,94.0,86.0,70.0,63.0,
R&D Expense From Footnotes,9172.0,11002.0,11901.0,12245.0,12340.0,12938.0
Foreign Sales,34079.0,36587.0,39697.0,39962.0,39451.0,
