Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Oct 2020,TTM
Revenues,10964.2,6330.1,10579.8,12737.9,13567.0,13588.8
Total Revenues,10964.2,6330.1,10579.8,12737.9,13567.0,13588.8
Cost Of Revenues,9196.3,5070.1,8417.3,10255.9,10978.0,11012.3
Gross Profit,1767.8,1260.0,2162.4,2482.0,2589.0,2576.5
Selling General & Admin Expenses,1429.2,912.8,1523.6,1720.1,1719.5,1622.2
Total Operating Expenses,1429.2,912.8,1523.6,1720.1,1719.5,1622.2
Operating Income,338.6,347.3,638.9,761.9,869.5,954.2
Interest Expense,(15.3),(12.0),(76.8),(83.8),(62.2),(64.7)
Interest And Investment Income,7.8,8.7,9.0,14.7,21.6,21.8
Net Interest Expenses,(7.4),(3.3),(67.8),(69.2),(40.6),(42.9)
Other Non Operating Income (Expenses),(2.8),3.9,15.2,(48.8),(36.1),(34.5)
"EBT, Excl. Unusual Items",328.4,347.9,586.3,643.9,792.8,876.8
"EBT, Incl. Unusual Items",286.7,243.2,331.0,351.0,441.2,541.1
Income Tax Expense,72.2,73.1,325.6,37.0,55.3,73.9
Earnings From Continuing Operations,214.5,170.1,5.3,314.0,385.9,467.3
Earnings Of Discontinued Operations,,123.6,167.6,557.0,138.0,60.4
Net Income to Company,214.5,293.6,173.0,871.0,523.9,527.7
Minority Interest,(4.1),0.1,(9.5),(23.0),(32.0),(35.8)
Net Income,210.5,293.7,163.4,848.0,491.8,491.9
Preferred Dividend and Other Adjustments,,3.1,0.8,1.2,0.1,(0.0)
NI to Common Incl Extra Items,210.5,290.7,162.6,846.8,491.7,491.9
NI to Common Excl. Extra Items,210.5,167.1,(5.0),289.8,353.8,431.5
Revenue Per Share,$91.27,$53.03,$76.92,$92.37,$103.16,$103.95
Basic EPS,$1.75,$2.43,$1.18,$6.14,$3.74,$3.76
Basic EPS - Continuing Ops,$1.75,$1.40,($0.04),$2.10,$2.69,$3.30
Basic Weighted Average Shares Outst.,120.1,119.4,137.5,137.9,131.5,130.7
Diluted EPS,$1.73,$2.42,$1.18,$6.09,$3.71,$3.74
Diluted EPS - Continuing Ops,$1.73,$1.39,($0.04),$2.09,$2.67,$3.28
Diluted Weighted Average Shares Outst.,121.5,120.1,137.5,139.2,132.7,131.9
Normalized Basic EPS,$1.67,$1.82,$2.60,$2.75,$3.52,$3.92
Normalized Diluted EPS,$1.66,$1.81,$2.60,$2.73,$3.49,$3.88
Dividend Per Share,,$0.45,$0.60,$0.66,$0.74,$0.76
Payout Ratio,,20.02%,52.97%,12.55%,29.27%,31.32%
EBITDA,468.6,469.8,837.5,931.1,1047.4,1133.3
EBITA,386.2,393.4,719.6,841.0,956.3,1041.4
EBIT,338.6,347.3,638.9,761.9,869.5,954.2
EBITDAR,612.9,563.5,,,1237.7,
Effective Tax Rate,25.2%,30.1%,98.4%,10.5%,12.5%,13.6%
Normalized Net Income,201.2,217.5,356.9,379.4,463.5,512.2
R&D Expense From Footnotes,,,,,3.7,4.7
Foreign Sales,4716.7,2448.4,3670.8,3731.1,3408.5,
