Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,32.85%,9.65%,5.89%,(9.12%),(11.78%)
Total Interest Income,32.27%,11.12%,7.32%,(10.51%),(12.76%)
Interest On Deposits,62.57%,85.97%,64.99%,(59.32%),(75.73%)
Total Interest On Borrowings,46.29%,34.93%,4.65%,(35.73%),(41.20%)
Total Interest Expense,53.25%,58.08%,36.84%,(50.90%),(63.51%)
Net Interest Income,29.39%,3.49%,0.00%,3.20%,3.71%
Service Charges On Deposits,18.21%,(2.24%),(3.44%),(7.72%),(11.50%)
Trust Income,15.30%,(6.73%),(4.81%),6.74%,2.84%
Total Mortgage Banking Activities,52.94%,65.38%,46.51%,179.37%,269.09%
Gain (Loss) on Sale of Invest. & Securities,,,,(80.00%),(83.33%)
Total Other Non Interest Income,21.04%,4.17%,(3.69%),5.75%,27.54%
Total Non Interest Income,19.65%,1.49%,(2.23%),7.85%,21.38%
Revenue Before Loan Losses,25.35%,2.70%,(0.87%),4.99%,10.42%
Provision For Loan Losses,(13.91%),7.42%,24.39%,233.66%,(5.64%)
Total Revenues,27.56%,2.52%,(1.88%),(6.55%),12.12%
Salaries And Other Employee Benefits,14.36%,1.66%,(4.66%),4.75%,12.68%
Amort. of Goodwill & Intang. Assets,72.73%,4.21%,(10.10%),(26.97%),(25.00%)
Occupancy Expense,8.52%,(6.95%),(4.87%),1.71%,(0.34%)
Total Selling General & Admin Expenses,0.00%,(3.19%),(0.98%),6.16%,8.12%
Total Other Non Interest Expense,5.88%,(17.56%),9.35%,20.28%,20.79%
Total Non Interest Expense,10.52%,(3.00%),(3.12%),5.92%,10.58%
"EBT, Excl. Unusual Items",89.76%,14.26%,0.36%,(28.27%),15.23%
Restructuring Charges,,,,-40.00%,-48.00%
"EBT, Incl. Unusual Items",99.17%,14.26%,(8.22%),(23.05%),26.50%
Income Tax Expense,255.87%,(46.00%),(8.72%),(27.71%),37.65%
Earnings From Continuing Operations,63.62%,44.00%,(8.12%),(22.19%),24.53%
Earnings Of Discontinued Operations,600.00%,0.00%,28.57%,55.56%,88.89%
Net Income to Company,64.30%,43.76%,(7.98%),(21.78%),24.93%
Net Income,63.84%,43.98%,(7.98%),(21.78%),24.93%
Preferred Dividend and Other Adjustments,89.19%,(5.71%),46.97%,9.28%,1.92%
Net Income to Common Incl Extra Items,62.60%,46.82%,(10.00%),(23.64%),26.70%
Net Income to Common Excl. Extra Items,61.89%,47.09%,(10.15%),(24.08%),26.28%
Revenue Per Share,10.43%,5.61%,2.87%,(4.20%),13.87%
Basic EPS,41.18%,51.69%,(5.61%),(21.58%),28.68%
Basic EPS - Continuing Ops,40.38%,51.10%,(5.59%),(21.99%),28.26%
Basic Weighted Average Shares Outst.,15.55%,(2.91%),(4.69%),(2.45%),(1.54%)
Diluted EPS,40.80%,51.03%,(5.32%),(21.34%),29.58%
Diluted EPS - Continuing Ops,40.00%,51.79%,(5.29%),(21.74%),29.16%
Diluted Weighted Average Shares Outst.,15.99%,(3.12%),(4.97%),(2.74%),(1.79%)
Normalized Basic EPS,62.63%,18.11%,5.52%,(26.31%),17.03%
Normalized Diluted EPS,62.51%,17.61%,5.25%,(26.31%),17.34%
Dividend Per Share,15.15%,48.68%,24.56%,4.23%,2.07%
Payout Ratio,(12.55%),(5.09%),33.18%,31.81%,
Effective Tax Rate,78.69%,(52.74%),(0.58%),(6.06%),8.81%
Normalized Net Income,89.15%,14.45%,0.36%,(28.27%),15.23%
Interest on Long-Term Debt,46.33%,,,0.00%,
