Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(0.85%),0.74%,(4.91%),4.84%,0.00%
Total Revenues,(0.85%),0.74%,(4.91%),4.84%,0.00%
Cost Of Revenues,1.10%,3.72%,(2.40%),1.38%,0.00%
Gross Profit,(4.08%),(4.46%),(9.68%),11.91%,0.00%
Selling General & Admin Expenses,(29.12%),25.25%,(3.42%),25.84%,0.00%
R&D Expenses,(22.50%),17.20%,2.75%,6.25%,0.00%
Total Operating Expenses,(28.86%),24.91%,(3.17%),25.01%,0.00%
Operating Income,6.97%,(13.17%),(12.45%),5.73%,0.00%
Interest Expense,(8.82%),(4.05%),(6.00%),(2.42%),0.00%
Interest And Investment Income,,(18.60%),2.86%,(25.00%),0.00%
Net Interest Expenses,(5.03%),(4.87%),(6.08%),(3.17%),0.00%
Currency Exchange Gains (Loss),,,,,0.00%
Other Non Operating Income (Expenses),,,,(95.45%),0.00%
"EBT, Excl. Unusual Items",(1.76%),(12.36%),(18.68%),5.20%,0.00%
"EBT, Incl. Unusual Items",10.35%,,,(61.29%),0.00%
Income Tax Expense,,-80.54%,,(8.10%),0.00%
Earnings From Continuing Operations,203.16%,,,(81.32%),0.00%
Net Income to Company,203.16%,,,(81.32%),0.00%
Minority Interest,,588.89%,(96.77%),,0.00%
Net Income,204.25%,,,(81.60%),0.00%
NI to Common Incl Extra Items,220.29%,,,(81.60%),0.00%
NI to Common Excl. Extra Items,220.29%,,,(81.60%),0.00%
Revenue Per Share,(0.93%),0.65%,(5.08%),4.65%,0.00%
Basic EPS,219.67%,,,(81.58%),0.00%
Basic EPS - Continuing Ops,219.67%,,,(81.58%),0.00%
Basic Weighted Average Shares Outst.,0.08%,0.08%,0.16%,0.16%,0.00%
Diluted EPS,220.50%,,,(81.65%),0.00%
Diluted EPS - Continuing Ops,220.50%,,,(81.65%),0.00%
Diluted Weighted Average Shares Outst.,0.16%,(0.73%),0.41%,0.33%,0.00%
Normalized Basic EPS,(1.28%),(10.98%),(20.18%),4.72%,0.00%
Normalized Diluted EPS,(1.45%),(10.40%),(20.37%),4.77%,0.00%
Dividend Per Share,4.26%,2.04%,(36.00%),0.00%,0.00%
Payout Ratio,(74.78%),,,444.93%,0.00%
EBITDA,2.09%,(12.12%),(10.64%),4.48%,0.00%
EBITA,6.86%,(12.53%),(11.97%),5.07%,0.00%
EBIT,6.97%,(13.17%),(12.45%),5.73%,0.00%
EBITDAR,,,,4.10%,
Effective Tax Rate,,,,137.40%,0.00%
Normalized Net Income,(1.26%),(10.92%),(20.13%),4.93%,0.00%
Interest on Long-Term Debt,,,,16.67%,
R&D Expense From Footnotes,(22.50%),17.20%,2.75%,6.25%,0.00%
Foreign Sales,0.10%,3.84%,(11.39%),(2.13%),
