Income Statement,Feb 2018,Feb 2019,Feb 2020,Feb 2021,TTM
Revenues,7.84%,6.15%,11.81%,(6.74%),(6.74%)
Other Revenues,12.41%,13.58%,13.49%,3.43%,3.43%
Total Revenues,8.05%,6.50%,11.90%,(6.22%),(6.22%)
Cost Of Revenues,8.11%,6.57%,12.44%,(6.00%),(6.00%)
Gross Profit,7.75%,6.15%,8.88%,(7.44%),(7.44%)
Selling General & Admin Expenses,8.64%,7.00%,12.13%,(2.13%),(2.13%)
Other Operating Expense/(Income),,(6.00%),(28.30%),(8.82%),(8.82%)
Total Operating Expenses,8.64%,7.00%,12.12%,(2.13%),(2.13%)
Operating Income,6.51%,4.94%,4.15%,(15.76%),(15.76%)
Interest Expense,(25.40%),(7.13%),(9.52%),(3.82%),(3.82%)
Net Interest Expenses,(25.40%),(7.13%),(9.52%),(3.82%),(3.82%)
Other Non Operating Income (Expenses),,,,45.43%,45.43%
"EBT, Excl. Unusual Items",5.68%,4.63%,4.33%,(16.86%),(16.86%)
"EBT, Incl. Unusual Items",5.68%,4.63%,4.33%,(16.86%),(16.86%)
Income Tax Expense,5.29%,(32.32%),0.80%,(19.89%),(19.89%)
Earnings From Continuing Operations,5.92%,26.85%,5.46%,(15.93%),(15.93%)
Net Income to Company,5.92%,26.85%,5.46%,(15.93%),(15.93%)
Net Income,5.92%,26.85%,5.46%,(15.93%),(15.93%)
NI to Common Incl Extra Items,5.92%,26.85%,5.46%,(15.93%),(15.93%)
NI to Common Excl. Extra Items,5.92%,26.85%,5.46%,(15.93%),(15.93%)
Revenue Per Share,12.59%,11.50%,18.44%,(5.27%),(5.27%)
Basic EPS,10.51%,32.65%,11.59%,(15.08%),(15.08%)
Basic EPS - Continuing Ops,10.51%,32.65%,11.59%,(15.08%),(15.08%)
Basic Weighted Average Shares Outst.,(4.04%),(4.49%),(5.52%),(1.00%),(1.00%)
Diluted EPS,10.43%,33.06%,11.27%,(15.20%),(15.20%)
Diluted EPS - Continuing Ops,10.43%,33.06%,11.27%,(15.20%),(15.20%)
Diluted Weighted Average Shares Outst.,(4.03%),(4.65%),(5.15%),(1.01%),(1.01%)
Normalized Basic EPS,10.28%,9.52%,10.33%,(15.98%),(16.02%)
Normalized Diluted EPS,10.20%,9.84%,10.12%,(16.02%),(16.01%)
EBITDA,6.51%,4.44%,6.04%,(11.61%),(11.61%)
EBITA,6.51%,4.94%,4.15%,(15.76%),(15.76%)
EBIT,6.51%,4.94%,4.15%,(15.76%),(15.76%)
EBITDAR,7.62%,4.86%,6.77%,(8.83%),
Effective Tax Rate,(0.37%),(35.31%),(3.39%),(3.66%),(3.65%)
Normalized Net Income,5.68%,4.63%,4.33%,(16.86%),(16.86%)
Interest Capitalized,(38.39%),(7.25%),9.38%,(52.86%),
Interest on Long-Term Debt,,,129.34%,(4.46%),
