Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,41863.0,36212.0,34300.0,37266.0,33014.0,33433.0
Total Revenues,41863.0,36212.0,34300.0,37266.0,33014.0,33433.0
Cost Of Revenues,16465.0,13721.0,13067.0,14619.0,13433.0,13567.0
Gross Profit,25398.0,22491.0,21233.0,22647.0,19581.0,19866.0
Selling General & Admin Expenses,15401.0,12901.0,11013.0,12011.0,9565.0,9586.0
Other Operating Expense/(Income),274.0,250.0,17.0,11.0,45.0,45.0
Total Operating Expenses,15675.0,13151.0,11030.0,12022.0,9610.0,9631.0
Operating Income,9723.0,9340.0,10203.0,10625.0,9971.0,10235.0
Interest Expense,(733.0),(853.0),(950.0),(946.0),"(1,437.0)","(1,686.0)"
Interest And Investment Income,697.0,750.0,689.0,625.0,442.0,396.0
Net Interest Expenses,(36.0),(103.0),(261.0),(321.0),(995.0),"(1,290.0)"
Currency Exchange Gains (Loss),(246.0),(56.0),,(120.0),(64.0),(64.0)
Other Non Operating Income (Expenses),180.0,308.0,(486.0),(326.0),(130.0),494.0
"EBT, Excl. Unusual Items",10456.0,10561.0,10464.0,10907.0,9760.0,10465.0
"EBT, Incl. Unusual Items",8136.0,6890.0,8225.0,10786.0,9749.0,9502.0
Income Tax Expense,1586.0,5607.0,1749.0,1801.0,1981.0,2274.0
Earnings From Continuing Operations,6550.0,1283.0,6476.0,8985.0,7768.0,7228.0
Net Income to Company,6550.0,1283.0,6476.0,8985.0,7768.0,7228.0
Minority Interest,(23.0),(35.0),(42.0),(65.0),(21.0),(11.0)
Net Income,6527.0,1248.0,6434.0,8920.0,7747.0,7217.0
NI to Common Incl Extra Items,6527.0,1248.0,6434.0,8920.0,7747.0,7217.0
NI to Common Excl. Extra Items,6527.0,1248.0,6434.0,8920.0,7747.0,7217.0
Revenue Per Share,$9.70,$8.48,$8.05,$8.72,$7.69,$7.78
Basic EPS,$1.51,$0.29,$1.51,$2.09,$1.80,$1.68
Basic EPS - Continuing Ops,$1.51,$0.29,$1.51,$2.09,$1.80,$1.68
Basic Weighted Average Shares Outst.,4317.0,4272.0,4259.0,4276.0,4295.0,4299.5
Diluted EPS,$1.49,$0.29,$1.50,$2.07,$1.79,$1.67
Diluted EPS - Continuing Ops,$1.49,$0.29,$1.50,$2.07,$1.79,$1.67
Diluted Weighted Average Shares Outst.,4367.0,4324.0,4299.0,4314.0,4323.0,4324.3
Normalized Basic EPS,$1.51,$1.54,$1.53,$1.58,$1.42,$1.52
Normalized Diluted EPS,$1.49,$1.52,$1.51,$1.57,$1.41,$1.51
Dividend Per Share,$1.40,$1.48,$1.56,$1.60,$1.64,$1.65
Payout Ratio,92.58%,506.41%,103.26%,76.74%,90.96%,122.72%
EBITDA,11510.0,10600.0,11289.0,11990.0,11507.0,11770.0
EBITA,9862.0,9408.0,10252.0,10745.0,10174.0,10438.0
EBIT,9723.0,9340.0,10203.0,10625.0,9971.0,10235.0
EBITDAR,,,,12317.0,11860.0,
Effective Tax Rate,19.5%,81.4%,21.3%,16.7%,20.3%,23.9%
Normalized Net Income,6512.0,6565.6,6498.0,6751.9,6079.0,6529.6
Foreign Earnings,,10408.0,10600.0,10802.0,10033.0,
Foreign Sales,21964.0,26639.0,27924.0,28418.0,25755.0,
