Income Statement,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,6.89%,(1.16%),0.36%,8.35%,8.35%
Total Revenues,6.89%,(1.16%),0.36%,8.35%,8.35%
Cost Of Revenues,7.12%,(0.79%),0.09%,6.64%,6.64%
Gross Profit,6.12%,(2.40%),1.25%,14.16%,14.16%
Selling General & Admin Expenses,12.24%,(4.00%),0.74%,14.82%,14.82%
Depreciation & Amortization,4.10%,1.19%,7.46%,3.70%,3.70%
Total Operating Expenses,11.42%,(3.51%),1.41%,13.65%,13.65%
Operating Income,(29.23%),9.27%,(0.19%),18.97%,18.97%
Interest Expense,(15.13%),(3.16%),-2.74%,-9.78%,-9.78%
Net Interest Expenses,(15.13%),(3.16%),-2.74%,-9.78%,-9.78%
"EBT, Excl. Unusual Items",(37.11%),11.25%,0.58%,27.36%,27.36%
"EBT, Incl. Unusual Items",(49.07%),168.06%,(50.20%),70.12%,70.12%
Income Tax Expense,,,(47.89%),66.74%,66.74%
Earnings From Continuing Operations,(3.47%),62.94%,(50.88%),71.16%,71.16%
Net Income to Company,(3.47%),62.94%,(50.88%),71.16%,71.16%
Minority Interest,0.00%,77.78%,359.38%,,
Net Income,(3.44%),63.08%,(46.66%),55.82%,55.82%
Preferred Dividend and Other Adjustments,6.25%,100.00%,(44.12%),52.63%,52.63%
NI to Common Incl Extra Items,(3.52%),62.75%,(46.68%),55.85%,55.85%
NI to Common Excl. Extra Items,(3.52%),62.75%,(46.68%),55.85%,55.85%
Revenue Per Share,12.50%,9.22%,1.74%,11.99%,12.00%
Basic EPS,1.53%,79.98%,(45.99%),61.30%,61.10%
Basic EPS - Continuing Ops,1.53%,79.98%,(45.99%),61.30%,61.10%
Basic Weighted Average Shares Outst.,(4.99%),(9.50%),(1.36%),(3.25%),(3.25%)
Diluted EPS,1.95%,79.90%,(45.74%),60.29%,60.29%
Diluted EPS - Continuing Ops,1.95%,79.90%,(45.74%),60.29%,60.29%
Diluted Weighted Average Shares Outst.,(5.64%),(9.51%),(1.59%),(2.98%),(2.98%)
Normalized Basic EPS,(33.44%),24.18%,10.58%,18.15%,17.99%
Normalized Diluted EPS,(33.08%),23.91%,11.12%,17.59%,17.66%
Dividend Per Share,5.32%,9.00%,12.73%,12.90%,12.90%
Payout Ratio,6.95%,(39.51%),108.50%,(29.47%),(29.48%)
EBITDA,(15.69%),5.60%,3.52%,10.86%,10.86%
EBITA,(28.82%),9.88%,0.00%,17.74%,17.74%
EBIT,(29.23%),9.27%,(0.19%),18.97%,18.97%
EBITDAR,(13.19%),4.27%,3.01%,9.17%,
Effective Tax Rate,,,4.66%,(1.97%),(1.99%)
Normalized Net Income,(36.75%),12.27%,9.30%,14.15%,14.15%
Interest on Long-Term Debt,,,,(6.25%),
