Income Statement,Nov 2017,Nov 2018,Nov 2019,Nov 2020,TTM
Revenues,14.53%,66.89%,9.27%,0.76%,1.62%
Other Revenues,29.79%,7.03%,(13.60%),7.94%,6.31%
Total Revenues,15.49%,62.67%,8.21%,1.03%,1.80%
Cost Of Revenues,28.81%,65.47%,(2.72%),(2.39%),(3.19%)
Gross Profit,(32.12%),43.65%,93.54%,14.47%,21.28%
Selling General & Admin Expenses,(74.73%),20.30%,497.88%,(0.04%),0.93%
Other Operating Expense/(Income),-71.66%,"(1,484.12%)",,(25.07%),
Total Operating Expenses,(74.85%),(43.14%),"1,234.34%",(0.31%),(0.43%)
Operating Income,3.57%,61.26%,11.94%,27.07%,39.32%
Interest Expense,(54.86%),(57.15%),(56.51%),(27.13%),(27.13%)
Net Interest Expenses,(54.86%),(57.15%),(56.51%),(27.13%),(27.13%)
Other Non Operating Income (Expenses),,,,,0.00%
"EBT, Excl. Unusual Items",2.83%,54.49%,13.10%,25.80%,56.21%
"EBT, Incl. Unusual Items",(10.59%),90.20%,7.58%,28.32%,58.63%
Income Tax Expense,0.11%,30.47%,8.62%,10.82%,71.44%
Earnings From Continuing Operations,(15.48%),122.55%,7.26%,33.95%,55.13%
Net Income to Company,(15.48%),122.55%,7.26%,33.95%,55.13%
Net Income,(11.12%),109.24%,9.04%,33.31%,52.82%
Preferred Dividend and Other Adjustments,(14.85%),90.02%,8.58%,75.87%,94.62%
NI to Common Incl Extra Items,(11.08%),109.43%,9.04%,32.94%,52.43%
NI to Common Excl. Extra Items,(11.08%),109.43%,9.04%,32.94%,52.43%
Revenue Per Share,8.63%,25.25%,4.65%,3.97%,4.12%
Basic EPS,(16.43%),61.49%,5.43%,36.72%,55.90%
Basic EPS - Continuing Ops,(16.43%),61.49%,5.43%,36.72%,55.90%
Basic Weighted Average Shares Outst.,6.31%,29.86%,3.39%,(2.83%),(2.23%)
Diluted EPS,(12.43%),60.86%,5.57%,36.69%,55.55%
Diluted EPS - Continuing Ops,(12.43%),60.86%,5.57%,36.69%,55.55%
Diluted Weighted Average Shares Outst.,0.76%,30.11%,3.19%,(2.83%),(2.23%)
Normalized Basic EPS,1.18%,12.21%,11.62%,28.71%,56.79%
Normalized Diluted EPS,6.82%,11.99%,11.88%,28.70%,56.79%
Dividend Per Share,(1.94%),0.00%,0.00%,290.62%,206.12%
Payout Ratio,19.90%,(37.53%),(4.04%),184.62%,96.44%
EBITDA,4.63%,60.14%,11.51%,26.18%,38.00%
EBITA,3.57%,61.26%,11.94%,27.07%,39.32%
EBIT,3.57%,61.26%,11.94%,27.07%,39.32%
EBITDAR,5.23%,58.73%,10.77%,24.87%,
Effective Tax Rate,11.97%,(31.42%),0.98%,(13.66%),8.07%
Normalized Net Income,7.56%,45.53%,15.48%,25.07%,53.30%
Interest Capitalized,2.31%,45.66%,(1.79%),(18.29%),
