Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,9552.9,10308.0,11333.4,11554.8,13978.5,13978.5
Total Revenues,9552.9,10308.0,11333.4,11554.8,13978.5,13978.5
Cost Of Revenues,6698.9,7216.2,8157.0,8302.3,8969.2,8969.2
Gross Profit,2854.0,3091.8,3176.4,3252.5,5009.3,5009.3
Selling General & Admin Expenses,1305.6,1499.2,1578.4,1518.3,1672.0,1672.0
Total Operating Expenses,1485.1,1715.7,1810.1,1761.5,1919.9,1919.9
Operating Income,1368.9,1376.1,1366.3,1491.0,3089.4,3089.4
Interest Expense,(219.1),(235.1),(244.2),(240.7),(207.4),(207.4)
Interest And Investment Income,1.7,2.1,7.5,8.8,10.3,10.3
Net Interest Expenses,(217.4),(233.0),(236.7),(231.9),(197.1),(197.1)
Currency Exchange Gains (Loss),,,,(11.1),(10.1),(10.1)
Other Non Operating Income (Expenses),2.8,(6.0),(9.7),21.1,(5.3),(5.3)
"EBT, Excl. Unusual Items",1162.2,1148.4,1131.5,1278.9,2879.8,2879.8
"EBT, Incl. Unusual Items",1073.6,1077.5,1268.3,1104.9,2219.1,2219.1
Income Tax Expense,360.7,(155.4),384.4,280.0,662.1,662.1
Earnings From Continuing Operations,712.9,1232.9,883.9,824.9,1557.0,1557.0
Net Income to Company,712.9,1232.9,883.9,824.9,1557.0,1557.0
Minority Interest,(1.1),(5.8),(0.2),(1.1),(0.9),(0.9)
Net Income,711.8,1227.1,883.7,823.8,1556.1,1556.1
NI to Common Incl Extra Items,711.8,1227.1,883.7,823.8,1556.1,1556.1
NI to Common Excl. Extra Items,711.8,1227.1,883.7,823.8,1556.1,1556.1
Revenue Per Share,$93.20,$100.66,$111.77,$118.03,$143.66,$143.66
Basic EPS,$6.94,$11.98,$8.71,$8.41,$15.99,$15.99
Basic EPS - Continuing Ops,$6.94,$11.98,$8.71,$8.41,$15.99,$15.99
Basic Weighted Average Shares Outst.,102.5,102.4,101.4,97.9,97.3,97.3
Diluted EPS,$6.82,$11.81,$8.61,$8.35,$15.88,$15.88
Diluted EPS - Continuing Ops,$6.82,$11.81,$8.61,$8.35,$15.88,$15.88
Diluted Weighted Average Shares Outst.,104.3,103.9,102.6,98.6,98.0,98.0
Normalized Basic EPS,$7.08,$6.95,$6.97,$8.15,$18.49,$18.49
Normalized Diluted EPS,$6.95,$6.85,$6.89,$8.10,$18.36,$18.36
EBITDA,1788.0,1823.4,1819.0,1969.1,3591.8,3591.8
EBITA,1553.3,1595.6,1600.2,1734.6,3327.2,3327.2
EBIT,1368.9,1376.1,1366.3,1491.0,3089.4,3089.4
EBITDAR,2079.2,2137.2,2177.7,2224.5,3840.7,3840.7
Effective Tax Rate,33.6%,NM,30.3%,25.3%,29.8%,29.8%
Normalized Net Income,725.3,712.0,707.0,798.2,1799.0,1799.0
Interest on Long-Term Debt,,,,6.7,4.7,4.7
Foreign Sales,,2164.7,11333.4,11554.8,13978.5,13978.5
