Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,13.43%,21.98%,5.30%,(7.01%),0.00%
Total Revenues,13.43%,21.98%,5.30%,(7.01%),0.00%
Cost Of Revenues,13.47%,22.98%,4.54%,(7.93%),0.00%
Gross Profit,13.36%,20.40%,6.50%,(5.58%),0.00%
Selling General & Admin Expenses,15.00%,23.60%,6.80%,(8.59%),0.00%
Depreciation & Amortization,14.69%,24.90%,6.04%,(6.35%),0.00%
Total Operating Expenses,14.98%,23.69%,6.74%,(8.42%),0.00%
Operating Income,8.22%,9.27%,5.60%,5.41%,0.00%
Interest Expense,(15.16%),(44.02%),-5.38%,-25.07%,0.00%
Interest And Investment Income,75.56%,80.49%,21.13%,(14.35%),0.00%
Net Interest Expenses,(14.76%),(43.65%),-5.72%,-25.24%,0.00%
Currency Exchange Gains (Loss),,,(31.35%),,0.00%
Other Non Operating Income (Expenses),,,,"1,162.44%",0.00%
"EBT, Excl. Unusual Items",7.31%,(5.14%),14.13%,15.02%,0.00%
"EBT, Incl. Unusual Items",14.16%,(12.11%),11.75%,17.30%,0.00%
Income Tax Expense,6.80%,(18.75%),12.51%,15.87%,0.00%
Earnings From Continuing Operations,17.73%,(9.20%),11.45%,17.87%,0.00%
Earnings Of Discontinued Operations,,-34.82%,,,0.00%
Net Income to Company,14.28%,(8.88%),12.60%,17.69%,0.00%
Minority Interest,,,-8.20%,-32.57%,0.00%
Net Income,15.04%,(10.05%),12.73%,17.95%,0.00%
NI to Common Incl Extra Items,15.04%,(10.05%),12.73%,17.95%,0.00%
NI to Common Excl. Extra Items,18.50%,(10.36%),11.58%,18.13%,0.00%
Revenue Per Share,12.80%,19.72%,6.76%,(5.33%),0.00%
Basic EPS,14.54%,(11.74%),14.06%,19.75%,0.00%
Basic EPS - Continuing Ops,17.54%,(11.95%),13.18%,20.48%,0.00%
Basic Weighted Average Shares Outst.,0.56%,1.89%,(1.36%),(1.78%),0.00%
Diluted EPS,14.67%,(11.63%),14.47%,20.11%,0.00%
Diluted EPS - Continuing Ops,18.48%,(11.84%),13.59%,20.15%,0.00%
Diluted Weighted Average Shares Outst.,0.28%,1.67%,(1.55%),(1.92%),0.00%
Normalized Basic EPS,7.66%,(7.93%),16.09%,17.12%,0.00%
Normalized Diluted EPS,7.67%,(7.77%),15.79%,17.67%,0.00%
EBITDA,9.77%,13.15%,5.72%,2.74%,0.00%
EBITA,9.50%,11.90%,5.22%,2.91%,0.00%
EBIT,8.22%,9.27%,5.60%,5.41%,0.00%
EBITDAR,,,,1.55%,
Effective Tax Rate,(6.44%),(7.55%),0.67%,(1.22%),0.00%
Normalized Net Income,8.07%,(6.43%),14.27%,15.27%,0.00%
Interest on Long-Term Debt,,,,15.46%,
Foreign Sales,21.38%,39.49%,10.59%,(6.56%),
