Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1.87%,4.49%,3.23%,(6.36%),0.00%
Total Revenues,1.87%,4.49%,3.23%,(6.36%),0.00%
Fuel & Purchased Power,(4.20%),4.51%,(9.12%),(16.09%),0.00%
Operations And Maintenance,8.17%,1.76%,9.06%,(4.66%),0.00%
Depreciation & Amortization,12.20%,9.79%,11.83%,8.47%,0.00%
Other Operating Expenses,(3.25%),2.76%,0.69%,(10.67%),0.00%
Total Operating Expenses,1.21%,4.24%,1.58%,(6.96%),0.00%
Operating Income,4.82%,5.53%,10.19%,(4.02%),0.00%
"Interest Expense, Total",(9.40%),(13.82%),(10.12%),(0.71%),0.00%
Net Interest Expenses,(9.40%),(13.82%),(10.12%),(0.71%),0.00%
Allow. For Equity Funds Used For Const.,(20.48%),52.92%,22.37%,(40.86%),0.00%
Other Non-Operating Inc. (Exp.),4.20%,(27.42%),88.89%,(41.18%),0.00%
"EBT, Excl. Unusual Items",0.58%,7.16%,11.79%,(11.02%),0.00%
"EBT, Incl. Unusual Items",20.64%,7.16%,11.79%,(11.02%),0.00%
Income Tax Expense,12.29%,(28.04%),43.75%,,0.00%
Earnings From Continuing Operations,21.96%,12.31%,8.79%,10.23%,0.00%
Net Income to Company,23.10%,11.96%,8.79%,10.23%,0.00%
Net Income,23.10%,11.96%,8.79%,10.23%,0.00%
NI to Common Incl Extra Items,23.10%,11.96%,8.79%,10.23%,0.00%
NI to Common Excl. Extra Items,21.96%,12.31%,8.79%,10.23%,0.00%
Revenue Per Share,0.71%,2.77%,1.09%,(10.12%),0.00%
Basic EPS,21.39%,10.14%,6.64%,5.63%,0.00%
Basic EPS - Continuing Ops,20.29%,10.70%,6.64%,5.63%,0.00%
Basic Weighted Average Shares Outst.,1.14%,1.70%,2.10%,4.15%,0.00%
Diluted EPS,21.39%,10.05%,6.39%,6.01%,0.00%
Diluted EPS - Continuing Ops,20.29%,10.61%,6.39%,6.01%,0.00%
Diluted Weighted Average Shares Outst.,1.14%,1.70%,2.31%,4.06%,0.00%
Normalized Basic EPS,(0.56%),5.51%,9.36%,(14.54%),0.00%
Normalized Diluted EPS,(0.56%),5.51%,9.14%,(14.65%),0.00%
Dividend Per Share,6.78%,6.35%,5.97%,7.04%,0.00%
Payout Ratio,(12.12%),(3.34%),(0.72%),1.49%,0.00%
EBITDA,8.29%,7.31%,10.90%,1.37%,0.00%
EBITA,4.82%,5.53%,10.19%,(4.02%),0.00%
EBIT,4.82%,5.53%,10.19%,(4.02%),0.00%
Effective Tax Rate,(6.91%),(32.83%),28.61%,,0.00%
Normalized Net Income,0.58%,7.16%,11.79%,(11.02%),0.00%
Interest Capitalized,(20.30%),55.28%,8.00%,(40.74%),
Interest on Long-Term Debt,,,,(14.29%),
