Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1.06%,27.89%,(4.97%),(3.48%),0.00%
Total Revenues,1.06%,27.89%,(4.97%),(3.48%),0.00%
Cost Of Revenues,(1.56%),30.65%,(8.65%),(2.19%),0.00%
Gross Profit,3.17%,25.77%,(2.04%),(4.43%),0.00%
Selling General & Admin Expenses,13.83%,8.35%,(9.12%),(12.21%),0.00%
Depreciation & Amortization,0.51%,30.08%,(5.68%),(2.46%),0.00%
Total Operating Expenses,6.68%,19.34%,(7.23%),(6.74%),0.00%
Operating Income,(7.49%),48.27%,12.56%,0.94%,0.00%
Interest Expense,(12.37%),(47.00%),-7.17%,-17.47%,0.00%
Net Interest Expenses,(12.37%),(47.00%),-7.17%,-17.47%,0.00%
Currency Exchange Gains (Loss),,,(20.00%),275.00%,
Other Non Operating Income (Expenses),146.67%,(24.32%),17.86%,(54.55%),0.00%
"EBT, Excl. Unusual Items",(26.82%),45.22%,48.78%,21.21%,0.00%
"EBT, Incl. Unusual Items",(47.06%),,(204.93%),-83.59%,0.00%
Income Tax Expense,,,195.88%,(10.54%),0.00%
Earnings From Continuing Operations,121.88%,,(204.04%),-76.62%,0.00%
Net Income to Company,121.88%,,(204.04%),-76.62%,0.00%
Net Income,121.88%,,(204.04%),-76.62%,0.00%
NI to Common Incl Extra Items,121.88%,,(204.04%),-76.62%,0.00%
NI to Common Excl. Extra Items,121.88%,,(204.04%),-76.62%,0.00%
Revenue Per Share,(13.15%),(24.66%),(5.44%),(4.18%),0.00%
Basic EPS,90.73%,,(201.70%),-76.80%,0.00%
Basic EPS - Continuing Ops,90.73%,,(201.70%),-76.80%,0.00%
Basic Weighted Average Shares Outst.,16.36%,69.78%,0.52%,0.72%,0.00%
Diluted EPS,90.52%,,(201.84%),-76.80%,0.00%
Diluted EPS - Continuing Ops,90.52%,,(201.84%),-76.80%,0.00%
Diluted Weighted Average Shares Outst.,16.28%,69.54%,0.52%,0.72%,0.00%
Normalized Basic EPS,(37.03%),(14.22%),49.04%,20.16%,0.00%
Normalized Diluted EPS,(37.12%),(14.22%),49.04%,20.16%,0.00%
Dividend Per Share,0.00%,0.00%,(53.70%),0.00%,0.00%
Payout Ratio,(43.89%),,,,0.00%
EBITDA,(3.23%),37.63%,1.46%,(0.98%),0.00%
EBITA,(4.93%),47.20%,7.35%,0.77%,0.00%
EBIT,(7.49%),48.27%,12.56%,0.94%,0.00%
EBITDAR,6.08%,28.71%,(0.84%),(0.36%),
Effective Tax Rate,,,,,0.00%
Normalized Net Income,(26.82%),45.22%,48.78%,21.21%,0.00%
Interest Capitalized,44.44%,(32.05%),35.85%,4.17%,
Interest on Long-Term Debt,13.63%,43.04%,(6.14%),(16.72%),
