Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,7826.3,9687.2,10787.8,11548.0,1861.2,1861.2
Total Revenues,7826.3,9687.2,10787.8,11548.0,1861.2,1861.2
Cost Of Revenues,5639.2,7181.9,7967.9,8467.2,1402.4,1402.4
Gross Profit,2187.2,2505.3,2819.9,3080.8,458.8,458.8
Selling General & Admin Expenses,1679.2,2024.7,2136.3,2307.6,1650.9,1650.9
Depreciation & Amortization,318.6,352.2,376.0,417.2,461.4,461.4
Total Operating Expenses,1997.8,2376.9,2512.3,2724.9,2112.3,2112.3
Operating Income,189.3,128.4,307.5,355.9,"(1,653.5)","(1,653.5)"
Interest Expense,(106.5),(107.8),(141.0),(157.5),(226.8),(226.8)
Interest And Investment Income,2.6,5.7,9.0,14.4,11.7,11.7
Net Interest Expenses,(103.9),(102.1),(132.0),(143.1),(215.1),(215.1)
Currency Exchange Gains (Loss),(8.8),3.1,,,,
Other Non Operating Income (Expenses),(2.0),(3.0),(12.2),(2.1),17.1,17.1
"EBT, Excl. Unusual Items",56.8,27.7,166.1,216.2,"(1,857.0)","(1,857.0)"
"EBT, Incl. Unusual Items",48.3,(9.4),131.1,185.1,"(1,856.7)","(1,856.7)"
Income Tax Expense,28.0,(17.2),40.8,66.9,(28.9),(28.9)
Earnings From Continuing Operations,20.3,7.8,90.3,118.2,"(1,827.8)","(1,827.8)"
Net Income to Company,20.3,7.8,90.3,118.2,"(1,827.8)","(1,827.8)"
Minority Interest,(17.4),(13.8),(30.1),(48.3),103.3,103.3
Net Income,2.9,(6.0),60.2,69.9,"(1,724.5)","(1,724.5)"
Preferred Dividend and Other Adjustments,50.0,91.6,77.9,74.8,(1.2),(1.2)
NI to Common Incl Extra Items,(47.0),(97.6),(17.7),(4.9),"(1,723.4)","(1,723.4)"
NI to Common Excl. Extra Items,(47.0),(97.6),(17.7),(4.9),"(1,723.4)","(1,723.4)"
Revenue Per Share,$38.73,$47.27,$52.00,$54.97,$8.77,$8.77
Basic EPS,($0.23),($0.48),($0.09),($0.02),($8.12),($8.12)
Basic EPS - Continuing Ops,($0.23),($0.48),($0.09),($0.02),($8.12),($8.12)
Basic Weighted Average Shares Outst.,202.1,204.9,207.4,210.1,212.3,212.3
Diluted EPS,($0.23),($0.48),($0.09),($0.02),($8.12),($8.12)
Diluted EPS - Continuing Ops,($0.23),($0.48),($0.09),($0.02),($8.12),($8.12)
Diluted Weighted Average Shares Outst.,202.1,204.9,207.4,210.1,212.3,212.3
Normalized Basic EPS,$0.09,$0.02,$0.36,$0.41,($4.98),($4.98)
Normalized Diluted EPS,$0.09,$0.02,$0.36,$0.41,($4.98),($4.98)
EBITDA,507.9,480.6,683.6,773.2,"(1,192.1)","(1,192.1)"
EBITA,368.6,331.0,498.2,552.7,"(1,437.8)","(1,437.8)"
EBIT,189.3,128.4,307.5,355.9,"(1,653.5)","(1,653.5)"
EBITDAR,703.9,,,1090.8,(928.4),(928.4)
Effective Tax Rate,58.0%,NM,31.1%,36.1%,NM,NM
Normalized Net Income,18.1,3.5,73.7,86.8,"(1,057.4)","(1,057.4)"
Interest on Long-Term Debt,13.1,13.3,25.6,28.7,43.5,43.5
R&D Expense From Footnotes,,,,27.5,27.6,27.6
Foreign Sales,2436.0,3408.7,3661.2,3915.4,666.5,666.5
